DataSets,B-R,B-MA,B-MP,C-R,C-MA,C-MP,G-R,G-MA,G-MP,SS-R,SS-MA,SS-MP,V-R,V-MA,V-MP,S-R,S-MA,S-MP,C_B-R,C_B-MA,C_B-MP,C_L-R,C_L-MA,C_L-MP,G_B-R,G_B-MA,G_B-MP
BHIWADI,23.130568072265163,16.608184471161138,0.4339440302270287,57.20208630211039,53.9350642244721,1.3430757531144313,22.33737718730658,15.584919347192915,0.4841635733684793,24.202993982491016,17.053743121660137,0.4931259064162135,19.59702293467982,12.35043737958702,0.3457366220005869,48.1445150744665,34.314667822260375,0.9623004662759216,45.98168472922478,39.66291994816187,1.1121108104145097,43.50291628533721,40.29527050858943,1.0575116831681577,35.295455622314506,23.058271988596847,0.6311332415594275
JODHPUR,29.82779085339733,14.40513171137024,0.233330929007917,19.64749427214566,17.714965169265156,0.5127551392461164,41.06053504420102,29.40904896789749,0.4476915671479963,22.35324982486788,17.513631836024047,0.3679496459834823,21.56516295589278,15.357281425129257,0.2730687741970881,50.0019965294399,35.72244343346237,0.5532174643314511,41.625799146401555,34.072226183562925,1.1732198327764234,43.54656957377637,32.46521275810683,0.5468861159696407,52.378073366696526,38.16545329998162,0.5826768966644622
SINGRAULI,10.924705352013037,7.01659668153291,0.6107304683628519,15.496582824642172,10.490691011915631,0.6633730699392365,27.342745363935787,25.994661839890103,2.1267992688097626,21.60870116106873,19.48445047791899,1.619702553335195,13.627672226901836,11.791581329001676,1.0194067580651351,17.78760347300375,13.17616423895912,1.0566761749016078,50.6061503972089,49.15679859544908,3.565068417800263,22.20299847463448,20.96643781338535,1.7193005479644805,26.50103958767472,24.55226952006316,2.0291035372279107
ANKLESHWAR,18.531004056334183,13.30168324270598,0.1450486823162056,16.67904540954104,12.1675579740475,0.1303419208184039,37.14881112531496,30.311750488754203,0.2516195557566983,23.779240199775447,18.869534371321564,0.1626004659688,18.38312582929965,13.777352144776872,0.1295944114746124,46.2786040043268,37.08401486314653,0.3119372730289468,62.85478844702836,51.31123084606988,0.4049351355012418,68.72172234355403,57.52518274671833,0.4588444990866528,69.37677666472749,58.26757798177305,0.4658580035652366
LUDHIANA,8.396339591776927,6.133704413283525,0.1508393604429087,11.1189544670351,9.05477570150539,0.2814825852506413,22.141513065778778,17.495034542207325,0.5728908097602444,10.096244423484189,7.733354699190894,0.2197152559926465,8.303548442686974,6.949967597693959,0.2238996454985735,21.150276020696023,15.973875774250205,0.4273785324547779,25.659122065913127,20.930398253729177,0.7108191159131284,24.758327809623232,19.83862243047464,0.6604658171442976,23.767472932452847,18.02520861211313,0.5122375231089834
DURGAPUR,6.141875858710262,4.472633321886305,0.2833941335859217,8.27292454494099,6.226657759485857,0.5117954982572495,20.3390836323052,19.322128118338195,0.9338925146913868,9.480578098723743,7.379266105862373,0.7058913472558694,8.779258227772885,7.813347936644678,0.4233367522231868,15.282690593850612,11.749026155927218,0.8377738957775098,9.617847984791112,7.321162292417799,0.6608681947103068,13.75535126079684,12.599410045529526,0.7209114868139348,24.3906208155119,21.967310049348,1.3785418065733068
YAMUNA_NAGAR,37.34431213098891,17.049219874127537,0.2270514616827139,34.5661689990463,17.730611729682476,0.2600010090457206,56.26632033209746,31.741383225196834,0.3269759832536048,36.33099782277124,15.10892754240935,0.1889299167774862,38.1773350233584,17.860724487809005,0.2624445386143752,66.14114042377399,39.1305300544513,0.5319779496056943,72.3913283940359,42.24806474079878,0.4744232093842763,45.62586113410737,23.3100264307397,0.3217378848322429,74.13381978878293,43.98955454104913,0.4698565501210436
CHARKHI_DADRI,18.421645286008733,11.65764426658314,0.4825505983744308,20.42508054156955,14.515599955614473,0.7517533524309559,27.95619003316069,19.908345410451044,0.7509882180574694,18.425814770549444,11.38410362131213,0.7177722277323995,18.05763902189056,11.236601911231077,0.4822408429163435,40.7051073268136,30.32432649486208,1.1228142424634806,46.16307812139495,35.0047221944855,2.0848889976206904,45.26819711537964,33.340354018869654,1.8761190445854448,43.4845543549321,33.00063257174323,1.9469149724263617
JIND,24.16818396300524,15.283932548777065,0.1544431961845068,26.418044967510024,17.459934246155044,0.2149256226030628,34.348800746578405,23.74010949550855,0.3020140598327533,25.848883446058498,16.718721998902815,0.1431717226302638,19.40525139426025,11.463561641058911,0.1171742488345958,79.2175583064455,51.70619964700855,0.4755974575948735,62.128674593005606,46.76064873353047,0.3851770337910782,43.59260807878,27.8869395738907,0.2283321597521673,50.94575360906539,33.9739180754299,0.3019609347947915
KURUKSHETRA,27.14068811832221,13.831852322013368,0.1871486731590209,72.02846300324532,45.50452813520047,0.40344162585906,43.56132876448269,24.773556516682618,0.2650060301193152,27.32017620654721,16.825723385817348,0.2346152754521317,26.70213124567915,14.730810152259169,0.1956053524599604,65.76969916983238,42.25959024778159,0.509025980004328,39.70522868051708,24.42696148334466,0.3365885871819717,88.11880659930486,53.829761182136295,0.542060367612121,53.73555998106498,32.16486490285048,0.3093417223357686
SONIPAT,12.55753870365081,7.049970426981063,0.1570025341234096,15.983048231436229,9.535769006854387,0.1751884705998049,22.4041107330619,15.08982614869423,0.3568358300259088,15.412719214870911,9.033863604904363,0.2051475241797914,10.89591837507329,6.262973456315979,0.1434291577574607,43.02267063317793,26.948187388295263,0.5841948102610216,24.010693582094497,14.683012675011655,0.3250272757375017,22.95780050855496,13.654510101251326,0.2419209840052834,46.77439377821557,29.12235575311032,0.378512720094796
DHARUHERA,26.74080059299856,11.924181311657412,0.3013718581075533,28.92895525526698,17.222860080236593,0.580639965264966,34.6043948034796,17.80050095052421,0.4113773299016758,24.05770188132526,9.617719849887004,0.3258970288713615,25.186141326292063,10.611183211998824,0.2456352979933938,53.17934520881969,32.7046549749991,0.8701316211455403,31.9265977737608,16.987909015223092,0.5175774595224621,35.01294903735851,18.797339543394106,0.3765318720650711,46.222201689350015,25.449881302409896,0.516237495876098
AMBALA,22.58426444328592,13.033090195504018,0.2889493623573885,28.959282302558403,17.008472804405155,0.4762154590311433,41.081808131025625,22.048209564864163,0.4218849590552356,19.92082694225927,11.214579551267896,0.2604103350998027,16.924650453172955,8.961460601367818,0.2465243480355249,57.43097254249408,34.41778078263197,0.865841562169324,40.70939421866029,24.82455454349028,0.4086851987580437,34.13827308761394,19.51102895659049,0.4906963452297272,63.85345914533081,37.18657637054281,0.8262885963484873
HISAR,28.34329980971117,12.304253453929777,0.1318565130396368,66.7926676795884,45.69576398920751,0.3126623009069444,47.934032124568446,29.60386787877486,0.2272568655110335,33.979779344621264,19.541525192544427,0.1712971081762967,30.987069813096976,15.93421585634958,0.1640773589135258,63.29441129637189,41.06087734765525,0.3874850443815544,43.15696673138635,27.52765812629693,0.3212026693169414,49.10224601296165,30.51460057174195,0.2827343469052794,62.459926647165794,41.18030638662895,0.3050297308443011
FATEHABAD,14.368081020132331,8.644484971680539,0.1309275577264,38.3612043895849,29.69412155212638,0.3544182763896106,72.70902628335068,45.76033019846318,0.5002450573319182,15.50931116718372,8.641448381368095,0.1185969809720554,15.58311164475474,9.372655635072205,0.1088807451541084,38.377666885235314,25.93552257875661,0.4422601957429865,74.37553165015045,47.32147999898129,0.6071254910274315,76.74755137390667,48.299882035678856,0.566495228701378,72.64096292410308,46.981820306858125,0.6478956457394218
BULANDSHAHR,7.386808178855768,4.761442188573483,0.2898445484758037,8.870220239864512,7.381033110967812,0.5987833952193019,19.79034447500885,19.148555796405933,1.348094161882318,11.188673706248796,9.013762059508212,0.7551616167009659,7.1961561112194,5.597347543444536,0.4367349202738362,14.982510294907009,11.847920334229642,0.9887473670008065,9.60532012479548,7.276043857959753,0.6141240859586143,13.157847419936866,11.811170620789126,0.9735587771110392,11.507966143939266,8.210321246381481,0.5614157474812377
