YEAR,MO,DY,HR,T2M
2001,1,21,3,8.27
2001,1,21,4,8.36
2001,1,21,5,8.05
2001,1,21,6,7.12
2001,1,21,7,8.92
2001,1,21,8,12.37
2001,1,21,9,15.86
2001,1,21,10,19.9
2001,1,21,11,23.29
2001,1,21,12,24.69
2001,1,21,13,25.16
2001,1,21,14,24.89
2001,1,21,15,23.15
2001,1,21,16,19.56
2001,1,21,17,18.16
2001,1,21,18,16.79
2001,1,21,19,16.08
2001,1,21,20,16.29
2001,1,21,21,16.14
2001,1,21,22,15.66
2001,1,21,23,15.15
2001,1,22,0,14.65
2001,1,22,1,14.14
2001,1,22,2,13.19
2001,1,22,3,12.21
2001,1,22,4,11.13
2001,1,22,5,9.54
2001,1,22,6,9.08
2001,1,22,7,10.42
2001,1,22,8,12.97
2001,1,22,9,16.13
2001,1,22,10,21.19
2001,1,22,11,23.78
2001,1,22,12,24.4
2001,1,22,13,24.47
2001,1,22,14,24.24
2001,1,22,15,23.32
2001,1,22,16,19.36
2001,1,22,17,16.78
2001,1,22,18,15.78
2001,1,22,19,14.92
2001,1,22,20,14.47
2001,1,22,21,13.79
2001,1,22,22,12.36
2001,1,22,23,10.98
2001,1,23,0,10.05
2001,1,23,1,8.96
2001,1,23,2,7.83
2001,1,23,3,6.85
2001,1,23,4,6.17
2001,1,23,5,5.53
2001,1,23,6,5.05
2001,1,23,7,7.4
2001,1,23,8,10.15
2001,1,23,9,14.73
2001,1,23,10,19.58
2001,1,23,11,21.05
2001,1,23,12,21.76
2001,1,23,13,21.93
2001,1,23,14,21.51
2001,1,23,15,20.39
2001,1,23,16,16.56
2001,1,23,17,12.79
2001,1,23,18,11.87
2001,1,23,19,11.12
2001,1,23,20,10.43
2001,1,23,21,9.71
2001,1,23,22,9.04
2001,1,23,23,8.34
2001,1,24,0,7.73
2001,1,24,1,7.15
2001,1,24,2,6.54
2001,1,24,3,5.98
2001,1,24,4,5.51
2001,1,24,5,5.14
2001,1,24,6,4.9
2001,1,24,7,6.65
2001,1,24,8,10.04
2001,1,24,9,15.24
2001,1,24,10,18.96
2001,1,24,11,20.41
2001,1,24,12,21.46
2001,1,24,13,21.91
2001,1,24,14,21.68
2001,1,24,15,20.69
2001,1,24,16,17.62
2001,1,24,17,12.4
2001,1,24,18,11.09
2001,1,24,19,10.29
2001,1,24,20,9.94
2001,1,24,21,9.64
2001,1,24,22,8.83
2001,1,24,23,8.04
2001,1,25,0,7.34
2001,1,25,1,6.71
2001,1,25,2,6.07
2001,1,25,3,5.51
2001,1,25,4,5.03
2001,1,25,5,4.56
2001,1,25,6,4.24
2001,1,25,7,6.15
2001,1,25,8,9.55
2001,1,25,9,14.8
2001,1,25,10,20
2001,1,25,11,22.3
2001,1,25,12,23.74
2001,1,25,13,24.47
2001,1,25,14,24.4
2001,1,25,15,23.47
2001,1,25,16,19.08
2001,1,25,17,14.16
2001,1,25,18,12.96
2001,1,25,19,12.01
2001,1,25,20,11.05
2001,1,25,21,10.17
2001,1,25,22,9.44
2001,1,25,23,8.79
2001,1,26,0,8.17
2001,1,26,1,7.6
2001,1,26,2,7.12
2001,1,26,3,6.68
2001,1,26,4,6.32
2001,1,26,5,6.05
2001,1,26,6,6.01
2001,1,26,7,9.41
2001,1,26,8,12.49
2001,1,26,9,16.76
2001,1,26,10,22.12
2001,1,26,11,24.21
2001,1,26,12,25.46
2001,1,26,13,26.05
2001,1,26,14,26.05
2001,1,26,15,25.25
2001,1,26,16,21.26
2001,1,26,17,16.58
2001,1,26,18,15.6
2001,1,26,19,14.9
2001,1,26,20,14.26
2001,1,26,21,13.56
2001,1,26,22,12.87
2001,1,26,23,12.14
2001,1,27,0,11.29
2001,1,27,1,10.42
2001,1,27,2,9.53
2001,1,27,3,8.64
2001,1,27,4,7.91
2001,1,27,5,7.32
2001,1,27,6,6.98
2001,1,27,7,9.83
2001,1,27,8,13.15
2001,1,27,9,18.07
2001,1,27,10,24.06
2001,1,27,11,25.86
2001,1,27,12,26.71
2001,1,27,13,27.01
2001,1,27,14,26.64
2001,1,27,15,25.49
2001,1,27,16,21.3
2001,1,27,17,16.05
2001,1,27,18,14.7
2001,1,27,19,13.65
2001,1,27,20,12.6
2001,1,27,21,11.53
2001,1,27,22,10.57
2001,1,27,23,9.8
2001,1,28,0,9.15
2001,1,28,1,8.58
2001,1,28,2,7.94
2001,1,28,3,7.23
2001,1,28,4,6.55
2001,1,28,5,5.89
2001,1,28,6,5.51
2001,1,28,7,8.68
2001,1,28,8,12.05
2001,1,28,9,17.02
2001,1,28,10,23.25
2001,1,28,11,25.65
2001,1,28,12,27.03
2001,1,28,13,27.74
2001,1,28,14,27.66
2001,1,28,15,26.57
2001,1,28,16,21.62
2001,1,28,17,18.32
2001,1,28,18,17.43
2001,1,28,19,16.4
2001,1,28,20,15.4
2001,1,28,21,14.71
2001,1,28,22,13.89
2001,1,28,23,13.06
2001,1,29,0,12.13
2001,1,29,1,11.37
2001,1,29,2,10.74
2001,1,29,3,10.24
2001,1,29,4,10.04
2001,1,29,5,10.12
2001,1,29,6,10.4
2001,1,29,7,12.83
2001,1,29,8,16.15
2001,1,29,9,19.99
2001,1,29,10,25.74
2001,1,29,11,27.62
2001,1,29,12,28.44
2001,1,29,13,28.73
2001,1,29,14,28.58
2001,1,29,15,27.59
2001,1,29,16,23.9
2001,1,29,17,21.79
2001,1,29,18,21.99
2001,1,29,19,22.17
2001,1,29,20,21.53
2001,1,29,21,20.05
2001,1,29,22,17.98
2001,1,29,23,15.96
2001,1,30,0,13.94
2001,1,30,1,12.66
2001,1,30,2,11.9
2001,1,30,3,11.45
2001,1,30,4,12.06
2001,1,30,5,13.49
2001,1,30,6,11.67
2001,1,30,7,13.07
2001,1,30,8,16.72
2001,1,30,9,20.58
2001,1,30,10,24.67
2001,1,30,11,28.13
2001,1,30,12,29.61
2001,1,30,13,29.98
2001,1,30,14,29.76
2001,1,30,15,28.23
2001,1,30,16,24.5
2001,1,30,17,22.84
2001,1,30,18,21.62
2001,1,30,19,21.73
2001,1,30,20,21.16
2001,1,30,21,20.73
2001,1,30,22,20.89
2001,1,30,23,18.79
2001,1,31,0,15.73
2001,1,31,1,13.03
2001,1,31,2,12.08
2001,1,31,3,11.44
2001,1,31,4,10.79
2001,1,31,5,10.25
2001,1,31,6,9.9
2001,1,31,7,11.9
2001,1,31,8,15.04
2001,1,31,9,19.83
2001,1,31,10,24.54
2001,1,31,11,27.18
2001,1,31,12,28.37
2001,1,31,13,28.7
2001,1,31,14,28.38
2001,1,31,15,27.33
2001,1,31,16,23.39
2001,1,31,17,19.33
2001,1,31,18,18.48
2001,1,31,19,17.61
2001,1,31,20,16.37
2001,1,31,21,14.87
2001,1,31,22,13.43
2001,1,31,23,12.32
2001,2,1,0,11.34
2001,2,1,1,10.43
2001,2,1,2,9.51
2001,2,1,3,8.52
2001,2,1,4,7.6
2001,2,1,5,6.65
2001,2,1,6,5.98
2001,2,1,7,8.33
2001,2,1,8,11.63
2001,2,1,9,16.85
2001,2,1,10,22.65
2001,2,1,11,24.6
2001,2,1,12,25.72
2001,2,1,13,26.25
2001,2,1,14,26.08
2001,2,1,15,25.06
2001,2,1,16,20.7
2001,2,1,17,15.3
2001,2,1,18,14.08
2001,2,1,19,13.04
2001,2,1,20,11.97
2001,2,1,21,11.01
2001,2,1,22,10.14
2001,2,1,23,9.33
2001,2,2,0,8.59
2001,2,2,1,7.87
2001,2,2,2,6.98
2001,2,2,3,6.29
2001,2,2,4,5.68
2001,2,2,5,5.08
2001,2,2,6,5.04
2001,2,2,7,7.92
2001,2,2,8,11.36
2001,2,2,9,16.76
2001,2,2,10,20.57
2001,2,2,11,22.12
2001,2,2,12,23.07
2001,2,2,13,23.45
2001,2,2,14,23.35
2001,2,2,15,22.58
2001,2,2,16,19.26
2001,2,2,17,13.86
2001,2,2,18,12.61
2001,2,2,19,11.73
2001,2,2,20,10.91
2001,2,2,21,10.09
2001,2,2,22,9.31
2001,2,2,23,8.53
2001,2,3,0,7.69
2001,2,3,1,6.89
2001,2,3,2,6.1
2001,2,3,3,5.4
2001,2,3,4,4.82
2001,2,3,5,4.26
2001,2,3,6,4.08
2001,2,3,7,7.3
2001,2,3,8,10.69
2001,2,3,9,16.21
2001,2,3,10,21.07
2001,2,3,11,22.78
2001,2,3,12,23.84
2001,2,3,13,24.3
2001,2,3,14,24.17
2001,2,3,15,23.33
2001,2,3,16,19.23
2001,2,3,17,14.36
2001,2,3,18,13.16
2001,2,3,19,12.33
2001,2,3,20,11.6
2001,2,3,21,10.98
2001,2,3,22,10.4
2001,2,3,23,9.94
2001,2,4,0,9.58
2001,2,4,1,9.39
2001,2,4,2,9.18
2001,2,4,3,8.8
2001,2,4,4,7.97
2001,2,4,5,7.74
2001,2,4,6,7.48
2001,2,4,7,9.83
2001,2,4,8,12.93
2001,2,4,9,17.7
2001,2,4,10,22.65
2001,2,4,11,24.05
2001,2,4,12,24.8
2001,2,4,13,25.08
2001,2,4,14,25.01
2001,2,4,15,24.27
2001,2,4,16,21.97
2001,2,4,17,19.95
2001,2,4,18,19.11
2001,2,4,19,18.33
2001,2,4,20,17.4
2001,2,4,21,16.07
2001,2,4,22,13.6
2001,2,4,23,12.05
2001,2,5,0,10.29
2001,2,5,1,9.11
2001,2,5,2,8.53
2001,2,5,3,8.4
2001,2,5,4,8.55
2001,2,5,5,8.81
2001,2,5,6,8.68
2001,2,5,7,11.19
2001,2,5,8,14.26
2001,2,5,9,18.79
2001,2,5,10,23.4
2001,2,5,11,24.73
2001,2,5,12,25.56
2001,2,5,13,25.94
2001,2,5,14,25.82
2001,2,5,15,24.94
2001,2,5,16,20.88
2001,2,5,17,17.55
2001,2,5,18,15.61
2001,2,5,19,13.76
2001,2,5,20,12.33
2001,2,5,21,11.25
2001,2,5,22,10.33
2001,2,5,23,9.55
2001,2,6,0,8.83
2001,2,6,1,8.15
2001,2,6,2,7.53
2001,2,6,3,6.96
2001,2,6,4,6.44
2001,2,6,5,5.94
2001,2,6,6,5.93
2001,2,6,7,10.5
2001,2,6,8,14.2
2001,2,6,9,19.01
2001,2,6,10,24.65
2001,2,6,11,26.77
2001,2,6,12,27.83
2001,2,6,13,28.22
2001,2,6,14,27.87
2001,2,6,15,26.64
2001,2,6,16,22.1
2001,2,6,17,16.45
2001,2,6,18,14.93
2001,2,6,19,13.87
2001,2,6,20,12.92
2001,2,6,21,12.07
2001,2,6,22,11.27
2001,2,6,23,10.52
2001,2,7,0,9.76
2001,2,7,1,8.98
2001,2,7,2,8.26
2001,2,7,3,7.65
2001,2,7,4,7.1
2001,2,7,5,6.65
2001,2,7,6,6.77
2001,2,7,7,10.81
2001,2,7,8,14.3
2001,2,7,9,19.29
2001,2,7,10,24.58
2001,2,7,11,26.39
2001,2,7,12,27.32
2001,2,7,13,27.63
2001,2,7,14,27.35
2001,2,7,15,26.37
2001,2,7,16,22.48
2001,2,7,17,17.14
2001,2,7,18,15.8
2001,2,7,19,14.92
2001,2,7,20,14.21
2001,2,7,21,13.55
2001,2,7,22,12.9
2001,2,7,23,12.21
2001,2,8,0,11.44
2001,2,8,1,10.78
2001,2,8,2,10.17
2001,2,8,3,9.57
2001,2,8,4,9.01
2001,2,8,5,8.51
2001,2,8,6,8.57
2001,2,8,7,11.19
2001,2,8,8,14.62
2001,2,8,9,20.04
2001,2,8,10,24.76
2001,2,8,11,26.47
2001,2,8,12,27.48
2001,2,8,13,27.98
2001,2,8,14,27.77
2001,2,8,15,26.76
2001,2,8,16,23.98
2001,2,8,17,18.48
2001,2,8,18,17.12
2001,2,8,19,16.2
2001,2,8,20,15.38
2001,2,8,21,14.74
2001,2,8,22,14.12
2001,2,8,23,13.33
2001,2,9,0,12.55
2001,2,9,1,11.79
2001,2,9,2,10.94
2001,2,9,3,9.54
2001,2,9,4,8.88
2001,2,9,5,8.4
2001,2,9,6,8.27
2001,2,9,7,10.59
2001,2,9,8,14.37
2001,2,9,9,20.05
2001,2,9,10,24.48
2001,2,9,11,26.24
2001,2,9,12,27.39
2001,2,9,13,27.96
2001,2,9,14,27.94
2001,2,9,15,27.05
2001,2,9,16,23.9
2001,2,9,17,18.01
2001,2,9,18,16.49
2001,2,9,19,15.55
2001,2,9,20,14.62
2001,2,9,21,13.73
2001,2,9,22,12.9
2001,2,9,23,12.13
2001,2,10,0,11.39
2001,2,10,1,10.71
2001,2,10,2,10.08
2001,2,10,3,9.51
2001,2,10,4,9.06
2001,2,10,5,8.73
2001,2,10,6,8.83
2001,2,10,7,13.16
2001,2,10,8,16.69
2001,2,10,9,21.93
2001,2,10,10,26.73
2001,2,10,11,28.17
2001,2,10,12,29.01
2001,2,10,13,29.34
2001,2,10,14,29.09
2001,2,10,15,28.19
2001,2,10,16,24.12
2001,2,10,17,18.73
2001,2,10,18,17.17
2001,2,10,19,16.08
2001,2,10,20,14.95
2001,2,10,21,13.72
2001,2,10,22,12.46
2001,2,10,23,11.29
2001,2,11,0,10.25
2001,2,11,1,9.34
2001,2,11,2,8.52
2001,2,11,3,7.77
2001,2,11,4,7.06
2001,2,11,5,6.39
2001,2,11,6,6.33
2001,2,11,7,10.83
2001,2,11,8,14.38
2001,2,11,9,19.84
2001,2,11,10,25.12
2001,2,11,11,26.98
2001,2,11,12,28.07
2001,2,11,13,28.55
2001,2,11,14,28.31
2001,2,11,15,27.21
2001,2,11,16,22.88
2001,2,11,17,18.44
2001,2,11,18,17.01
2001,2,11,19,15.98
2001,2,11,20,15.15
2001,2,11,21,14.37
2001,2,11,22,13.41
2001,2,11,23,12.35
2001,2,12,0,11.41
2001,2,12,1,10.7
2001,2,12,2,10.21
2001,2,12,3,10.02
2001,2,12,4,10.19
2001,2,12,5,10.46
2001,2,12,6,11.48
2001,2,12,7,13.91
2001,2,12,8,17.01
2001,2,12,9,22.05
2001,2,12,10,27.44
2001,2,12,11,28.91
2001,2,12,12,29.63
2001,2,12,13,29.82
2001,2,12,14,29.45
2001,2,12,15,28.45
2001,2,12,16,25.27
2001,2,12,17,23.16
2001,2,12,18,22.51
2001,2,12,19,21.58
2001,2,12,20,19.83
2001,2,12,21,17.76
2001,2,12,22,16.62
2001,2,12,23,14.84
2001,2,13,0,13.21
2001,2,13,1,11.9
2001,2,13,2,11.14
2001,2,13,3,10.93
2001,2,13,4,11.04
2001,2,13,5,11.44
2001,2,13,6,12.22
2001,2,13,7,15.08
2001,2,13,8,18.3
2001,2,13,9,21.94
2001,2,13,10,27.54
2001,2,13,11,29.73
2001,2,13,12,30.53
2001,2,13,13,30.98
2001,2,13,14,30.94
2001,2,13,15,30.17
2001,2,13,16,27.13
2001,2,13,17,25.03
2001,2,13,18,24.33
2001,2,13,19,23.51
2001,2,13,20,22.31
2001,2,13,21,20.43
2001,2,13,22,18.46
2001,2,13,23,17.37
2001,2,14,0,16.25
2001,2,14,1,15.48
2001,2,14,2,14.94
2001,2,14,3,14.33
2001,2,14,4,13.73
2001,2,14,5,13.23
2001,2,14,6,13.19
2001,2,14,7,16.42
2001,2,14,8,18.76
2001,2,14,9,21.8
2001,2,14,10,25.51
2001,2,14,11,27.97
2001,2,14,12,29
2001,2,14,13,29.19
2001,2,14,14,28.85
2001,2,14,15,27.36
2001,2,14,16,24.02
2001,2,14,17,20.65
2001,2,14,18,19.1
2001,2,14,19,18.15
2001,2,14,20,16.99
2001,2,14,21,15.83
2001,2,14,22,14.99
