,BHIWADI,JODHPUR,SINGRAULI,ANKLESHWAR,LUDHIANA,DURGAPUR,YAMUNA_NAGAR,CHARKHI_DADRI,JIND,KURUKSHETRA,SONIPAT,DHARUHERA,AMBALA,HISAR,FATEHABAD,BULANDSHAHR,MUZAFFARNAGAR
0,2017-12-20 15:00:00,2015-12-01 00:00:00,2017-12-08 11:00:00,2019-02-04 18:00:00,2017-05-01 00:00:00,2020-12-06 15:00:00,2019-01-03 14:00:00,2020-03-03 15:00:00,2019-01-10 09:00:00,2019-01-07 18:00:00,2019-01-01 00:00:00,2019-01-04 12:00:00,2019-01-08 12:00:00,2019-01-10 10:00:00,2019-01-09 10:00:00,2018-05-16 13:00:00,2018-07-01 00:00:00
0,2022-12-02 16:00:00,2022-12-02 16:00:00,2022-12-03 01:00:00,2022-12-03 00:00:00,2022-12-03 01:00:00,2022-12-03 00:00:00,2022-12-02 16:00:00,2022-12-02 17:00:00,2022-12-03 01:00:00,2022-12-03 01:00:00,2022-12-02 17:00:00,2022-12-02 04:00:00,2022-12-02 09:00:00,2022-12-03 00:00:00,2022-12-02 17:00:00,2022-12-02 17:00:00,2022-12-03 01:00:00
