,Gab_bilstm,BiLSTM,Gab_LSTM,LSTM,Gab_GRU,GRU,Gab_CNN,CNN,Gab_RNN,RNN
Daily_Sunspot,13.285956565752372,15.864325120883253,17.342021700318533,14.803266320519707,14.375031463310773,15.30061433234882,6.052643422121294,15.746551360522885,19.06042264771987,15.477638669346286
POWER_Point_Daily,0.3219637958241569,1.071403392459824,0.2559684736592952,1.0642060199036816,0.2569853330355588,1.061116670680211,0.2062668072884794,1.0777826310877632,0.2578786764339916,1.0661772937031753
Myocardial_infarction_heart,0.0055883565523948,0.0106843689630804,0.0049593013720709,0.0098414012306733,0.0056755552475843,0.0101377184845026,0.0147669433642806,0.0177361660372576,0.0058774877064938,0.010579824130278
Healthy_control_heart,0.0142701407894131,0.0193732691362996,0.0140940216941926,0.020825639754639,0.0071779608035908,0.0105709680240639,0.0177451163848501,0.0358087416902036,0.0149727971495381,0.0224388939655461
POWER_Point_Daily_TemperaturePOWER,0.2779769783305847,1.1620799074423034,0.3248001583922045,1.167479659768365,0.3034820847119267,1.161696932618654,0.2630499787037322,1.1755377693269138,0.3273825170299056,1.1875368728690132
PM2.5_p09,2.1439246919979813,5.646221238205075,2.8052421570600385,5.77111601517228,2.7828090022360827,5.742161006943265,1.1626993497108424,5.744081719307866,2.6275829627866667,5.744346640636481
POWER_Point_Daily_WindSpeed,0.4530427195939063,0.8394675329026755,0.4677654689980762,0.8415040285934167,0.4778602161246045,0.8393667052243388,0.4520758924082515,0.8409463062470482,0.5387545400339262,0.8591186615007261
BeijingPM2.5,12.217439676769876,21.997515738842893,12.002236312640497,21.88004166416676,10.080517541838107,21.16440649612757,6.867452814415913,20.53084466155604,11.564067885726342,21.28194099356599
SunSpotMonthly,10.6399031239018,19.72680163271012,12.13155796643777,20.50357463066332,11.388659084006369,19.994580482180154,6.111126972387735,18.87504195632143,11.114245609176516,20.59287139102217
PRSA_data_2010,12.223671481505905,21.77481337624308,15.412030015295548,21.671801262137777,15.858840469847076,21.36368858034288,6.848266684039965,22.53663232732912,11.248390088560177,21.5685563637982
