,Unnamed: 0,BiLSTM,LSTM,GRU,CNN,RNN
0,Daily_Sunspot,-88.08028881559258,-495.54943248228193,-705.4097162994477,87.43386441478549,-626.7771767879443
1,POWER_Point_Daily,65.05759921579784,71.52376128744561,70.55385587729738,74.06063371778114,71.2728805174381
2,Myocardial_infarction_heart,-121.81409067407911,61.87091228945951,54.92657066286907,-372.13599730284284,43.31381668223576
3,Healthy_control_heart,83.87227907133887,35.53404103847024,-1.5399855922879053,44.03075831691903,56.951750249311736
4,POWER_Point_Daily_TemperaturePOWER,74.5996898502639,71.36632479767745,72.69310452265846,76.31043111055234,71.11620683719872
5,PM2.5_p09,58.10969465134966,49.045344809245854,50.531973264684005,77.12792349704932,45.99224092872762
6,POWER_Point_Daily_WindSpeed,42.03373804085243,40.83553819417767,39.222535631525275,42.22394794421247,36.401431562605595
7,BeijingPM2.5,-237.05779900132944,-63.706616126785626,10.171380384786866,25.766850311207808,5.9410086182367685
8,SunSpotMonthly,35.285892228802226,51.62768668909336,48.8583551429676,56.120329421361625,45.97157848502025
9,PRSA_data_2010,90.35615734620144,-15.751789790416048,-49.6285032793949,74.82914785194306,30.52283643191334
