,DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
0,BHIWADI,0.4339440302270287,1.3430757531144313,0.4841635733684793,0.4931259064162135,0.3457366220005869,0.9623004662759216,1.1121108104145097,1.0575116831681577,0.6311332415594275
1,JODHPUR,0.311956400495773,0.3331893820486132,0.4371228365755951,0.3679496459834823,0.2931367060802654,0.5532174643314511,0.4430073417721198,0.5468861159696407,0.5711444611005576
2,SINGRAULI,0.6107304683628519,0.6633730699392365,2.1267992688097626,1.619702553335195,1.0194067580651351,1.0566761749016078,3.565068417800263,1.7193005479644805,2.0291035372279107
3,ANKLESHWAR,0.1450486823162056,0.1303419208184039,0.2516195557566983,0.1626004659688,0.1295944114746124,0.3119372730289468,0.4049351355012418,0.4588444990866528,0.4658580035652366
4,LUDHIANA,0.1508393604429087,0.2814825852506413,0.5728908097602444,0.2197152559926465,0.2238996454985735,0.4273785324547779,0.7108191159131284,0.6604658171442976,0.5122375231089834
5,DURGAPUR,0.2833941335859217,0.5117954982572495,0.9338925146913868,0.7058913472558694,0.4233367522231868,0.8377738957775098,0.6608681947103068,0.7209114868139348,1.3785418065733068
6,YAMUNA_NAGAR,0.2270514616827139,0.2600010090457206,0.3269759832536048,0.1889299167774862,0.2624445386143752,0.5319779496056943,0.4744232093842763,0.3217378848322429,0.4698565501210436
7,CHARKHI_DADRI,0.4825505983744308,0.7517533524309559,0.7509882180574694,0.7177722277323995,0.4822408429163435,1.1228142424634806,2.0848889976206904,1.8761190445854448,1.9469149724263617
8,JIND,0.1544431961845068,0.2149256226030628,0.3020140598327533,0.1431717226302638,0.1171742488345958,0.4755974575948735,0.3851770337910782,0.2283321597521673,0.3019609347947915
9,KURUKSHETRA,0.1871486731590209,0.40344162585906,0.2650060301193152,0.2346152754521317,0.1956053524599604,0.509025980004328,0.3365885871819717,0.542060367612121,0.3093417223357686
10,SONIPAT,0.1570025341234096,0.1751884705998049,0.3568358300259088,0.2051475241797914,0.1434291577574607,0.5841948102610216,0.3250272757375017,0.2419209840052834,0.378512720094796
11,DHARUHERA,0.3013718581075533,0.580639965264966,0.4113773299016758,0.3258970288713615,0.2456352979933938,0.8701316211455403,0.5175774595224621,0.3765318720650711,0.516237495876098
12,AMBALA,0.2889493623573885,0.4762154590311433,0.4218849590552356,0.2604103350998027,0.2465243480355249,0.865841562169324,0.4086851987580437,0.4906963452297272,0.8262885963484873
13,HISAR,0.1318565130396368,0.3126623009069444,0.2272568655110335,0.1712971081762967,0.1640773589135258,0.3874850443815544,0.3212026693169414,0.2827343469052794,0.3050297308443011
14,FATEHABAD,0.1309275577264,0.3544182763896106,0.5002450573319182,0.1185969809720554,0.1088807451541084,0.4422601957429865,0.6071254910274315,0.566495228701378,0.6478956457394218
15,BULANDSHAHR,0.2898445484758037,0.5987833952193019,1.348094161882318,0.7551616167009659,0.4367349202738362,0.9887473670008065,0.6141240859586143,0.9735587771110392,0.5614157474812377
16,MUZAFFARNAGAR,0.2995628398647948,0.6194873392743582,0.5899810360365018,0.6702287086542927,0.548853008888909,0.6753726541637408,0.6903204622762482,1.1063983387699512,0.969022656522906
