,DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
0,BHIWADI,23.130568072265163,57.20208630211039,22.33737718730658,24.202993982491016,19.59702293467982,48.1445150744665,45.98168472922478,43.50291628533721,35.295455622314506
1,JODHPUR,27.537045052779472,26.68174017390308,32.94236095413237,22.35324982486788,22.07677402991372,50.0019965294399,40.87162368369106,43.54656957377637,52.628163809627615
2,SINGRAULI,10.924705352013037,15.496582824642172,27.342745363935787,21.60870116106873,13.627672226901836,17.78760347300375,50.6061503972089,22.20299847463448,26.50103958767472
3,ANKLESHWAR,18.531004056334183,16.67904540954104,37.14881112531496,23.779240199775447,18.38312582929965,46.2786040043268,62.85478844702836,68.72172234355403,69.37677666472749
4,LUDHIANA,8.396339591776927,11.1189544670351,22.141513065778778,10.096244423484189,8.303548442686974,21.150276020696023,25.659122065913127,24.758327809623232,23.767472932452847
5,DURGAPUR,6.141875858710262,8.27292454494099,20.3390836323052,9.480578098723743,8.779258227772885,15.282690593850612,9.617847984791112,13.75535126079684,24.3906208155119
6,YAMUNA_NAGAR,37.34431213098891,34.5661689990463,56.26632033209746,36.33099782277124,38.1773350233584,66.14114042377399,72.3913283940359,45.62586113410737,74.13381978878293
7,CHARKHI_DADRI,18.421645286008733,20.42508054156955,27.95619003316069,18.425814770549444,18.05763902189056,40.7051073268136,46.16307812139495,45.26819711537964,43.4845543549321
8,JIND,24.16818396300524,26.418044967510024,34.348800746578405,25.848883446058498,19.40525139426025,79.2175583064455,62.128674593005606,43.59260807878,50.94575360906539
9,KURUKSHETRA,27.14068811832221,72.02846300324532,43.56132876448269,27.32017620654721,26.70213124567915,65.76969916983238,39.70522868051708,88.11880659930486,53.73555998106498
10,SONIPAT,12.55753870365081,15.983048231436229,22.4041107330619,15.412719214870911,10.89591837507329,43.02267063317793,24.010693582094497,22.95780050855496,46.77439377821557
11,DHARUHERA,26.74080059299856,28.92895525526698,34.6043948034796,24.05770188132526,25.186141326292063,53.17934520881969,31.9265977737608,35.01294903735851,46.222201689350015
12,AMBALA,22.58426444328592,28.959282302558403,41.081808131025625,19.92082694225927,16.924650453172955,57.43097254249408,40.70939421866029,34.13827308761394,63.85345914533081
13,HISAR,28.34329980971117,66.7926676795884,47.934032124568446,33.979779344621264,30.987069813096976,63.29441129637189,43.15696673138635,49.10224601296165,62.459926647165794
14,FATEHABAD,14.368081020132331,38.3612043895849,72.70902628335068,15.50931116718372,15.58311164475474,38.377666885235314,74.37553165015045,76.74755137390667,72.64096292410308
15,BULANDSHAHR,7.386808178855768,8.870220239864512,19.79034447500885,11.188673706248796,7.1961561112194,14.982510294907009,9.60532012479548,13.157847419936866,11.507966143939266
16,MUZAFFARNAGAR,11.876729295826586,16.12948459747724,13.724171811491432,14.19966640126946,12.750879705540138,22.2100568408225,15.91182998336692,23.603618040261885,21.89532764136633
