,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,24.75,42.03339095903225,23.858694296431487,30.8597306418922,33.52270192686886,28.403047130790466,24.25855122573072,20.181817639883707,32.17737877968029,28.16373020167466
1,26.33,43.23308647523318,24.3404426937645,32.30717325311591,34.47346176068674,28.984963361060924,24.34706980199382,20.5727931802966,31.74164778928254,28.215081577813034
2,25.5,44.53120362812624,24.66496005942937,33.3518571677504,35.5074814053945,30.581887340994346,26.062643414620727,21.10863697643919,33.88227895118171,28.29561570842925
3,28.5,45.86628804901088,24.923362253180112,33.76764263506883,36.70450260003485,31.96938332859488,27.24735319203573,21.5391770683346,35.20438062309125,28.393498078633858
4,29.75,44.27334987206178,23.768231426029697,30.218740886121225,35.777796986344086,27.7506190559168,21.350758458138063,21.22093096838688,27.435909370213786,28.49711795078735
5,18.25,40.32506442767134,21.677177930427288,24.10198785733284,32.90875253354366,22.656970111063217,15.183673890514228,20.08670864018636,23.53251510954997,28.59360079606005
6,11.499999,35.38586030430037,19.89237827526436,18.378013426635,29.79999495584068,17.69865871218027,10.153556590881994,18.62851371552776,21.92630253950494,28.683362986876016
7,6.0,31.185073415446134,18.85088593780093,14.96813421132276,27.33964479947174,14.480974806716986,7.189736970019351,17.092712106899494,21.347300916202755,28.74301429789888
8,4.5,29.78567871456478,18.65478369727707,14.842826288324147,26.22604482881957,15.154065592413584,8.813474783788989,16.21664985280226,22.328364224987848,28.78260819721746
9,10.25,30.559645349743665,19.04706154791493,17.01607940423893,26.147623742399368,16.7244352834359,11.298813705439438,15.913360143804397,23.42761860652806,28.787004869906543
10,13.25,31.6425915056357,19.524286710015865,19.3672849583169,26.18781560387758,17.23355604061007,12.153997725542704,15.843253666186706,23.42216541174097,28.75037693626934
11,12.499999,33.75808991443272,20.27435503544668,22.71161761603859,27.06314783055293,20.071513798068544,15.671203811550209,16.129099755128994,26.08444518833057,28.687750488366333
12,18.75,37.16152177701147,21.543527885029853,27.03023423241652,29.272506121775177,24.28571815071948,20.67231719508057,16.93729880682704,30.8017723341618,28.62052743564111
13,25.25,41.38506424424737,23.285822702385428,31.552688078358724,32.302481267826515,28.853778533892164,25.61699835835542,18.09890633454699,35.894454634665294,28.560215798306995
14,30.75,46.17300228362849,25.73138705210158,36.00860304300375,35.92376578592588,33.942497042288394,30.35198189605364,19.40376248429432,41.63612397626494,28.517932903509816
15,37.0,51.76887157570366,29.23458871759128,40.94809697625577,40.3584255803076,40.134068710621165,36.33773902436788,21.33186578867724,49.52002760530829,28.54097829177252
16,45.25,58.16358896521364,33.68642983574383,46.19491411172354,45.59520208736484,47.05844117134551,42.89622834450691,23.814764254335685,58.00772994488109,28.65117207920247
17,53.75,57.85442418628539,33.60157056778892,42.77619202655979,46.231907059071695,40.80214651907151,32.61525583058962,25.33627713528435,38.9300774049176,28.83564707392903
18,30.25,53.49198574795712,29.60606628942469,35.81927648412924,43.20926703779451,35.203525867366125,25.433596393884645,25.78353265405321,31.227000467731138,29.06399524931904
19,24.75,49.036290892082505,26.65276236506874,31.02530746443868,40.4969070132157,32.20703109953502,22.77649467611912,25.77192741913296,30.13600199932133,29.3268363032732
20,24.5,46.47252629841247,25.44407723983602,29.709260617955373,39.00890936104258,31.304673184331925,23.32801571943469,25.778512339847943,31.26243064280932,29.60471995744564
21,26.0,46.14920118858736,25.41892797857608,30.88686821904491,38.73898630740024,32.12921531223346,25.464595045718426,25.680626301163823,33.96426213120317,29.85783770646661
22,29.0,46.95589249520805,25.86828370186267,33.13377339802086,39.05871630730853,32.98353081981346,27.209079945339656,25.65708383392793,35.3180007703807,30.089333437273584
23,30.0,49.19159230353,27.09223520456359,36.75345845905518,40.3713422966516,36.00565358548016,30.956039234388328,25.705313334005886,40.31648385410457,30.29068160349239
24,36.0,52.68895558388437,29.231773159569688,40.79468850023387,42.85902996230637,40.13446490640791,35.306335005548576,26.02914469400295,46.29845327732788,30.487280922989445
25,42.0,53.06594688041674,28.980390601355506,39.32310362537487,43.24345359831984,37.35631070187184,30.72976374991975,26.04901868173189,37.35836505039574,30.6884456652329
26,30.5,50.13520227078882,26.180210845859666,33.58546961123288,40.98219182479342,32.56855975494557,24.257839540706367,25.224394013041444,30.0255312416886,30.86280482771903
27,22.75,46.899463943432046,23.92476728083128,28.70962563166632,38.696835477865314,30.29501958050937,20.871429423039885,23.835320579252915,29.331115584618065,31.007117308803437
28,23.25,45.23968240138669,23.15985628731532,26.981804800205435,37.67493282096903,30.19028265634601,20.838348909085905,23.017891633115365,31.088698790318883,31.16752340948485
29,25.75,43.277948311123744,22.66986481653017,25.300414079624343,36.237508827278816,27.323564019553,17.580994066234396,22.34914249291525,27.34887469391124,31.31246136632519
30,19.25,39.8203623540633,21.69631822225483,21.86356420297697,33.40199794565147,22.488152186872345,13.157260838064143,21.720557700597045,23.546686445885346,31.42334482790245
31,11.499999,36.78021268009942,21.05972697341269,19.542874895677613,30.87352045635885,20.27120748002972,12.613637114007172,21.31451021212983,23.18670955730624,31.47525381292589
32,12.25,34.233370782394964,21.091230041178683,18.99975833891248,28.991667507359885,18.03813980575401,11.64202105707237,20.79556159835652,22.569882241807825,31.431136678375232
33,9.75,32.57443665911571,21.68031448040573,19.885558571860926,27.62549639113329,16.954588350743325,11.76301668241056,20.48992222823445,22.51865559397269,31.31009886552271
34,10.0,32.84017030916111,22.965514916954795,22.996935443931875,27.35782578390821,18.579926538697872,15.355339471922376,20.95723332446784,24.15290268440988,31.14872978897072
35,15.25,36.01639856195603,25.265893687463887,29.097471959059767,29.163543109219805,23.54766226143419,22.43513898951732,21.91896191201152,30.29625952658272,30.929760081440246
36,25.25,41.69687032842063,28.73860111705201,36.92144914111724,32.96135852967341,30.236098296908388,30.78590065757496,23.32750213230372,39.45976549244752,30.675283160761943
37,35.25,46.88685537936664,31.532819593349046,41.954555334427766,36.71487339160102,34.34184772141567,34.75682979172208,24.868777112356355,41.49476645542339,30.41789897007438
38,36.0,50.06077615855168,31.13702733934353,41.733173601621466,39.19983170850262,36.15406926089309,35.69414464814696,26.07487595953668,40.59604400341168,30.17299127818997
