,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,58.84,72.01573746473159,111.5323611308122,82.85893411933527,106.52533416413054,65.01874263586103,105.79582505996954,73.57136444540595,70.60209192731467,119.81221793961733
1,58.99,72.35716495070308,109.19417105755076,80.38034952874457,107.0848410343487,65.18352962027454,103.51451100800357,74.02138832729078,70.80065137760874,119.47663898347513
2,58.74,74.44358512775848,110.10336785906615,79.5073316582497,108.89910713989488,70.25348974806212,103.96416982242134,81.32035355426531,78.06927130267911,118.88812787551748
3,69.23,79.74319504339134,115.3533807516752,80.1018850053049,112.7667212901241,79.76103864713808,108.36932719199382,93.47904475014414,90.70941943439163,117.80794539300514
4,84.5,88.13254974124271,123.1507003229584,81.94820254438696,118.57095129985728,91.27587748719674,116.0222886563055,106.7871396905023,104.98095722172656,116.29473329171708
5,99.88,99.92380425671168,135.41728013088587,85.59023480140377,126.35807878348892,107.22852860923788,127.36110537439322,125.02662557865403,125.72476868207444,114.70612358294802
6,123.39,112.43676735311708,146.92928783548578,90.44494668040346,135.1132161826137,120.2591573739234,140.15849327941467,138.8506428038782,140.2471227199872,113.20945127302436
7,136.04,122.14872423231644,154.42081497579565,95.69264996250666,142.79869100256246,127.7531729332944,151.11537492340102,145.9797399033264,146.58375520309906,112.00679983085072
8,140.19,128.79327249799567,161.2133347713346,101.15802285925066,149.1546944124975,134.11285681932583,160.27907497065257,152.6765673203588,152.99533827230366,111.28049437997204
9,147.7,132.89610930271007,167.71968637484338,106.51469505509073,154.27620355670413,137.8462304466704,167.6991829938367,157.13652951212796,156.24226322497935,111.09717090866005
10,150.49,134.2760345267417,172.74663559472702,111.03709123408228,157.11058737089783,137.3729242008154,172.13773286110975,157.11715858530476,153.95960810884867,111.30608635444804
11,146.67,133.63424591966384,177.16116551273936,114.33269681593592,157.9460107426428,135.52052717085343,173.99407858000106,155.7181306472829,151.0528217304751,111.75875511287988
12,143.95,132.4264835329515,182.25296263534185,116.37072692771572,157.99610693955017,134.24888542776338,174.74060429834057,154.6156864996369,149.85665209843074,112.36767274721012
13,143.58,132.57371747752055,190.29377475679243,118.13871141886742,157.34560141540183,135.86248363213434,176.14654616716703,157.6307116568132,153.14674441649623,113.42187583670996
14,148.62,137.19530770255977,205.3497233251192,120.14527122491602,157.3015549079485,145.28088156568484,181.36443312267548,169.54892769689516,167.62506684766862,114.60964891701212
15,167.52,145.1770981000514,221.17892949080127,121.6323325749928,158.74576180760724,154.80935106572983,189.360125885341,178.2345085680118,179.26231504453685,115.6636657476002
16,178.69,150.87033269908778,227.8727916659585,122.39250734638615,159.04295652721365,155.91000712782298,194.79189767440323,175.11999135052903,177.4026762680856,117.14703172086762
17,171.84,147.9645595691942,218.14177677490773,121.71631299312774,154.88561291456142,144.05458269207398,192.44314299566668,157.33283150441147,157.96278894541427,119.32007719260498
18,145.72,136.588550671606,197.7129589357742,118.9845205875322,146.8148950622384,127.4456818210458,182.96198325920903,135.27299652747908,135.27710912425076,121.88928791930228
19,122.26,121.1294409635936,174.43586981798603,114.87943377516372,137.43108168342377,110.52543800347384,169.784493067778,114.94969808703658,114.69095465717416,124.8615480303382
20,102.27,105.27439696167188,151.68012684457435,109.7548401833783,128.01132778499564,93.6038233203113,154.691546029219,96.30539708006268,95.2254083068186,127.91295327815976
21,81.89,91.52877238722984,132.08337971677412,103.89750403272372,119.31947371373089,79.54326472750671,139.51898448141677,81.86902015581897,80.68363863994382,130.5824607036623
22,67.3,83.49900169406845,121.5739813831162,98.5580421603304,113.83142193189082,75.40595512340352,128.5877320636888,79.58097843196015,80.04055367084011,132.6763684889705
23,71.08,81.59649356648623,118.10400765842805,94.41065222392268,113.0459904520626,76.48814920216286,122.9334628289929,82.69446004989352,84.08314689313441,134.11839988453983
24,76.07,81.60138845068731,113.68022439767942,91.31447778407016,114.62923590417292,74.62474054533757,118.7473608403647,81.73587483533548,81.25079702625715,134.96560972022107
25,69.66,84.87658750616838,116.18683722931196,90.49126554658028,118.5960888025886,82.45510244756724,118.75925160929155,93.76242650885436,93.25111599464354,135.30878803996313
26,88.0,94.38786158347956,128.67354526951547,92.4306901904736,127.29023758364626,99.90582654654848,126.63241580944398,116.99318931010922,117.90776526899629,135.09701910764693
27,117.53,103.30538695223436,133.24191014792973,95.26528261464848,136.02578054525375,104.98022708679248,134.26873317740066,123.7285797722327,119.71593698294964,134.41665255476508
28,110.56,105.81623158634213,126.35900262769124,97.70230911684696,139.5013569380077,101.24560179956084,136.07255388317526,120.58715931753513,110.4635925944126,133.39267556146584
29,98.0,107.3533965836827,124.80245925317102,100.09443977095452,141.67860441079438,107.90414928504808,139.14277128108472,130.1032984776215,121.31005250515037,132.0197834739423
30,117.12,112.56138201544192,131.890504888467,103.17318037666617,146.49210091779952,119.0423875062382,146.84733391431078,143.74646574988188,137.21956606322755,130.60299388609488
31,134.81,118.35688020739173,137.8963117428648,106.35402066744892,151.0485303251481,122.75996637786544,153.71167514622488,147.60776199782416,139.326020248832,129.33311042713186
32,131.92,121.30149949592229,140.60485903627253,108.77109511501952,152.95382488605028,121.96079644070568,156.97047596711448,145.83763180400894,135.95994919548082,128.14713288273907
33,127.17,119.70632602310276,139.4818072026292,110.03577822516618,152.52803701376382,116.711707392299,156.47550408464338,138.91251056400887,127.47284582073708,127.07502658664072
34,117.24,114.27518751434047,136.71933422908833,110.26703729000909,150.5275119964563,108.98568028208156,152.7146684433487,130.06239602059873,116.96881174373787,126.04045518644052
35,106.19,109.20016859450946,138.74738086319772,110.13458485267736,148.89938559696796,106.10210921446992,149.1315685060132,128.18910819109362,115.3946855279474,125.04721836393838
36,107.86,105.87565562955048,143.31731031647078,109.73180368117166,147.46644363629258,103.3535907585982,146.32941493391067,126.79408854485284,112.82508738271363,124.2002245885948
37,104.48,103.56135884948976,147.68381523667455,108.82227906397156,144.1058858467295,100.06296201486684,143.24635312144616,124.88749017156832,108.91775538214044,123.32092606759534
38,99.78,102.8983367264711,152.78155774374045,106.94826109953236,139.30052512899013,100.608849633457,141.45963843412773,125.77704038307114,111.05418980218198,122.00102836564616
39,104.02,103.9400679192394,157.03359538713215,104.3126676966833,135.02545098339175,102.80421637317986,141.56628283664585,125.92470644831552,114.61849249014254,120.34035880909488
40,107.88,104.2259976998625,156.34801358472097,101.0935325736424,131.0641411501901,101.00575247370752,140.94838007241222,119.41240946034333,111.05321380548436,118.8789415859894
41,101.49,101.09272048478712,148.77983717704305,97.68910708518132,125.91834384388976,93.99968311065597,137.1675923764897,107.38119386367396,100.35476267638865,118.11536945204548
42,88.03,95.78004264390508,139.054693166891,94.30706246755749,120.56646967761668,88.16311110348452,131.877645573199,98.08061586734722,93.56715266576374,117.90424125038577
43,82.42,96.00757653051276,141.13343202642537,92.68589470101254,120.08765016797352,97.31282683164105,132.56695255384545,107.86070625646886,110.055491868387,118.13323540686164
44,108.033745,198.9054480917221,367.3837861220784,119.04077077888412,176.62649813099367,314.6257258549808,228.47244105683947,396.7729092768201,453.9093354316224,119.63995079730746
45,638.05,312.12628026627283,461.9844191928371,150.8205792185781,253.92397631338144,376.3104158264401,331.4008888810036,436.4059447627516,454.8941235498871,122.7785848186851
46,490.08,337.3055049938197,411.9865371894875,171.5310652344336,274.4025625337376,306.29890944934243,353.38999017360555,330.2017093049452,320.6356006040115,127.07091398986904
47,284.04,276.3346485765076,293.91129115019595,178.6006190849699,245.77745853432805,221.1079573950637,317.53243772978965,227.10173937411827,215.89765490244224,132.1894429914875
48,177.88,187.59139635854223,188.4790914312839,175.2185744673461,205.1169741889821,149.00519555956134,265.2700347779584,152.32292870013222,141.00786371847232,137.85968579045604
49,109.19,118.61422297023768,130.14443934605137,164.398049247482,168.99079169226758,100.58555981913037,215.45324113897965,107.30549079157768,94.21059525197803,142.81970100780913
50,73.88,83.3880658862234,117.85237931899492,149.38291373190043,144.461565864629,75.60967767073161,176.84714788822265,84.87725803825072,74.78531807834527,146.41606257966205
51,63.45,73.82708303054135,125.67085790265422,134.87730809533323,131.0869392409897,66.43255208112029,150.84267697586947,78.81818858544564,71.36693807221502,149.3950280115214
52,63.300003,76.43397020990972,136.3605399621842,123.1348161629634,124.11367379747756,66.0137600935596,134.9325748396311,82.93269264839276,74.63991692146789,151.6971732601788
53,67.08,82.31269633399098,147.467590991189,113.4330066692768,120.94794282961686,71.61732965247406,126.92700290428574,91.40639283184616,83.01441560851718,152.52021413946986
54,76.44,90.09688837717324,159.3218382706157,106.31301390543554,121.91447757452887,85.18191801504052,127.0253327089828,106.32906942362936,100.94786320393207,152.10628723468437
55,98.19,101.97952151475236,182.53235100298383,103.148251483916,127.8335622796106,106.14768304499968,135.7161139289158,128.82448949160687,128.45606936414293,151.18010362041633
56,128.97,115.9387776106282,193.22960262468783,103.1377911834315,136.85949033501052,123.7723804179225,148.48592061428363,145.755916294241,147.9849139430715,150.01048705883267
57,145.61,128.2401133314903,179.41187350032473,105.42789665603264,145.44803776345594,135.72112056846393,160.6966227486827,156.1706354978724,158.87930199698366,148.9318542504662
58,154.4,138.09651772193885,160.48053260961365,109.6281543219547,152.7562265317409,146.40069994462,172.1027459871245,166.74017310895982,169.82649817755842,148.1087239668975
59,166.72,144.1158246222611,137.08219639062534,114.08735657736386,158.75957476850346,150.64090642193662,180.9790708845977,169.620838537548,171.89513435371882,147.43211239367673
60,166.38,145.48712233349997,122.43858035079946,118.24820185755722,162.45761880546513,149.07484149184717,185.4713229213098,166.5988696481412,167.25988017491284,147.06624028812567
61,159.99,141.65775831339005,109.55157955815136,121.56915355212334,163.1729126294805,141.04779762915396,184.64933999263752,157.4797376332959,154.9828251657879,147.01276162938075
62,145.19,133.60535343727145,99.13367160195062,123.43213008827334,162.23036803240333,129.57856987140744,179.05535904250056,145.2284459568458,139.78061119923325,147.0646608125539
63,129.05,125.13651833659326,102.54667990106569,124.55030938878498,164.37894653349173,121.53103007806402,172.1773389561067,138.02943471227888,131.52001356190425,147.1501015005571
64,123.3,118.97068527556657,113.1539163158936,126.42496808388066,175.1412844693216,116.50846911814146,166.31444483952515,136.57567645562503,127.35119640028752,147.36517839114617
65,120.1,113.51374618234712,124.4336815085965,130.03229658045808,197.3984346870175,108.46718762423323,159.6307896527325,136.70449311899918,117.12916576605149,147.71939813917743
66,107.04,107.21196646680406,134.01339456044528,136.20417188058232,200.4784120519033,99.47683502097972,151.33933263890287,146.23382686039474,105.9661253081712,147.97132449286937
67,95.04,101.0271424471342,142.470487899326,144.95105428473784,174.3548844431522,93.43098995090972,143.4604018628423,175.62601956200228,99.9215840504835,147.69932687884602
68,90.33,94.63054949514812,142.74758155717515,125.33650080497318,145.80833700236713,85.82572566872187,135.56311340843854,141.78611305466302,90.87570394045572,140.99370804117848
69,79.05,88.15447614033526,135.98949730924264,107.44882074935629,126.50128953556398,78.65191152973804,127.4081618258606,109.14782238994805,82.75269203606659,133.06921088494462
70,70.38,82.13227850170246,125.29956193759269,96.0237587047666,114.41241563016978,72.6019836643222,119.76257621445468,89.50111317165691,76.29142998991699,128.8038669048967
71,63.69,77.15318292142854,113.4458957859707,88.05021585188773,107.64470552167744,68.07888715182243,113.16458522635928,77.124700208642,71.83307707514545,126.76528546673806
72,59.18,76.98871630234326,109.45190868928964,83.89784162700128,106.56766708959566,73.63387293619306,111.36349135105289,81.26134673101932,81.86669564460018,126.08830137569376
73,75.19,84.9167002254053,117.41078179027816,83.73970036055943,112.25891989381088,89.63174772200985,117.56017633822373,99.916160190973,104.9093890974714,125.96313538699016
74,103.74,92.19556439062254,117.4740949195641,84.9425455120013,119.43502874258762,90.89830832198706,122.5528986204821,100.35000189860402,101.48351403273186,125.83822271040653
