,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Actual,Gru_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted,biLSTM_predicted,CNN_1D_predicted,GRU_predicted,vLSTM_predicted,transformer_predicted
11,11,11,11,11,11,11,11,11,11,11,11,91.1,73.59333101,98.34339767,88.73676084,86.92105667394551,83.24810434755383,85.20779342,95.32670933,112.69298489146392,90.1472974749542,88.1999889106376,86.66627288421309,47.33778885006904
12,12,12,12,12,12,12,12,12,12,12,12,87.64,83.59493002,98.34347217,88.57059232,86.92595822450085,83.24700932030211,79.3376056,96.89249401,106.96089713611032,89.25986355283035,84.91970441771565,80.81356080037553,50.023278385400765
13,13,13,13,13,13,13,13,13,13,13,13,70.97,84.06929285,98.3422952,88.40947433,86.9285430847481,83.24528111402728,70.85261188,98.29435237,113.53211097870738,81.7570273414617,81.66211008131579,72.30032730059604,51.13952180743217
14,14,14,14,14,14,14,14,14,14,14,14,56.19,76.11334628,98.3404925,88.26721762,86.9308523258912,83.24394026433129,65.04655392,99.19750403,129.92247888249022,74.49205041699611,78.60612739503749,66.49085017028908,52.07773905247449
15,15,15,15,15,15,15,15,15,15,15,15,53.38,70.33827684,98.33913675,88.1679873,86.93223042141207,83.24420843427049,63.24642596,99.60033998,144.54350622243882,70.12923837118421,76.23824642524467,64.7337038895233,56.57841277122497
16,16,16,16,16,16,16,16,16,16,16,16,57.88,69.35211168,98.33828755,88.09031485,86.93183561566825,83.2452438682024,60.31822625,99.33972349,155.89259213424046,65.13573532337,74.32743132015382,61.83201948201067,58.43945784866809
17,17,17,17,17,17,17,17,17,17,17,17,52.62,77.0909002,98.33921124,88.1001701,86.93377984772742,83.24478946913875,69.67058583,98.20767389,163.92752964913151,76.03708917418673,74.34389397475455,71.3558849188978,62.93708404898643
18,18,18,18,18,18,18,18,18,18,18,18,84.67,92.54925837,98.34175141,88.21400079,86.93608908887052,83.24575041142087,85.10785543,96.65010564,157.8075936700488,96.24613741882013,76.87973126729966,87.02111385792604,64.81023773550987
19,19,19,19,19,19,19,19,19,19,19,19,114.42,111.2113534,98.34434372,88.42549748,86.93761616769095,83.24703911696201,104.3363328,94.98059878,140.03333479503797,118.99123898178296,81.91217854961732,106.5156754437229,66.28202250599861
20,20,20,20,20,20,20,20,20,20,20,20,145.03,129.0781905,98.34666041,88.75131651,86.93743738773148,83.24857364494743,125.765234,93.56888518,120.88998643960991,141.89973797853173,89.03550215286687,128.1787485478493,72.95158509910107
21,21,21,21,21,21,21,21,21,21,21,21,175.4,138.3886933,98.34818004,89.10256699,86.93211123477242,83.2475456601805,137.3209448,92.78535221,100.28208010541034,153.22066604671767,96.25005567959838,139.79262247794844,80.15756277740002
22,22,22,22,22,22,22,22,22,22,22,22,173.63,140.4637773,98.35009447,89.44231595,86.92658395435896,83.2504210378619,147.424873,92.148024,90.85268125418796,156.95593063814786,102.85519301950389,149.90753073624404,86.28283043205737
23,23,23,23,23,23,23,23,23,23,23,23,183.4,133.330308,98.35027325,89.64637838,86.9202596132929,83.2483129241732,142.9562679,91.88227504,94.74436341182,147.11531553266127,106.85444111941396,145.29484390042003,90.88365752995011
24,24,24,24,24,24,24,24,24,24,24,24,153.75,124.6552041,98.35122675,89.7737591,86.91459079874487,83.2514564717938,140.9041422,92.20273812,105.53082134202062,141.03062900225302,108.80634581852182,143.10322507232965,90.44078607857226
25,25,25,25,25,25,25,25,25,25,25,25,154.38,116.476751,98.35036264,89.77530852,86.91238584591146,83.25086053859557,132.1481553,92.70350078,119.78471658604305,132.50330168233572,108.45654792949875,134.17970646390816,94.09777116775513
26,26,26,26,26,26,26,26,26,26,26,26,132.24,107.0082664,98.349871,89.66676674,86.90938383242545,83.25261854153031,119.0799734,93.98839235,125.85752914747682,121.67161987155544,105.84351494028972,120.91469531984096,95.2597458809614
27,27,27,27,27,27,27,27,27,27,27,27,108.52,99.22214587,98.34918568,89.5047325,86.90891453503185,83.25194066751735,110.1887395,95.28359357,112.89019408508366,119.22016671987777,102.16773938037149,111.88901141375024,91.42725631594656
28,28,28,28,28,28,28,28,28,28,28,28,103.93,91.80840167,98.34746492,89.27339869,86.91047141051219,83.25057747032642,97.64108295,96.45300818,107.4206670476992,112.39410949422847,97.52756512577972,99.20902789037204,83.82403479516506
