,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
0,54.55,48.12349689291512,57.20938470589856,60.87909817650269,36.9212488922374,51.40912676511527,54.77220214477647,48.58513848317735,56.581941114187394,54.91779070005148
1,57.48,49.61488814563627,58.925930352242695,60.878277040403255,38.03902321971252,54.97951088878624,56.50352824091056,54.06580575468199,62.05441389735719,55.04996549096232
2,68.85,49.943674414384695,59.47488795581885,60.87735466834634,38.10019223490108,49.28456646486629,57.572984895575374,49.18210442747156,56.809930114619405,55.458238858980685
3,48.05,49.88852331444547,58.747192645117615,60.8768372401193,36.90342292739369,48.64082388400319,57.542462254399545,48.91728803540156,56.54488312953519,56.09508052207656
4,54.770004,49.51848901724975,58.25791363846733,60.87608921887803,36.19628976449766,46.94477008271602,57.416119779482685,47.49346053584887,55.096039100048806,56.802641125681895
5,51.550003,48.6258690833976,57.39466338071988,60.874452570899,35.478265299844296,43.312679830859935,56.81901885391186,44.08467712139202,51.63765569065376,57.51693392045868
6,45.03,47.64476892272067,56.234077491676594,60.87210164699786,35.26573165558534,41.65206986312538,55.86300833802677,42.51295513642204,50.15958259055917,58.29237323354459
7,46.25,47.98231210178986,56.96665462521561,60.87335584802646,36.70750041648886,48.58117340817661,56.124067751230825,48.55068451231994,56.49608177381699,59.24437368067007
8,64.22,48.600565718251104,58.50185292642,60.8777202426372,38.57127689030688,51.11795527878511,57.225065030865984,49.23355479074343,57.10603404176607,60.09340028639362
9,56.62,48.53273200252941,58.04967127396093,60.87725905660874,38.52240241973052,47.96062511001281,57.324394377799145,45.91103566048685,53.599715406511145,60.42561732925616
10,47.07,47.077391999105664,54.92062530686051,60.879036310084246,36.16597803156655,42.53826131367847,55.65938908224464,38.533437139094254,45.92321772070186,60.81871655209442
11,33.0,44.37388856710125,49.85868120387261,60.8773602925662,32.17455918501671,35.32391421002867,52.42457966069213,30.912745774837784,37.56312985632711,60.73176611307134
12,23.12,41.02931968288671,44.2991230004031,60.875942989161686,28.27474763153337,29.385083928244708,48.46152937911205,26.421111626121466,30.487956885202905,60.41644985088568
13,17.4,40.10250168018076,43.37142761939912,60.87063372561461,27.970589821548337,35.87954213835783,46.60781463462212,32.135909546144354,39.770456176023934,59.71048652572035
14,51.27,40.86271623010784,46.72302959054757,60.86950888164277,30.7399556802138,40.170335395902455,47.51168300819264,36.99296331966194,45.293538501596665,59.3875325729659
15,51.27,42.29378210061932,50.2436196836952,60.87175856958645,32.95385108870616,43.55906565445136,48.92357028898428,40.034310826498,48.51791218320044,59.17666369778527
16,51.27,43.74084887663019,53.13611096351806,60.87318149721083,34.76550229286921,45.25394680589789,50.09088836919901,41.93281685794653,50.36252131573834,58.78126416902459
17,51.27,44.92282929801783,55.63512057355223,60.87395763955139,35.96897848255868,46.29121323819863,51.04192145050871,43.10823943897836,51.4166744681663,58.37650031419836
18,51.27,45.78583490220141,57.36311150730982,60.8777202426372,36.58564044479978,48.23462022889301,51.812844515047686,43.83283580453718,52.02284163615015,58.12325856659859
19,51.27,47.870378878152245,60.687582241857534,60.87795645987128,39.01537091460844,55.99050377801477,53.83770426985279,53.12825392837477,61.3139516075756,57.59514994604044
20,73.9,47.60877953984171,60.59431017971272,60.87899694054523,38.98452769290064,45.461123380740965,54.5204339427798,41.69287076609388,49.25111922936368,57.32058115673462
21,30.38,44.692199726361935,54.11320667965525,60.87863699047424,34.598952270179,34.2259090153586,51.252368509199904,29.60868041296669,35.61630333995834,56.99735161720707
22,13.579999,40.33449793726244,45.77623435890177,60.87556054221126,30.561667910677457,25.67967915841415,46.387395834120575,24.49600584684889,25.216386859623253,56.427438170435565
23,7.05,35.97254423794941,38.8983899536472,60.87328273316829,27.17776323276774,21.60674005711527,41.8169860499465,22.916214512435943,19.32165889786513,55.70470342165014
24,7.2,32.78667115339172,34.754976565402735,60.872034156359554,25.00641785962009,21.69434712380692,38.23676516574181,22.669104570537648,18.621180593117483,54.62499381418201
25,13.9,30.966724224936367,32.894675859457685,60.86676426235149,24.13244783882102,21.00471231494779,35.8104036036288,22.7980355926447,19.59160598450168,53.0724897884709
26,17.4,31.339981200111414,34.14569639172682,60.86770913128783,24.49810086874644,28.62729622918687,35.11058192654971,24.764480793937285,27.489893374403174,51.88035765023741
27,36.5,32.254226259322145,36.08982328256318,60.86748416249347,25.626212512322752,28.97317168997745,35.42907587295581,25.11502154510105,28.751450882578503,50.42348785901197
28,27.55,33.02717966723029,37.12892321053801,60.8671073397629,26.140879247417427,28.584026293700187,35.33975763737201,25.167993259844845,28.90400784625905,49.02752836886156
29,26.120003,34.41511901986149,39.226726284806894,60.8687327393022,26.598758234593856,33.782068080950715,35.77292380248716,27.44565044888085,34.204854748315725,47.79085803356315
30,39.48,35.77020730429516,41.82116484530188,60.8723997306504,26.68539652941476,35.8565165822543,36.84734664328764,28.465987979405423,35.88208428573419,46.57248328546668
31,35.73,37.73336374302509,44.95223271944168,60.87128613511828,27.24664586549318,39.29720338386241,38.53899949253499,33.4059061962184,41.97985220862894,45.08853287561924
32,48.85,38.87529409479544,46.99490719065077,60.86953700274207,27.7678254471848,35.25619016659422,39.985998777907554,31.768906703452725,39.85216765424818,44.02398616489149
33,34.5,39.65280312078952,48.23816911162415,60.867084842883465,28.14013192920364,34.34033376839383,40.72574116754718,32.634738478115544,40.78655023266475,43.37036182973579
34,39.83,39.84101482626741,49.21744702506671,60.86586438717402,29.265802661361064,32.45058464726607,41.13629796882838,31.32077730140221,39.148032200537095,43.14868882820566
35,34.43,39.22393948386666,48.851749001382416,60.86632557320248,29.373641452941182,30.357654959505176,40.72015069300714,28.597395064305484,35.35288737863329,43.19965550856964
36,27.32,38.246236351984685,46.92952001056782,60.87232661579223,28.341748962715904,32.01297816057209,39.7028755501959,27.271130906650164,33.101143782598506,43.36912450136678
37,27.1,38.10689911708317,45.66092660334864,60.87198916260068,28.257492525005368,35.4412269999616,39.46493168061312,29.443280543237684,36.87376922818611,42.84915975116474
38,39.82,38.155562679414814,44.77838527148417,60.8719722899411,28.59096939311636,35.1735310073237,39.84354853731397,29.313490421547144,36.68065882721087,42.43305184488252
39,33.85,37.90755145628408,42.790878772873874,60.871769818026166,28.01322703230086,33.28412777571727,39.67472070558079,28.030155934077023,34.65648803933852,42.10776946510637
40,29.1,37.518032049386186,40.659881552996055,60.87137612263603,27.04461263971133,32.347399897619425,39.10637641615,27.498163789706112,33.741472462007074,41.87592224985096
41,29.7,37.31161755633404,39.08645824151868,60.87125801401898,25.154399520445185,32.608186536160304,38.73831622012485,27.7890428166036,34.37117699010164,41.723084075177454
42,32.57,37.312174354100094,38.33048716547536,60.87287778933843,23.47270013429363,32.562891881524315,38.71889578895106,28.145086866899582,35.02927820426525,41.63349025282054
43,33.32,38.73317568317355,40.535558173008646,60.86412650323753,24.71064294933518,34.41633666346101,40.09220654572851,34.645861075914574,43.16369705889991,41.40529315625375
44,53.2,39.42119493487812,42.55968959134199,60.86143812614483,25.901762727994008,29.08588949228541,41.45329024853208,31.63370889436757,39.511789868369966,41.83282947728984
45,31.95,39.29553580267416,42.42927518124708,60.86078571664117,25.354585190003284,26.314898234080644,41.2891473919416,29.53552056103834,36.74555107594621,42.42997539661955
46,30.249998,38.421936980385794,41.37841500954667,60.86085320727948,24.672176097608247,23.908092084418048,40.30475706264704,27.314277109299947,33.132965618561805,43.05623227794042
47,25.2,37.42022686603486,40.570523947873234,60.86174183401723,24.33842926694402,24.214145256495623,39.19526158680465,26.604137800889173,31.81314681686512,43.61486916389425
48,27.050001,37.10708998904464,40.86099521883092,60.86284418110964,24.65074219572488,27.798207482864143,38.79224124013477,27.774861346228644,34.36424513912518,43.99833409811372
49,35.35,38.556488004187145,43.77294067514673,60.866798007670646,26.73949871235024,37.39592742413323,40.28406555778508,34.82853573694109,43.34684977861445,44.289567450862336
