,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,25.43,44.93125824445541,15.014379117425957,27.22055929855836,51.21783074176701,25.13599405985969,56.63193928943679,60.95510936955438,28.51767422225073,53.59368292103878
1,19.38,44.66260435652971,13.54748836143646,25.09808108918073,51.21793131655659,22.090822243430104,56.63189458953031,60.95363054764835,25.85866862288901,53.56891917284919
2,16.1,44.508803153310666,13.087541223732112,25.85101562640051,51.21767429209433,22.383187569247024,56.63167108999791,60.95289672418365,26.2406293237556,53.253106883587705
3,23.8,44.52309594840746,14.276124774492464,28.987665801440222,51.217339042795736,24.63022765551784,56.63124644088635,60.95419674646376,28.451009899224992,52.86870258783357
4,30.88,44.57343176809549,15.917405696875036,30.06586293314966,51.21739119268663,25.091245728481592,56.63125761586297,60.95520994434396,29.003647880502715,52.3273494704458
5,27.75,44.66162840857158,17.457067900613016,32.028388114679004,51.2173725677256,26.63607822140236,56.631417790527856,60.956580741476,30.528950239284185,51.67923062643194
6,31.9,44.863448486326135,19.652254232871613,36.46984532231775,51.217130443232165,30.35169089764397,56.63129114079283,60.95959053517894,34.26506713512712,51.04826909652176
7,41.03,45.119012751637776,22.366466079231515,40.33226366641438,51.21710436828672,33.46304651310464,56.63143641548889,60.96306595290772,37.40693043675999,50.4394861702098
8,43.28,45.31470149222024,24.346440986752764,41.49376466133651,51.217316692842495,34.490004514515945,56.631928114460166,60.965084898683706,38.37589775949867,49.78192819594437
9,39.83,45.56123637642303,26.045216232596427,44.99408023802002,51.21717141814644,38.2110482293948,56.63195418940561,60.96717834430383,42.075925068347786,49.15004286796695
10,49.83,45.73596831085106,27.19504682693524,44.76099630067532,51.21734276778794,38.56540301301815,56.631834989655,60.96806116745679,42.3064275860933,48.669645523048274
11,42.85,45.90191298866368,27.913128474573785,46.44332198093456,51.21731296785029,40.6798464142061,56.632092014117255,60.96926061494732,44.34457942189751,48.37637688662125
12,48.88,45.95868931987695,27.866640571835195,44.70241334824184,51.21752901739828,39.35046002053169,56.63193928943679,60.9693574647447,42.82928239218301,48.27423015033137
13,39.83,45.99477331938246,26.970772496159185,45.16711730099404,51.217488042484,40.03259176838417,56.63238628850158,60.96980073881728,43.400703646662606,48.29914289820923
14,44.75,46.04475526481086,26.11472458717192,45.78975347332242,51.21740236766325,40.60705261650437,56.632285713712,60.97045261245344,43.893575990481246,48.46221560703055
15,45.15,46.05871281060906,25.054517305324342,44.608569619580514,51.217488042484,40.182749929225146,56.63235648856392,60.96942078961221,43.37739264543359,48.57797346484341
16,42.48,45.98467486551032,23.55970028276183,41.15899216174335,51.21766684210992,38.11469385598621,56.63223728881332,60.966615870480624,41.21298592377828,48.7284259000687
17,36.5,45.81109022868193,21.642949667963503,36.92324019873066,51.21780094182936,35.0827923242927,56.63218141393021,60.963300627416736,38.1066925727264,49.037712002984186
18,30.85,45.55775350870984,19.31337120437845,32.997009013142474,51.2178828916579,31.51208556988074,56.63230806366524,60.96053295820722,34.5038838354778,49.52374153611927
19,25.53,45.2900830187267,16.769244364668822,30.42636581641004,51.217849366728046,28.754922700882428,56.6323974634782,60.9582718879378,31.79820967125547,50.00609077695422
20,24.12,45.03342360570632,14.457092345874374,27.815336254173445,51.217815841798185,26.2003826454592,56.63198771433547,60.95549304375167,29.47351094746108,50.31244158601088
21,21.72,44.797009525328896,12.72840168761936,25.16406187613656,51.21781211680598,23.98208273655854,56.63198771433547,60.95242365017341,27.51138434009784,50.45174139456957
22,20.02,44.60921404323226,11.72056220870852,24.04726451268604,51.21774879193846,22.681993406589186,56.63164501505246,60.95053880411686,26.448308814251167,50.59098160325294
23,20.65,44.42296815789357,11.086207210898117,21.97184971734293,51.21780466682157,20.5523874246242,56.6312725158318,60.94851613334867,24.791087718968427,50.57068784571129
24,16.57,44.3094527453891,11.134600447150392,22.693699194598484,51.21768919206316,20.59918263921984,56.63134329068372,60.948460258465566,24.94505654683677,50.5078770271233
25,21.45,44.2565429560863,11.998233371518385,24.02021175678548,51.21758861727358,20.634760039785245,56.63145504044992,60.94970813085479,25.091011053972576,50.355539745841455
