,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,45.75,60.57807945926612,42.81013279895815,118.37541430890433,73.0511078808111,54.45469015104965,48.73302869668094,69.42692893238075,64.91177169217788,47.88645734934013
1,48.5,62.33263250089419,39.29879261168227,108.41182396801086,68.67701101460972,57.39494712803911,51.5855833340976,66.66158505828297,67.2727537441419,40.52298623403065
2,50.75,63.59400249456606,35.58066390307877,98.80703293377478,63.37782633418014,59.79069169181104,53.77913231288462,60.76625778405496,69.04668369452571,34.626620780102165
3,52.5,63.480235608096336,29.65850536973688,91.48963425259316,59.03506195144767,60.78263387657401,53.24159367920981,52.26964837623926,65.26713730201675,31.232294083659674
4,47.75,60.50245375423022,23.042692388822143,86.62407852380385,55.17489338481433,58.88801095041133,48.17376899584545,38.9067165274173,53.54995506112604,29.67206773847409
5,34.5,55.80294808184378,18.49183534029733,82.17346451204637,53.24528783807332,54.60715949631776,41.44306290525235,28.59803598778396,42.32893834203069,29.553817970046865
6,23.0,52.195985307739576,17.43070930051267,78.09217100617222,52.20468327265057,50.38989012903877,36.943720480203964,24.33440804497556,38.28984702440456,29.849875271696764
7,20.0,50.736267964085584,17.964271302401936,75.97308115593789,51.114312114236455,47.702523455340845,35.07084063207902,23.497084934471783,38.72386116639306,30.15736722396985
8,21.25,50.85478186303732,19.66174830562103,75.57087639975421,50.53144207929419,46.56313774223429,35.044566981850195,25.12471225363868,40.961949154874034,30.53715390188652
9,24.0,50.89681896970753,20.087559727431973,75.1671749039317,50.33580940414721,45.96595330025588,34.75930601538927,26.33523528710438,41.0342328750791,30.92126571714189
10,23.5,52.48423241651916,23.31306666544384,74.83075332226676,50.1015513082715,46.89129790804956,37.83077349890405,31.243372891770683,48.39315874427947,31.106461568091564
11,32.5,53.99457844584866,23.186350046314555,75.02997377037153,49.68628309656355,48.49480497445821,39.80510147931436,32.88350238909728,50.68406183222209,31.120996083898127
12,33.75,53.02276520814036,19.388659354164183,75.22358878178967,49.08903995891303,48.1868251144107,37.59721241413465,28.3074025330851,43.78137742234287,31.108897438484185
13,25.0,52.6313824665022,20.796117373001824,75.6479658281134,48.75166090409677,47.66715197593477,37.786784761136126,27.960799086548604,45.4251093665453,31.17291607436008
14,28.5,52.66132826471748,20.40383401964471,75.88271916872255,49.35193787429955,47.61829516586113,37.69012399460733,28.68765510789916,45.34914249291525,31.49116034006805
15,28.0,51.9995565725396,18.432693947925934,75.54530709759072,49.56815438796005,46.90380742316828,36.1660431780038,27.103191118611115,42.06476379577575,31.63654218292873
16,24.0,52.46056338674028,19.947618239680107,75.7443147738841,49.50186496326935,46.891264891734,37.319655254638334,28.63431358162825,45.80687702339573,31.60038931738768
17,29.25,52.509952126342434,19.02935379733485,76.73862679640855,49.8670327503508,47.04317295963755,37.06205462365986,28.37391206654621,44.641096600236615,31.692376441024606
18,27.0,52.45401148234086,19.37053339692031,78.50596815759788,50.278008841035614,46.98336940671515,37.11426075552336,28.550707099424965,44.82690141878445,31.75584480497446
19,27.5,52.713196896466336,21.142284270477,81.23247017067601,51.03316167906307,47.226820712235295,37.68878133110779,29.825749516219265,46.09187752781166,31.87464851380724
20,29.0,52.82470399955978,22.366496235222908,83.84634252593156,52.17598842594715,47.40384319084348,37.70078826453405,31.082528407788185,45.690586223025214,32.02594761411264
21,28.25,52.54832809046471,22.42601181250401,85.07310408393481,53.18997817254694,47.19853306675716,37.15923631427864,32.007777635114685,44.37426974329814,31.98845208507204
22,26.75,53.43541779395985,24.7112269229711,85.47855911296166,53.706312994671535,47.794345497399966,38.89734723075653,35.53285627814412,48.66309280336033,31.587949503379587
23,32.25,56.799387822482274,29.84292350303108,86.49393554481506,54.020760384089805,50.65006603263112,44.19715555270229,42.69247365573154,59.481600282472925,30.962792905160637
24,44.5,60.34101130808808,31.856500545686327,87.51656089217421,54.33761062758513,54.43506378568743,48.75514962810789,47.29478663206068,65.45550638773994,30.340013481662183
25,49.5,60.34189541164925,26.838167319350312,86.19108055063877,54.07991094765997,55.8630267707292,47.78908489778699,43.37949549235581,58.64328668250227,29.776813833836226
26,40.25,58.022774379339126,22.390480754239388,82.6424576061337,52.97945147060173,54.78586580701963,44.897112448068086,37.17170180764328,51.788354870365104,29.320220200482407
27,33.5,55.95044663737997,20.856362977704816,79.50511523611252,51.56299650577327,53.1503549253923,42.663529352421655,32.424975467043296,48.81312260975632,29.07593981859369
28,31.250002,55.83916698001596,22.2618363491292,78.43604693819529,50.8255587552849,52.48164246998725,42.74638929904528,31.965652484936307,51.07694498197859,29.13761429606464
29,34.5,55.19244339077561,20.306931133468456,78.37771811403469,50.71591157130148,51.53662013811825,40.74787136476609,29.46454185276557,47.01663517888423,29.434929886185422
30,29.0,57.54372231444372,26.132560965543806,79.61552913231289,51.27335537478104,52.77733659216596,45.21416812641581,36.57539046378752,58.65143804396673,29.823399855095055
31,44.0,58.34253372708347,24.71537597329347,81.79028449058576,51.8640832928272,54.16067619248512,45.455227583297415,36.542322789511815,56.17624888799215,30.22636398653668
32,38.5,54.66364674376588,18.903952328108808,81.33288379174041,51.83276915175583,51.75699303906013,39.335249961022406,28.2892619019232,42.19848721076332,30.57887918779864
33,21.5,51.20083320340802,18.36897796160936,78.04759164320369,51.66854232966791,48.32563671047443,35.72022386896191,25.56947137210305,38.36773984977577,30.92028256463402
