,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
0,54.882847,58.68812062292566,52.38464903222923,51.97035642484905,50.70100391763406,51.43728178246265,33.82681734252079,54.64916726923289,55.03223892750188,34.335638697067324
1,54.882847,58.92031530472264,51.762390753326535,51.83801941582488,50.869498314068494,51.82864827557844,34.27837601279807,54.67147025931854,55.22988663372716,36.3086359749453
2,54.882847,59.08376806007458,51.70361476748035,51.86929701258868,50.95248712514554,52.08989106438284,34.64887593844803,54.67953041103309,55.35615020513911,38.41937202015013
3,54.882847,59.20867613408474,51.5171064175152,51.89993934639104,50.86615610256437,52.26501323617291,34.899238331689965,54.68168302183236,55.43760548333472,40.5491780929808
4,54.882847,55.47261777891003,40.18981347733006,36.884176125486434,47.65734172781789,47.29247015108106,33.613652225740644,39.61713807950675,42.11080011758813,42.53005748709369
5,20.0,49.46589087016232,29.826610983214845,27.47672473372442,40.858644219201885,39.71772003298082,31.365901693910224,30.98823179394391,32.96752505378366,44.26785371132533
6,16.14,43.51887058726798,23.33372987348733,23.268866288115778,34.87979604806124,34.32972710989114,28.87193618626128,27.68620572995432,28.121375020452582,45.69090748512114
7,17.37,38.64333256101382,19.38440119874905,20.564015731704327,31.25458298713568,30.70449988705242,26.47187630159994,25.98362613747349,24.64673344330101,46.743566536050416
8,15.75,34.81976167507488,16.391933313416036,17.907793138799647,28.780057739985,27.72486168347088,24.28430378501786,24.43848453351543,21.29636467719816,47.40424001594606
9,12.37,32.27926012080491,16.79195880485971,17.328040830660694,27.138546340150693,25.66935709956305,22.478912749306573,24.103565403097363,20.01578581911368,47.63562949182377
10,14.21,31.45891713949965,20.253012026340905,19.86106489478584,27.003935332500227,25.34481258209484,21.435446803144096,25.419532859020936,21.69109361312258,47.54797129566711
11,20.68,31.54585105495505,22.82756893548313,20.93925382886921,28.096830401827848,25.671343813665388,20.926208683724774,25.90679371235713,22.26389444503382,47.161108290934
12,19.73,32.110021212364714,24.523957748785616,22.39620515336214,29.61828519447215,26.01699565112304,20.945246341263413,26.530888993708825,23.145795216554617,46.57380161369311
13,21.22,32.11310850943209,23.67870598537454,21.018823549485013,31.191441085777445,25.580810749138653,21.13510499525449,25.446430378359533,21.4573067276611,45.76693672744867
14,15.47,31.43207019842232,22.4296110833598,19.958197410841905,31.760705485661315,24.40581906926263,21.61147533737597,24.397849958418348,19.6143765064419,44.83511521206327
15,13.19,30.69113104103592,21.77637260786952,21.28575538111605,31.32913534423438,23.645020863374715,22.563151855001987,24.32293343783856,19.30443292143451,43.77623301186844
16,15.19,30.76719265345065,23.1638759333902,23.71120757606085,31.43859277099453,24.1504150349382,22.50089608478105,25.68087680434786,21.39499430978756,41.7781003612742
17,21.24,32.08793267410681,26.618753549171423,27.736881101476936,32.89754901776384,25.98750245541653,22.83236173152022,28.26364155372752,25.06647029472332,39.88605257897922
18,27.87,34.133001951151265,30.65543897362925,30.748753842525343,35.04947599893963,28.209239575915188,23.44908877177141,30.70035853902037,28.032794276810524,38.15489222262502
19,29.99,36.014444483625034,32.95883570849902,31.70966595065762,36.75555358396928,29.80001491031336,24.12147415384465,31.50229507948753,29.25644426715008,36.61472347331415
20,28.559998,38.27649450147916,36.62287668902943,35.47687444537775,38.3102524561752,31.820393903340644,25.04184272775012,35.05490608106861,32.981393613021424,35.299567292701205
21,36.53,39.742758295435465,36.24094203007358,34.67510380160753,39.52428448435336,33.127004380930934,25.739462615931696,34.29039745393458,32.71451640591255,34.22343183602502
22,30.03,40.69946836162217,35.30888987781683,35.10411265988421,39.80800020620125,33.6893415821525,26.269421637424426,34.77504644585926,33.437103746983006,33.38491102762256
23,32.26,41.66376921325894,35.644430109283185,36.66087512514959,39.95275923619112,34.749328411573266,26.72905259819896,36.4070450863156,35.17689680096923,32.78245110330787
24,35.69,42.45164499709554,36.00519473120563,36.82453828606837,39.98200560998268,35.678778818070754,26.980839275278004,36.78823523326568,35.77634630717367,32.41676622812996
25,34.59,43.157842958386986,36.52258606634022,37.09338399910553,39.26432031399364,36.36792178966499,26.998076346715752,37.453327230065085,36.58799387380294,32.26743896958299
26,35.770004,42.93261593786132,33.92289985387308,33.59322063132165,37.859539454426205,35.87787913195944,26.41609859508132,34.809658161605384,34.260333735441044,32.25844817786124
27,28.43,41.88791588212408,31.48054845027575,29.84995588548248,36.181223265437495,34.39223779454883,25.27287613266855,32.44001402013596,31.93220423081465,32.37487933528405
28,25.82,40.825052161202784,30.749607603575427,29.298988677392376,34.89630883879772,33.396837381627904,24.914385509372405,32.06827998491124,31.381091357332128,33.08640217592106
29,27.890001,40.60355983948863,32.26924562507524,31.347738028726177,34.71051667701203,33.73583311990361,24.827235118958807,33.99086894448606,33.08058972213694,33.82467080111287
30,33.21,40.77094151417532,32.66534624344506,31.642269405962114,35.31633499787445,34.29134427898539,24.789645355189634,34.28996450401819,33.3878567055584,34.50620073282211
31,31.46,40.41379424949827,30.556279280861844,29.305284659354147,35.38707173094363,33.634369081553146,24.592072504791027,32.09578444338497,31.306739290148013,35.15982562622842
32,25.55,40.0345179839543,30.002947033275184,29.500551141039253,34.88538393436535,32.97367537035299,24.49487120229964,32.12703978571382,31.22218457610233,35.79591402489032
33,28.46,39.701470249202885,29.96465322010926,29.53443857608412,34.54345870319741,32.75780330503016,24.417516809527072,31.983684808256548,31.00249890988041,36.32645975421367
34,28.03,39.4016463627086,29.990403624482457,29.190860447338167,34.26580428017904,32.515828810635746,24.2166523258856,31.719526688473064,30.67653010857509,36.6797833023394
35,27.52,39.53114289658036,31.2480422063894,30.43278537503654,34.29938824565634,32.79119304998422,24.184771836247567,32.901894701971386,31.77204108557513,36.99572749226279
36,30.9,39.30009735287922,30.41094770495449,28.619710489874485,34.4661751199906,32.52493694392363,24.00177564074438,31.36090051543674,30.28570581442001,37.23748348856856
37,25.36,38.63458049868522,28.88852180969398,27.10378491275124,34.20073231237109,31.51622433263881,23.82028870055722,29.98616718931924,28.766518951010656,37.513665072619006
38,23.62,37.8057201381836,27.81045830969853,26.484132425868708,33.80759962637206,30.60281735061331,23.69739364134525,29.247983535606338,27.810521026742496,37.74872855339471
39,23.42,36.68794056431557,26.231176379389307,25.0109373869892,33.26236192371761,29.48818779085661,23.520474929715185,27.798606811519857,25.975068295668123,37.85253942306768
40,20.08,35.980217162664495,26.352135302760207,25.88398291652842,32.78339185896732,28.930256967756105,23.392279268723065,28.25547619922954,26.30692642971468,37.75902224112655
41,23.75,36.28681044364596,28.77008775312523,28.662845654208315,33.33295501452481,29.757474546331963,23.45159340726906,30.452118409620947,28.640032835249155,37.49350660081082
42,29.41,37.19155033482177,30.98889133447076,30.3401502779718,34.56514666162612,30.98970463291183,23.70041417510776,31.845794306145915,30.16064195936517,37.18532718555621
43,29.88,38.86479251264077,33.66607153571154,33.842988224211155,36.08263207232666,32.720937821962245,24.379044960881508,34.970517263719856,33.316632398050665,36.93709717180904
44,35.88,39.83668010346668,33.148305921443615,32.175961103135904,37.18062543038939,33.41838776718599,24.635262293647017,33.482911466641866,32.20584476301935,36.59324592045228
45,28.13,40.5141941212318,33.52178996450797,32.96860945170509,37.41736810943897,33.6015013042553,25.08885218689654,34.14029735955555,32.954390890899404,36.44208570571721
46,31.72,41.12491651030608,34.405926295176506,33.946503716838365,37.63739973096791,34.25483486687675,25.497937256497284,35.018724416092944,33.91221772509476,36.30578336101018
47,33.08,41.85924407738044,35.800029072226515,35.11855781130035,38.0936237400639,35.12987520304011,25.82372599919252,36.23231944809381,35.190144259158714,36.1747978031269
48,34.96,42.99358095085488,37.38545929597463,37.246684685857154,38.90084469726761,36.45687074304903,26.284150027103625,38.38653256667859,37.37480549102261,36.16044976197238
49,38.73,44.60365290348934,39.59846863171009,39.702744821386666,40.38104786002744,38.25907534830088,26.829213740539338,41.04289475558435,40.04825099345189,36.244838579321126
50,42.4,46.37587471546567,41.68552191186207,41.63672400539746,42.17496572295428,40.05883601196859,27.667659693115134,42.99884109002602,42.12117473053799,36.585752245263855
51,43.74,47.89662141245232,43.03687594249429,42.60770118752068,43.51241680113108,41.38933156765677,28.56522556371369,43.85936344207702,43.23016582572932,37.07802034646488
52,43.45,48.69433770279986,42.80150089962921,41.85892442276927,43.9034312695485,41.83127227577266,29.19937580340407,43.03516842039412,42.78409388523362,37.616245878978106
53,40.56,49.021902754030585,42.40152396331634,41.536263439750414,43.7820434425221,41.90096507352941,29.475221547799745,42.88202149155672,42.79059218024044,38.14034186842546
54,41.2,48.7708484501746,40.90465425190579,39.99836464280494,43.46333565640341,41.56276644865118,29.516388206205296,41.49980662903349,41.646863935215066,38.7687747414629
55,38.18,47.56556848432504,37.44944686586114,36.60890090387778,42.34937575282581,40.08563844417601,29.321799473221088,38.12116259175529,38.53539855148286,39.5124936800882
56,31.76,45.82059419325524,34.196835763123545,34.03138415488657,40.52327393069336,38.139095620067984,28.74207548890844,35.70477604435891,36.038317422940224,40.154829505581056
57,29.92,43.88085313372159,31.66690304232667,31.80094352719012,38.60839714439562,36.30921863651503,27.97091885511427,33.62054907744619,33.74945283409597,40.719574232038646
58,27.73,41.94513001126251,29.676587767792928,29.75085284036768,36.80676710819171,34.54328876023957,27.084067483381247,31.726670362093564,31.568376589390247,41.174017886338255
59,25.52,40.65545718180331,29.65908768939662,29.79693165950689,35.64181622474122,33.57032486401402,26.19681957807994,31.9411464674056,31.43477917009545,41.44405724634117
60,28.51,39.71987669004099,29.508194527881013,28.98653843375689,35.115235831100726,32.920369929244806,25.530946652926666,31.237455164742247,30.496222653440537,41.69776589734813
61,26.31,39.36823638645004,30.009651687587944,29.805586611573872,35.0631523607846,32.680111049472366,25.142177859309232,31.93499817396671,31.00892032593011,41.86260247392817
62,29.11,39.49084618426849,30.85539304856803,30.727150855575545,35.61400222730857,32.961710576869095,24.9971315447954,32.726104897132664,31.69618178620544,41.92624206537721
63,30.17,40.07708060237066,32.355248900523435,32.48259889298728,36.52310803399643,33.625904303748506,25.2565535161944,34.10452436693087,33.01299693378775,41.97094515581013
64,32.6,40.86585465612725,33.592724964361295,33.75314302403757,37.49402452220613,34.41522864898763,25.643113051359947,35.06449976566459,34.012933205178555,41.8880453624729
65,33.23,41.52812236281785,34.42765066995332,34.08195027736486,38.13875573415231,34.92052166402859,25.943434627945045,35.29113893124467,34.34773701716095,41.67133572114359
66,32.58,41.78300847574697,34.18222471501046,33.53931229733923,38.31917041520074,34.92385173675001,26.18616172686702,34.67473559186555,33.85943425164278,41.44383874825253
67,30.78,42.1915958552569,35.27312902397485,34.75133535698011,38.67625293970338,35.308266753638094,26.324875643070985,35.968648902748875,35.10573116424456,41.12781767937201
68,34.77,42.57359930064806,35.80399845417028,35.19919979105488,39.36795314818697,35.827847115920065,26.74990702688209,36.204521635704765,35.42782162447639,41.00261018205519
69,33.72,43.2029547211709,36.96910309553501,36.73276908883642,40.209235529654286,36.51806234665303,27.21695073762704,37.54299237162858,36.7676519040629,40.84298518951548
70,36.73,42.961562888346215,35.05862459483652,33.96960584345194,40.40375547620318,36.04317293602128,27.389891974791546,34.750975239759924,34.27263032231882,40.68509199664135
71,28.17,42.124148732300135,33.20472900657593,32.40572600526191,39.50234565774879,34.74734978999274,27.3390749841374,33.13321943767468,32.64155827560879,40.50124608634898
72,27.64,41.33970013144658,32.47271994699778,32.417490508831214,38.54118065831021,34.06247966990983,27.16935052438909,33.05814106665886,32.41301332114439,40.247432232558594
73,29.51,40.64980050906388,31.6665672026719,31.829101456799336,37.91366628649728,33.63029045056506,26.840749630367743,32.51554557237269,31.779235337456896,39.92491286867127
