,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,64.52,85.7346789640578,61.43078178386771,69.15178988628124,83.8344338990557,71.2874510246609,76.60819278095985,63.63858845900603,67.84785698539852,70.37727883052952
1,63.31,84.64751948734819,61.08281934677444,68.04118816233351,82.88011382336202,70.68099234189137,75.62664130168572,63.17849646539471,67.51455437317651,70.50094847319694
2,63.83,84.51373700742036,62.6938675793797,68.64244307039286,82.20979522570248,72.30003990455273,75.77146285709098,65.22403462525803,69.92466831560752,70.52182672464339
3,68.86,84.56542952027768,63.63580132400754,69.51631514676436,82.13438259414195,72.43397395073426,76.20932092332004,65.34430244756476,70.02379264552383,70.5761253350295
4,66.88,83.65879387206584,62.09598923063878,68.60417259133494,81.89772030934515,69.61266918237703,75.2221025502272,61.86640003768105,66.32744116232897,70.52341817030718
5,59.51,83.05858308708751,61.67049223443326,67.8352264642573,81.54202799331345,69.91502701780306,74.30413311437799,62.65336570825351,67.10782633138685,70.32770403505022
6,64.37,82.66044379967389,61.40239679268967,67.96084120718048,81.52052242598367,69.87552716802072,74.10015861829467,62.97226952637453,67.21626356555797,70.12029403721648
7,63.86,82.58131779489784,61.54545007513516,68.37422974378528,81.6049448292916,70.35926770738214,74.20019234573316,63.847762519625824,67.92827130333097,69.8438077192614
8,65.16,83.74480772103757,63.94768678254775,70.27911442021994,81.96540306196725,73.85625483471023,75.63367229178766,68.12344232617886,72.41078431391897,69.52434394803646
9,73.36,84.82617399871708,65.24355720076865,72.04441499734924,82.64404938323257,74.43715776303735,77.0973981258017,68.35231999977897,72.62637046910478,69.27898344434706
10,69.77,84.78428277026536,64.05361054301176,71.45858616577704,82.92807612230897,72.24092906561181,76.78251081340359,65.2005250152405,69.4312443767045,69.04033395755737
11,63.31,84.22511275864856,63.70798054215591,70.56660192208902,82.937708999766,71.04177054776926,75.68470801754563,63.8418724866003,68.02443167095282,68.81677373335772
12,63.42,83.31970648116115,63.98193654570903,70.46443784675138,82.87461533649189,69.65557085252004,74.60096720189158,62.46344056185294,66.48927602971146,68.63872969717734
