,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,78.0,69.90049562349135,55.043744203319065,80.4279206430017,75.55950628915159,76.68457591912731,46.400239906387526,78.69061912624328,65.87654058502675,49.37444714846344
1,71.31,68.64877273241288,53.39049473464755,78.24914949049705,69.93135851398347,75.20131061414453,46.91277981710294,74.47572368638426,60.49170705244039,50.86548215820582
2,63.670002,66.67485820381886,51.10877778625773,75.60957937444941,66.14120941625299,73.51400027875259,46.80666210533125,71.76856793535546,57.615911106778064,52.42852561522184
3,63.23,66.9907244379459,50.97743366363265,75.22780281302775,74.51833606811802,74.87549677526539,47.33728044743746,78.88522286711226,67.20566269122358,54.11064621969148
4,90.37,67.85702231975202,51.64088156784601,76.69036876081678,73.77881802621764,76.80528742230179,47.57504756012377,78.94721669732635,66.81739338179005,55.75744016941084
5,77.27,67.08821989949085,49.9879299316521,76.18914648425049,66.52494422621494,75.34084512990383,47.56437026580153,72.91225209518167,58.91570788264842,57.53114426074489
6,58.47,63.46864690749835,45.58714979670607,72.383435639565,53.5186297123264,70.74639198058132,46.30742041474103,62.449404602628654,46.90777995438509,59.09557636168776
7,37.47,57.88687909490572,39.59769399713988,66.7316920863584,43.18368265437611,64.95879214271388,44.51548897577738,53.22836217964976,39.1679589610114,60.53407372238011
8,28.71,52.52375010412503,34.32789825902956,61.85505011031436,38.96703372580518,60.64294638456967,42.30999852712532,49.22186757018492,37.45043352076614,61.57226561863761
9,33.85,47.73619726794546,30.309903593023087,58.7529573252596,34.1605945876393,57.37300638385301,39.99089987988975,44.615761725176014,35.65596678283684,62.25288728809103
10,27.44,43.89421042748733,27.338235372818783,56.73129652759906,31.501255840890444,54.537142327625965,37.84602206333687,41.812264613453,34.84871791262247,62.562137918309205
11,27.65,40.8119718999711,25.29996296871968,55.55409132241808,29.716556146773705,52.2253629135276,36.32531177010684,39.12507480714184,34.019768223508386,62.5913850676103
12,24.82,43.50749729274931,27.95152084199103,59.06535008811653,51.8488691556775,55.886643621103104,36.737467244244506,56.53496535835995,49.14048484567856,62.25309577082536
13,86.22031,43.90625775120657,30.0727433140099,62.94762621698306,39.89674386499998,56.95339392905724,37.114984801236375,45.37146696223438,37.30238471905323,61.794094970865935
14,16.58,42.73762267556876,28.96614302055184,62.02281169913894,37.34858598214216,53.3252470846156,37.1762638335042,42.35618489859037,35.715254060410665,60.96099424159519
15,28.04,41.97111356538517,29.334781446805025,61.150374745388135,40.721010138403685,52.62744048120421,37.368693397286656,44.43650380271577,37.0652542232878,59.84364964150743
16,40.28,41.16979528438115,30.136014100971725,61.94224429104003,39.82013762885327,52.37225389148381,37.376965694352215,43.11035257548309,36.37596935164196,58.50118836321974
17,32.38,40.23030134829693,30.6261719009949,62.49859163630559,39.15856234634288,51.3931780191255,37.524381602050205,41.68441629953384,35.711598166748026,57.1028053143552
18,30.5,38.7809703312316,30.52681126355894,62.11283901130786,36.72038282874773,49.95331062903615,37.41127599577264,38.7333469180621,34.33524727541453,55.57696857960434
19,24.11,37.43833779926928,29.61442008293704,60.595918636355385,37.42397482803665,48.70916012870086,37.47402185299268,37.94677134469968,34.15681583807965,54.0067175766302
20,27.26,36.74524067191007,28.97591192581737,59.07024570946721,38.67609607005392,48.402668171806525,36.6866570235646,38.78601114591511,34.738579462403074,52.086141121869794
21,31.420002,36.40134840164013,29.077405788374204,58.18654696515686,37.26433289713285,48.32236136712553,35.101920193460806,38.670109637254,34.73993087727022,50.04359854462298
22,29.53,36.31127641459956,29.531440231769512,57.63259344843007,36.83542434612973,48.19975490481227,34.08543283900898,38.907013035755256,34.896981665618824,48.391030367744
23,30.5,35.77896042737099,29.78484354953024,57.03680563731729,33.84616911812269,47.56773577279849,33.14194050191288,36.839862050046094,33.89566143008918,46.9608685935187
24,23.68,34.410449976010526,28.995855533099192,55.95962002392898,29.580182378183025,46.03314276320596,32.27960379205895,33.39566026668106,32.61492220987976,45.759788392351474
25,16.92,32.61700703722301,26.54403901093557,53.742789603692,27.20612247011088,44.38480753041498,31.685859856323752,30.951620895088976,31.91964345962206,44.77685186650218
26,15.85,31.20504841173851,23.80141885763561,50.74980030099695,27.81616528818317,43.43277484702347,31.140145130508795,30.71003966523629,31.99511420944789,43.83086145950013
27,19.8,30.44009175334445,22.09352085222902,48.33140802863287,26.42441645775735,43.16141595376895,29.044404088402263,31.146394028179607,32.245021718502706,42.58338640413354
28,21.69,30.2865572496846,21.13383015125701,47.1755164601307,25.335637715178148,43.23878166273357,27.50065645302925,31.94371949253069,32.577514450692206,41.629760316986825
29,23.39,30.376338850059497,21.03715000611953,47.04812606364587,23.97909268360558,43.32195882791751,26.670154312125643,32.104802188044914,32.64409490106145,40.95918677074671
30,22.4,30.16911818085784,21.213066620471608,46.974974684239406,22.103749536381866,42.9439982451152,26.422201328705142,30.83354707079432,32.19171715082283,40.55142804855972
31,18.16,30.409638382509044,21.79806731153603,47.16851367400095,24.524667800446657,43.062554185732985,26.563729460611423,32.67526306984311,32.906567217765335,40.23887892365204
32,26.28,30.783459093872608,22.565447581716622,48.1020025627554,24.80240030872197,43.52963741455349,26.573034864083684,33.08397857886441,33.02619163239654,39.88682604349564
33,24.06,30.9832674572878,23.615128365797847,49.27236878966931,24.820562505497104,43.55180731960543,26.83056130020629,32.74098725183923,32.84919723676612,39.61979316697838
34,22.21,31.12143008219711,23.2834509500158,48.90011914462512,25.82624040246475,43.53368421334299,27.191819065373764,32.947891474033426,32.917750827299514,39.36011675265804
35,23.48,30.71834174554961,22.11520119514589,47.278331954306914,25.530152106303856,43.08487300702373,27.793948846806607,31.073395287917915,32.218931593464255,39.12179120407621
36,17.29,29.57889425271737,21.49905094982965,46.14625953820144,18.25123804074628,41.98377889149544,25.80355301348297,28.301667594290738,31.380384252759256,38.25282772159551
37,12.15,28.318735256710653,20.69424058302569,45.08002671417715,18.0555993320176,40.99898091266109,26.01554272523232,27.16139361633313,31.15514099575635,38.16578990292057
38,13.91,28.265372983988247,20.557621102640983,44.65552608384264,22.47013188161717,41.35939543962633,26.12639783485096,30.45713149396959,32.27470072489633,37.94565075000268
39,26.42,29.95533216697792,21.97261203503813,46.09119031309174,28.29987129216017,43.44009408016069,26.050696264854977,35.93317808427636,34.54264292119679,37.628619246307
40,37.33,33.17381974573483,24.834536433055867,49.14521665916656,35.28576845898218,46.589274179925255,26.444577855038418,42.15552398970803,37.57002070633765,37.47141581881361
41,46.28,35.88762460682623,27.24777620355733,51.8323096699225,35.2709252328794,48.65951145468362,26.81652222179305,42.62052611409125,37.24457915805551,37.42003227061432
42,35.64,37.65878967628867,28.19868829225184,52.7928231331139,35.48511145915111,49.29802333470926,27.35165831029397,42.82497321834518,36.99534921788726,37.51404309217124
43,35.25,37.79649996812262,27.825682897295728,52.11799430534995,31.58416123393857,48.77675693239994,27.51995041321929,39.609421150945685,35.07430739988059,37.63854079071731
44,24.85,37.38450830184763,26.82960823627795,50.76870521751311,30.763638342487805,48.09197677697792,27.439055389395023,39.3054012036155,34.9557142302031,37.7743896295662
45,29.89,36.88506557433503,26.114996435317533,49.77896321955047,30.022919663412072,47.95359636206936,27.299254685858863,38.99173148401082,34.84073972512854,37.96978262650085
46,29.52,36.62965933316239,25.90706469107559,49.45866672731901,29.74527836633301,47.99634276841803,27.05656775293307,39.35943546086551,35.06873420964335,38.18438581824122
47,31.270002,36.23375806649017,25.80276748032328,49.396877656933285,27.94674249217841,47.77297213311809,26.8704150086162,38.18113572132932,34.49096154051988,38.46843237504182
48,26.95,35.90806336060207,25.60296656272003,49.29882003658686,27.95418271975965,47.45344255951647,26.86617089581029,38.069199107526366,34.49570452272578,38.80245894449101
49,28.82,40.418996837391376,29.53012976886804,52.90076506881093,49.9878927025924,52.50787563306853,28.26189020545322,55.7133200107592,49.75765330577762,39.199845650645294
50,86.22031,42.55538642833243,32.37365556558155,56.6534505637643,39.623355987991765,55.1356999807805,28.876221811203063,47.342619094598575,39.27392775654429,39.61114857931582
51,24.37,42.87790921833401,31.3781505091772,55.88518051905686,36.95797496485344,53.06387674807886,29.160355856293968,45.45456966929892,37.58963669789409,40.04051504775325
52,34.02,42.24232726530684,30.3506656904897,54.24612276794336,35.04388381229294,52.23770434681848,29.177946587002683,44.15411393907185,36.82892042939997,40.468999187475774
53,33.6,45.677348362549616,32.921056767800955,56.84403356618559,53.85768592774119,56.45143824001482,30.48983536146392,59.78426556837838,52.492068174319485,40.98300964604937
54,86.22031,50.00319384612951,37.15705363869849,62.027997707155286,58.20934976422371,61.83006196544306,32.2876527147663,63.57058751877159,55.08313627138868,41.64923856102239
55,66.61,53.7770663989587,39.62567535841114,65.3426907605385,60.06592574245216,64.31441668578535,33.927298685023075,65.86866291599402,56.28311449238876,42.37810909184828
56,66.41,53.74586100111734,38.94895529441438,64.59230183320544,47.80796000342507,62.84613980023817,34.51007493977036,56.2347874499909,44.08049347351315,43.232385710276944
57,32.23,49.326287636834245,34.52482137031792,59.45411454404408,32.03111843308472,57.01370500577284,33.63618977559719,43.02262974210965,34.69509592067232,44.09799113157261
58,9.11,43.33595323145912,29.68340925346893,53.55826749219004,23.48890137742867,51.68294668240215,31.925559157208543,35.92709485592121,32.391804732185776,44.83456807775661
59,12.26,37.670516830094485,26.19007255711054,49.83683951576162,18.696577637248417,48.051181173357584,30.168206068895167,31.366257686055715,31.381981379420427,45.443635494464736
60,11.77,33.38597326534686,24.1968882672153,47.99482382278223,17.68519252542861,45.5850538006449,28.96443792961753,29.340406757725844,31.18166483934032,45.87656850682153
61,14.4,31.16961565416809,22.919425204259564,47.38755456965767,21.09622880095902,44.53587188596367,28.44265404337837,30.66421441565036,31.869972448169005,46.06094914789663
62,22.59,30.66866328828462,21.83687116046237,47.494588116298,24.52529511010262,44.59458211311212,28.11779326842757,32.522046874643706,32.67977523187887,45.90534656997039
63,26.03,31.06482888128072,21.119993971219145,47.74349416364685,26.343398578036066,44.87688262701276,27.755973344458617,33.71412508917523,33.1938564256659,45.47235399111808
64,26.27,31.98306316282269,21.23858900234962,48.17158739824251,27.62896454583572,45.34572306745115,27.25582140335872,35.4256864340564,33.869191568641774,44.86281376535175
65,29.34,33.18784765543016,21.70867847774098,49.08640963646288,29.526457122128534,46.11771229522272,27.215556313839112,37.25636587835684,34.66772139307418,44.3631662780108
66,31.759998,34.29353583692555,22.298909851693388,50.25472454218728,30.06040932653096,46.794242491015,27.22547227389047,38.17065201811752,34.96545335222088,43.8685782198832
67,31.07,36.21862817662769,23.83244555599041,52.04490249243901,35.94359477518069,48.41027406870344,27.876720215239807,42.89195946546516,37.365733687040425,43.52691224738338
68,44.02,38.07630613502329,26.01482048147412,54.28028415312498,37.46206015611075,50.14625767674845,28.51940547285792,44.23488610699911,37.80930676465976,43.1777706796956
69,39.11,38.93486037241159,27.26474520896904,55.70183484584145,35.73093121745075,50.34287550974727,29.10401898170145,42.69693503622155,36.62647624855796,42.89742469142927
70,31.73,38.63637266335297,28.43992143039632,56.22383838353284,33.01989992130707,49.48725864516937,29.509631448596675,40.26313365604723,35.25410886661247,42.65447901653855
71,27.03,37.58426454457924,28.193506007141465,55.02251991638353,31.613940758793387,48.34480676721925,30.101305448612496,38.13139025175686,34.25561431671412,42.48997124753183
72,25.0,36.78395144818715,28.086736786825007,53.43333049073951,34.14639170136338,47.860828991106445,30.936044256510083,38.5785112587657,34.62410010382254,42.30254526937319
73,30.42,36.75985680074868,29.7509204303307,54.09247471565142,32.85051142257356,48.35790022751609,29.13977190918529,40.35743486426983,35.60690632796289,41.49817792837967
74,35.15,37.422437267871,32.010910499479024,56.363953672623474,36.29853290746392,49.28704820790941,30.049210825372903,42.14950405075438,36.51438327270426,41.52709746195539
75,37.36,39.10227945388692,33.325081415299934,58.21977017803402,42.30079178066127,50.97390807167897,31.045758295448888,46.21197255147965,38.979609702172176,41.49525917009911
76,46.6,41.58356277680387,33.771260527098335,58.98424285865196,49.4968786341961,53.37153025163587,32.60473633914557,50.36296803326789,42.16635020026907,41.52428666794797
77,51.73,43.68975587742146,33.30809751826435,58.55548694679362,47.97211037345866,55.03041992285208,31.53630700059892,51.15738404660334,42.25803792850066,41.09045271234641
