,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted
0,91.44,60.140243865969104,94.43579583565088,70.65323171265719,92.87183717245674,72.38237478432976,84.93046613649693,95.45925049569786,57.73274450629511,75.06030628124634
1,127.850006,68.27118690867273,111.75521686402205,70.65389682897353,105.21554382325183,83.11158778847958,98.32034532651863,109.86040440322374,58.06607863349558,75.05562275385219
2,132.15,76.20112625794562,121.80801350275974,70.6540284665778,115.33947326636198,92.77389186658226,110.55577658365128,120.59104463613568,58.93632790705303,75.05063438147971
3,142.31,82.42732859317074,124.15882555305656,70.6533564219665,117.33324949239416,100.49306555482327,117.73115532863824,123.721857989818,60.20109508061829,75.04608249168983
4,137.45,86.94105733440131,122.27804288955583,70.65244881532651,119.03271867674546,106.260524695745,123.54105720449576,126.34474418326336,62.1442878251346,75.04349130937413
5,140.09,90.27269424584534,120.99650231388812,70.65159663504622,120.45401681838187,111.23769401526305,128.7340636969577,129.21649473173534,64.59143088857981,75.04275691010818
6,143.9,90.8942593000452,114.2393154527933,70.65003776867982,110.32646387700674,112.71146706293987,124.77516667285522,119.51265552533688,67.6712935611133,75.04071999138942
7,117.42,88.19937426535716,102.0284519295951,70.64807706120564,95.4129971985331,109.20696919219978,115.02800483806084,103.4464937725995,71.19411677202727,75.04026272392196
8,92.09,84.99853663449629,98.17792036698962,70.64720409604045,92.99190452414412,105.72438551842374,112.14946456052634,100.8427850996083,74.8480856782725,75.04471761758236
9,104.47,81.36709161517176,96.35352016788774,70.64654590801909,85.86555732260155,102.51019706317156,105.71920315379236,92.13889284845156,78.50600371264593,75.04816790847333
10,88.99,77.43966290678564,93.3119016835432,70.64611635373146,79.80108910496388,97.99223513371932,98.77493154384496,83.40304730093114,82.09633622966734,75.04922100930752
11,79.95,73.54335609936777,89.78440187353004,70.64595700294734,75.0891418448772,93.23419392725204,92.45023656744338,76.43753353863099,85.17667002625824,75.05082837373864
12,74.41,70.95705130332054,91.35730496551984,70.64645584018459,77.37500112990747,90.2565236054046,91.1992428442621,78.31037637610552,87.69213993461638,75.05432023439937
13,85.23,69.15771074709536,90.8099211654756,70.64693389253695,76.24941647382913,88.27026457940595,88.57215810406991,76.44159351947857,89.65452405617678,75.05384911034197
14,79.48,67.88647254603582,85.40222759703347,70.64748122783892,77.024637253691,86.28345128981036,86.63776429415505,75.38494539826979,91.3749236196076,75.05292764711206
15,79.18,65.37734202756769,71.91154864361306,70.6474327297742,66.32701727456681,82.28249951528998,78.34376382952627,63.11476874190391,91.9887359117452,75.0505650985301
16,55.04,62.56059521279717,60.66547097872559,70.64759208055831,61.46300086836435,77.65384421723365,73.71197694214722,58.75173041609175,92.01686478928998,75.05143806369529
17,58.42,60.47812988295945,57.46491394381066,70.64801470655098,59.76961472698945,74.9187196454077,72.11774855826512,59.38957696345173,91.6006128279871,75.05428559292457
18,64.09,57.95643836572564,52.94659174302045,70.64820869880991,53.2966715591435,71.46745879315381,65.65584562844074,50.875672416736506,91.70907528561357,75.05473593209707
19,45.62,55.94427444486495,53.74797722880543,70.64869367945724,55.10839297846535,68.21583676022318,63.64684101008262,50.70811506723369,91.61222465034302,75.05629479846348
20,53.97,55.02973258161694,60.62081118940205,70.6493726523635,59.96388411771736,67.00226968642536,64.10822388476643,53.7406609493258,90.95808968152794,75.05803380049888
21,60.69,56.010564371059125,72.45387478833517,70.65032875706821,71.5301390776729,68.34052528465008,69.2348434549047,63.66721712556517,89.99805663356096,75.0578675214198
22,77.86337,57.072090011921,78.90587025636424,70.65088994896011,73.86649870467947,69.46583973722493,69.0597792978108,62.49997956017668,88.34123803299427,75.05443801541372
23,65.47,57.95379175705025,81.13295681523385,70.65134028813263,77.22343082102893,69.62909807970397,69.79247420319736,63.33573978141446,86.10590680312016,75.05249116452947
24,68.38,58.277259992225154,81.27461273402211,70.65124329200317,76.22512587169318,69.46696212100873,69.00086800575092,61.5552234026004,83.13431952424914,75.05187454627787
25,63.89,58.05891477650511,79.60812223368879,70.65112551098882,74.77785355224508,68.73816784568565,67.75822287799858,59.44394329401671,80.24806112612723,75.05193690093253
26,61.349995,58.6769186870946,80.78001561329158,70.65125714859309,79.56091283181932,69.56694434560197,71.4975760913526,66.19089706345301,77.40102380578386,75.05276136803298
27,77.33,60.325118488728855,83.22314026565897,70.65154813698149,84.58279043872562,72.21684396110325,76.1092570667526,73.12215040716724,74.95182303873501,75.05274751144306
28,84.77,62.587470068953856,86.20502299084318,70.65167977458576,87.72816706841756,75.32530663523892,80.48463468589168,78.67121583430419,72.71221012257453,75.05337105798961
29,89.2,66.00237815754336,94.36618032787506,70.65165898970088,94.34583885386732,79.88869046646045,88.63732564648029,90.25223499082324,70.74484455693661,75.05540797670837
30,107.41,70.70995366350917,104.6280105539042,70.65192919320438,103.76390667797784,86.47345285084182,98.88582583300298,103.71761181104333,69.85747546652865,75.05400846112609
31,123.99,74.93566625488418,110.18444768688047,70.65192226490942,106.16357706434502,92.11548213977576,103.8019638022028,106.61774065567867,69.95451316576313,75.05181219162321
32,116.44999,78.74590978228699,114.16467000287524,70.65155506527644,109.6377982861022,96.80340207293504,110.03751933562631,112.2683610303652,70.22491758982588,75.05035724968124
33,126.14,81.71803053987007,117.0693645938904,70.6510215865644,110.50584436186182,100.92550201315684,113.8044055931584,114.09952324534976,71.35378625771612,75.04987226903393
34,124.22001,85.01193595695234,121.66973859191282,70.65098694508958,117.96386289981405,105.71654268852704,121.54883984483,122.3899625663682,73.16942216369137,75.04850739492645
35,141.88,89.05961215269485,128.63945090095982,70.65130564665782,126.98570846335612,112.06721184274026,130.54193298428078,131.82794923849377,75.4937750555292,75.04764828635119
36,154.73,91.82069704574256,128.7264702856796,70.65066824352134,123.4171238642197,116.21667854806104,131.6370054293475,129.04932883089785,77.94831060969862,75.04281233646788
