,Actual,Gru_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,cNN_LSTM_1fea_predicted,sTACKED_LSTM_predicted
0,43.25,47.16061974514566,49.15152832108629,40.78303690991574,41.919706639776,48.34829795524374,35.01980885580201,48.02980410162158,60.03628886794777,32.2831255491216
1,40.25,46.72638533446565,49.44888269879664,39.17681835934678,41.37706682432902,47.54347139568106,33.30856442785973,46.750467677879854,59.80781667072978,32.7763897721594
2,39.0,46.41148750347734,49.83968229323501,40.78748790527783,41.36072326839928,49.08664579842137,34.64100823484596,48.94885942097155,60.30851145074057,33.32371175585208
3,44.5,49.05955820752032,50.800682648021166,48.73479333075405,43.744809217009646,55.85719684990252,42.08519339973897,58.79074771814246,63.47989518327905,33.93029105537531
4,61.5,56.85166590105938,52.90082224617022,61.251216123024335,50.231483636835655,68.15567131527509,55.90639631059086,77.48955169660944,70.66461630690769,34.649624011523784
5,87.5,62.81493922652948,55.20458479125524,55.397584793777966,55.38276771276219,68.48819332658009,54.20534183658141,74.45756154347346,75.1957222466977,35.56240463831879
6,66.75,60.24247673306848,56.38201800625773,40.682392309098326,53.5966856505166,56.98002556203334,40.5273119983084,55.15927857547967,72.04038851722089,36.5340646316267
7,34.0,54.90447835540675,57.26000160995401,44.59028184056731,50.54180204308209,56.776520036244605,42.29623956482622,55.78786333187551,69.29259423448407,37.49007091824484
8,50.75,51.16083532303315,57.70839260769664,45.40465620716393,49.437324054616425,56.99589576396331,43.24929564512027,56.64743383192218,68.99614987066474,38.29380399337396
9,51.75,47.19998885416454,57.230679347844784,36.62162778276079,47.04598368075392,48.17089294883718,33.55644046965707,44.466743785451385,65.52077746559755,39.02559092995026
10,27.0,42.32965688944501,55.70975992191494,31.58731718593799,42.9706038909974,39.45471018190416,24.4049224687888,36.41570044581049,59.52157326907583,39.572586336077215
11,16.25,37.3114990391877,53.878778948498216,30.00614052972074,39.11939207953081,33.46583170751676,20.267223239846683,33.416529503324604,54.025019648548415,40.04797685886047
12,13.0,34.920683391076864,51.96636274006834,35.04182899031803,36.95224536983419,33.97870526214157,22.45811837657008,34.49176595671976,51.343127984693055,40.17552558003639
13,23.75,36.61740429087145,50.56710996972048,41.39997495627095,37.2897394328421,38.60503241351141,28.279937748444915,38.78879283951167,52.036356752048505,40.07822381250411
14,36.25,39.16123070205232,49.49613737173402,39.65577554947708,38.29755780067439,38.79832229949135,28.40804972418644,38.85397258445551,52.67851465918168,39.85767020390228
15,29.75,40.507409113853335,48.64031334016608,39.070185280020766,38.71355523942562,38.79412816288882,28.375535074636964,38.80533454362735,52.50607803506718,39.50741759936592
16,29.5,41.1278000758192,48.21390578283096,40.933170854878696,39.25171837363455,41.09360116668918,31.30807318548207,41.23464598097456,53.20893166708444,39.08392355424639
17,36.0,39.77917416698067,47.68912865940597,36.09388944477915,38.94482719712281,38.32065674198056,28.115827017551023,38.13174813255655,52.71771864471228,38.56489272821385
18,24.75,37.81543757839066,47.033404940357165,36.04179848834033,38.50319158475663,37.08132423533491,26.573114960577914,37.17171650223501,51.52571786863188,37.942443226760645
19,25.5,35.89040593545552,46.30903755252131,34.43643857991048,38.37280273958214,35.03964569086177,24.297702283726643,35.721242425819995,50.2403892969707,37.32936540062055
20,21.75,35.157863100243944,45.936735458182135,34.10644112327088,38.01595253433594,35.07815615774155,25.853659079165933,35.9894396649094,49.47504926757413,36.81001900525482
21,25.0,35.27736480342393,45.5153916878212,33.848749407447485,37.67791172911125,34.71999230341074,26.399017928053404,35.84669591340007,49.07255526075407,36.14912508631716
22,24.0,34.393253283606704,44.62916291794303,31.84685828483022,37.295735250172406,31.27647405393988,22.291886726204385,33.653078073825334,47.503225297468816,35.33851553525352
23,15.0,33.69607989958657,43.979981758441305,35.08082381943013,37.616331676212106,31.88460918366388,23.51865517009669,34.26006100854216,46.58773297605503,34.618342284020194
24,22.0,33.84214446791593,43.65740385054215,37.934157697059405,39.260580000839376,33.26355176495222,25.85798898396995,35.306518272634015,46.92203098221184,33.95212404993793
25,25.0,37.40591298038035,44.27917818039879,47.70890678389211,42.69034162903037,40.76312668663896,36.35239943922229,42.99900880039391,50.15157120732561,33.34367335088076
26,45.5,39.37118338270602,44.81824032026618,39.506357139630026,42.990770973033726,37.98261593675587,33.547648561258406,38.67973794902409,51.31914471537183,32.72538863074329
27,24.5,38.73514238346123,44.893228400414365,35.43487426419712,39.8238419052682,35.853810901039886,31.363532661081976,36.54938809133989,50.11413220841428,31.973937321417228
28,22.75,38.10071592499082,44.40575083828838,38.9596809722471,38.84434038097199,38.521322143770725,31.6132177224288,39.07448949894883,50.561495771118665,31.0661470933794
29,33.5,38.86124535676191,44.35944287335052,40.29015797501727,39.67067702694242,41.31073855378886,32.259281717412705,41.87623512942585,52.31493108502415,30.607246902959908
30,37.25,38.71558442362615,44.68072914863018,33.65408716180932,38.2894924356242,37.95505499185506,28.71828556868873,37.94474027795329,52.00186429005041,30.53265878859446
31,23.5,36.63404139966925,44.13467311168104,28.70673609803565,35.586952996911045,33.43842120846084,22.64582892335128,34.52659967392698,49.61613444537887,30.33445556148522
32,16.0,33.967964896581094,43.12697950381768,28.544581163125265,33.8748462574188,31.410668078166708,18.63441980766324,33.63574744637672,47.50874042197766,30.15224362686403
33,17.25,32.37238396806879,42.47663514107624,30.858596042127587,33.473243917435504,31.259657144010387,18.38760055619095,33.82060502622138,46.51391176855741,30.167889994732104
34,20.0,31.950137522638546,42.028908306697616,31.563198148415285,33.76132569392573,30.69959129643267,18.46911284883197,33.647695048107124,45.883587711418265,30.22088729565108
35,18.75,32.822180350167294,41.90020005169283,33.556928501300234,33.96826578827086,31.97390429671957,21.353033100608595,34.55274055682851,45.931290052479454,30.246261271684784
