,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
0,62.85,76.16180535448312,71.11161104880189,61.06279006099327,60.69073724701042,54.60342084240661,57.67952690262198,37.169835238761856,63.219944314883264,54.032523725508064
1,58.849995,75.38269143877929,67.95137927951299,60.28047009662828,60.00782998602275,54.97467371890425,55.63627240892789,35.22310863452206,61.35209658566053,53.91697999929927
2,56.530003,74.75938266979924,66.42842428209843,59.75629688732987,60.22878909610804,54.15412052197889,56.12948110895664,33.63261560809126,61.69107481905449,53.46432875964221
3,60.78,75.58452763386404,68.5221693181655,60.70180409867575,64.06228478551971,53.57225733294072,60.89087908631944,33.84310939430521,65.97640921319731,53.11916518285874
4,72.4,77.17737323234779,70.94008429606977,62.61002662537987,65.61538545855767,53.5324872126135,63.50242302668472,34.86830801559406,68.54832790380358,53.09368685901909
5,72.2,77.93193473610428,69.99405429093434,63.45847685476155,61.655657114493216,53.08352702308501,61.176223715882834,34.65529789059792,66.69697652319297,53.27451052299653
6,62.38,77.66193378932788,67.26708630004703,62.8290079372734,58.04738476884779,52.56816887292469,58.5321720797607,33.369247213849626,64.37440527531608,53.7358036069819
7,58.95,75.53600229224212,61.80968602207662,60.77288515789219,51.40428502683944,51.60546615500718,52.21608615183026,30.72087465556333,58.54628751207829,54.36803766270628
8,46.47,71.66111771137177,54.3633640122022,57.267212668124166,44.62120567300154,49.90254097022339,45.17926284845456,26.725690814615472,51.76115792476454,54.97847814599922
9,37.43,66.74034951156376,47.63785811177748,53.10717241930109,38.46421282382066,47.24692173416763,39.45057668475515,23.09817902764292,45.63026067401819,55.39049634064031
10,32.0,61.17789917549751,41.941537922626914,48.79226553308728,32.44645318810715,44.23044251020146,34.67405862917799,20.235101988584752,39.39177498087256,55.70888405719081
11,25.18,55.4857266937013,37.47965669562832,44.49551785765955,27.87805430116977,41.28084939769471,31.44267336538857,18.136645509691466,33.895155720606084,55.90445302552144
12,20.68,50.22990436328106,34.802105315293275,40.63089389224897,25.130130467658333,38.54745986140453,30.027920935607984,16.91880997439767,29.79640202084601,55.85428371788662
13,18.88,46.59071159940847,35.74803454090301,38.08382995216712,27.004919386713283,36.639054671810094,30.256148768984,16.91607003104285,29.697143636117413,55.53046650438933
14,26.02,45.25259884955841,40.14725609780102,37.55096450877756,31.933343681113897,35.770933538756914,31.96525929715729,18.22895325650732,32.734487371262524,54.90238960409984
15,35.08,45.663880093917854,44.73739501804682,38.415048162082606,36.51651621664606,35.923705851629315,34.24939575342242,20.104340553996074,35.669804434082614,54.03855789960903
16,38.18,47.74389391960904,49.17634575358973,40.162306890091465,42.37672910945739,36.70484480592757,38.03115060447048,22.122173412333723,40.26300453242138,52.86466223751805
17,46.22,50.43759521893663,52.09188483449226,42.22403553058944,45.498145014553,37.69410922758596,40.56696502999667,23.84794090648821,43.14881050388385,51.4660912203318
18,46.17,52.96615036925264,53.05297193063849,43.82248069146959,46.47411913626041,38.48359713571597,41.76836090516154,24.87853753112208,44.6737118058884,49.92292677865529
19,45.33,54.5730925038929,52.00178478916117,44.52251417310497,44.9520994988187,38.93191485576816,40.82343317608841,24.915926735154752,44.081581702670086,48.40177636462269
20,40.88,55.00638777589625,49.67352894616307,44.250522830696106,42.735787663346,39.13022061809343,38.8504377586043,23.93338304811612,42.29003037311848,47.006383051855984
21,36.75,54.73713007812185,48.03150293914039,43.55672508221306,41.15110835580369,38.77023300295233,37.789695458347055,22.85437445882674,41.17838496430495,45.60929538331355
22,36.7,53.789279742803565,46.80531845001483,42.66894564292909,38.67322011203061,38.09436771132256,36.18828674953946,22.01688085350417,39.21641860616405,44.3461248082581
23,33.08,52.623877905112536,46.6414509412355,41.70534850672103,37.3952727390202,37.35435310222803,35.35238357110675,21.643388781919995,38.05793906214416,43.24139539439536
24,33.25,51.745581189324376,47.762805827477656,41.11494425288024,37.94664382281543,36.90748093849752,35.50710848728948,21.840362364889987,38.0940622233853,42.32370963086152
25,35.43,50.64555062084715,46.83419808284668,40.48759800415204,36.93006185097346,36.46868058490311,34.17953349659485,21.204002647332484,36.34038824869395,41.51960239278544
26,30.42,49.6387946527604,44.5770264484252,39.687503050942674,37.18198861968858,35.71461353069455,33.75429428792671,19.44576524974328,35.647059754877425,40.65590296142211
27,31.550001,48.95246718661947,42.74666870276083,39.1916677845255,36.6312820508909,34.05323470537834,33.89433058823946,17.83413371779804,35.67854390857644,39.619350896691735
28,32.9,48.24348322335833,39.89395935740848,38.76210135497285,34.03888936976776,31.993653928521727,33.21699769476677,16.157634814267468,34.70873938345763,38.72503338567832
