,Gru_actual,Gru_predicted
0,82.05,121.37221827953982
1,77.54,120.68526561153807
2,84.11,120.40811980119364
3,94.14,120.65515872104096
4,97.69,121.41242785341086
5,100.75,122.75994402679602
6,102.71,124.44867907617152
7,102.41,126.14332970858455
8,102.06,127.7499692800121
9,106.73,129.15422736827625
10,115.47,130.20347597072325
11,125.14,130.8948690511814
12,123.25,131.32517183948895
13,129.1,131.68280385078367
14,144.76,132.33681104247307
15,140.04,133.27399138289152
16,120.41,134.087600110891
17,105.86,134.21571644075692
18,84.46,133.53406842656213
19,66.91,132.1748402928054
20,59.96,130.29283554622987
21,57.8,128.14279677527327
22,58.84,126.23677207943697
23,58.99,124.81007351748383
24,58.74,123.67667313870305
25,69.23,123.1756143149956
26,84.5,123.61270437804774
27,99.88,124.29792111299187
28,123.39,124.73749214474867
29,136.04,125.35386013554934
30,140.19,126.3251780093154
31,147.7,127.2849329298393
32,150.49,128.0095695008686
33,146.67,128.32823614782288
34,143.95,128.19706517180407
35,143.58,127.90772312791749
36,148.62,127.52990065058783
37,167.52,127.07541400517718
38,178.69,126.72943435140223
39,171.84,126.56056457164291
40,145.72,126.37436526273333
41,122.26,125.93603099015063
42,102.27,125.32021432572877
43,81.89,125.20229008351443
44,67.3,135.65064019625345
45,71.08,147.06708962876328
46,76.07,153.1315456892965
47,69.66,153.5898022150812
48,88.0,150.031586468357
49,117.53,144.48193513921922
50,110.56,138.64693515726304
51,98.0,133.53186312104688
52,117.12,129.54383630954217
53,134.81,126.7970984888669
54,131.92,125.40340500607786
55,127.17,125.40856065275541
56,117.24,126.37311360284629
57,106.19,127.80003567549356
58,107.86,129.46542875804712
59,104.48,131.0005747087842
60,99.78,132.13435505574498
61,104.02,132.63600245761359
62,107.88,132.45974192423557
63,101.49,131.88309923413536
64,88.03,131.14855368900035
65,82.42,130.19684515346455
66,108.033745,129.03797200591129
67,638.05,127.84494642429745
68,490.08,126.57929476780964
69,284.04,125.27755358457895
70,177.88,124.0003091734231
71,109.19,122.81546408321384
72,73.88,122.14113231907304
73,63.45,122.35852627052442
74,63.300003,122.69876169946065
75,67.08,122.26040507580854
76,76.44,121.23409612093407
77,98.19,120.22352976928167
78,128.97,120.03010361459573
79,145.61,120.38421905763643
80,154.4,121.27709212812506
81,166.72,122.3889162745674
82,166.38,123.31091278849905
83,159.99,123.85519858044808
84,145.19,123.96222295114615
85,129.05,123.62773174704864
86,123.3,122.8081627338728
87,120.1,121.71614163492893
88,107.04,121.84441442228074
89,95.04,122.57212799053234
90,90.33,123.46591000451038
91,79.05,123.10436655606864
92,70.38,125.03930608536676
93,63.69,127.157412628491
94,59.18,127.85208386579615
95,75.19,127.04059103903428
96,103.74,125.22668255059868
97,89.71,123.1358219610869
98,50.45,121.34854849703319
99,37.65,119.92794432667287
100,45.41,120.1740221505355
101,79.06,121.19852066878765
102,84.89,122.41855379260687
103,102.33,123.5383498204726
104,107.08,124.44784463624683
105,100.35,125.13495376173445
106,92.54,125.62964253065967
107,83.12,125.97367019103936
108,71.57,126.20667263929634
109,54.72,126.36117813178062
110,46.62,124.37425746538814
111,108.033745,122.11320838302179
112,108.033745,120.85076037981626
113,108.033745,120.55589762178509
114,46.62,121.11861559564203
115,194.91,122.20059361406373
116,157.01,123.33494018811626
117,96.54,124.32550978300196
118,60.96,125.04657763328193
119,40.17,125.5978891113826
120,36.3,125.97232912687468
121,42.63,126.21832499681614
122,40.82,126.37624275256388
123,108.033745,126.81195449966899
124,108.033745,126.90375779209792
125,108.033745,125.96517678466304
126,108.033745,124.06803291373954
127,108.033745,122.57960814842868
128,108.033745,121.09975129305884
129,108.033745,119.6541884285225
130,108.033745,118.91261719723585
131,108.033745,119.08892988310915
132,108.033745,119.96986748253211
133,0.6,121.33092840398056
134,27.44,122.63218531404067
135,67.16,123.57169016567788
136,81.81,124.03501293386249
137,100.69,124.23018247196251
138,111.28,124.73099543390643
139,109.88,125.14887102762127
140,110.02,124.8021612389122
141,106.82,123.96709548427782
142,109.61,122.8892077115584
143,108.033745,121.9642236046821
144,108.033745,121.48562760573307
145,108.033745,121.5852239710301
146,125.33,121.90556694819023
147,103.28,122.31845825342631
148,60.01,123.16548183019579
149,30.13,123.83437483411316
150,61.05,124.11994699762566
151,39.15,123.843114102253
152,30.98,122.98082474507558
153,56.74,121.98563592917819
154,81.19,121.8292678475763
155,96.45,121.98609785127935
156,110.91,122.27575281013767
157,106.3,122.60927546789402
158,99.07,122.63738566285706
159,90.22,122.44889164415456
160,91.07,122.20414743410014
161,114.01,121.43156781918346
162,104.67,120.60618752796067
163,70.57,119.85165267641541
164,62.509995,120.39356925500684
165,55.59,119.85293413772834
166,61.32,118.91925546485102
167,73.56,118.13364517646751
168,88.86,117.5253831735067
169,86.94,116.99410570395509
170,89.36,116.5756638831485
171,112.74,116.55966051744996
172,98.5,116.65211199089183
173,88.55,116.61427163037838
174,71.16,116.41013931344442
175,52.82,116.38612681454013
176,54.02,116.46723884543397
177,92.7,116.73884159056438
178,85.94,117.21839123514164
179,87.11,117.76861496119761
180,88.75,118.32893392027106
181,74.56,119.21338063759161
182,71.53,120.33987453592428
183,72.42,121.21558943546147
184,44.58,121.5284895065076
185,49.91,121.72377079995466
186,48.47,121.72759283282402
187,108.033745,121.979884253983
188,23.03,122.50664680751352
189,28.83,123.02850702648648
190,38.96,123.48782895324645
191,38.11,123.81646417715818
192,33.5,123.96654415789901
193,34.09,123.53713541236792
194,49.33,122.77290764705461
195,44.8,122.07308821342838
196,36.66,121.07699790439807
197,31.510002,120.12123637494233
198,43.51,119.44596586588625
199,43.87,119.22351312239142
200,51.76,118.9392596719742
201,59.66,118.91763128714047
202,61.58,118.7584320700798
203,64.41,118.3387087879603
204,84.8,117.90659556303042
205,95.0,117.68651948324968
206,84.02,117.24607675978584
207,67.82,116.90996137797777
208,77.89,116.98040449840592
209,71.35,117.28361910604046
210,88.6,117.7723252387199
211,97.69,118.93395501816723
212,94.29,120.54130982381595
213,95.22,122.08734819571283
214,93.28,123.382287203486
215,89.54,124.38196113397859
216,65.03,125.11312421727602
217,59.31,125.62766073583853
218,65.0,125.59750169284614
219,42.64,125.35049257442469
220,45.5,124.4027401781747
221,52.02,122.84541451622508
222,63.620003,121.33545077035812
223,47.88,120.10261793412266
224,61.91,119.32288597699434
225,48.11,118.63884639837254
226,37.58,118.01920025072486
227,40.64,117.68451533735913
228,48.52,117.20569582771599
229,30.18,116.79829543519861
230,38.52,116.49815037442988
231,54.26,116.3432202116268
232,56.47,116.11069458618393
233,62.809998,116.01034573488337
234,96.54,116.00311888910703
235,110.57,115.90298609814413
236,108.033745,115.54264960745061
237,108.033745,115.22072715471876
238,108.033745,115.08984674260229
239,108.033745,115.28176792528119
240,108.033745,115.80551308444117
241,88.38,116.31925986521782
242,90.38,116.64675518458957
243,57.18,117.05922926986332
244,36.69,117.48346746800392
245,42.93,117.83367892425409
246,44.59,118.10977423433617
247,52.38,118.26400406363105
248,40.97,118.42688375678811
249,38.11,118.78083529198645
250,47.35,119.21311987511514
251,30.63,119.9682582055345
252,35.27,121.05399120361731
253,36.13,122.3308183948108
254,38.95,123.51523136434479
255,30.42,124.19942740045246
256,37.92,123.86331201864441
257,38.62,122.62821427404192
258,31.620003,121.14884169184266
259,20.12,119.69135080659713
260,26.2,118.23286902394102
261,32.45,116.96420742343915
262,43.28,116.46781997323868
263,53.73,116.75470339948998
264,48.88,117.49846503557895
265,43.67,118.33119882863808
266,55.12,119.2299502303819
267,56.05,119.95357355293123
268,54.85,120.32469815979397
269,55.3,120.50648685767305
270,52.65,120.44195186992597
271,57.08,120.23265645595798
272,67.55,119.8587156143494
273,69.05,119.38139362635683
274,86.87,119.01647516643398
275,100.93,118.9418300449565
276,110.2,119.0451143367064
277,109.81,119.53350755441409
278,94.82,119.97959019772605
279,59.57,119.96059923908287
280,36.17,119.34171302779518
281,36.33,118.41625209810478
282,31.86,117.63752593909997
283,20.65,117.19767924415378
284,20.53,116.97073393570726
285,46.93,116.9563770987887
286,64.58,116.96329102959328
287,71.42,116.88362436785472
288,70.95,116.46037706712468
289,78.78,116.1015455484382
290,74.51,116.2086146212751
291,65.86,116.79611248075275
292,67.32,117.79589071623595
293,60.04,118.97966295511347
294,57.96,120.52441986569742
295,51.26,122.03662616886199
296,47.27,123.32234163532472
297,52.14,124.32664968754194
298,61.53,124.10622344100709
299,62.93,123.41132869300783
300,79.42,123.13469695725986
301,71.13,122.76803511392293
302,51.98,122.57344670362761
303,32.91,122.64733933910158
304,27.51,123.05172978760488
305,35.51,123.32228203247296
306,43.23,123.41789990741476
307,42.68,123.47974531647601
308,47.26,123.20431308811979
309,43.34,122.75650196210667
310,38.85,122.51803095220038
311,22.98,122.31353356779935
312,32.09,122.43785021586535
313,51.44,122.53612041771063
314,64.99,122.70992233345339
315,78.67,123.03767096494514
316,85.31,123.30495250332268
317,108.033745,123.56739130999443
318,108.033745,123.64056126089076
319,108.033745,124.09588234622609
320,108.033745,124.54222575201453
321,58.54,124.84962745998547
322,63.240005,125.06609756723452
323,90.06,125.28440791253176
324,71.66,125.26315949587803
325,80.73,125.52848159050384
326,88.83,126.9554781667158
327,99.78,128.71206361246772
328,87.7,130.60105679341257
329,84.57,132.15153557776583
330,87.86,134.98825880389126
331,71.47,142.3370222135143
332,69.2,150.93668557381366
333,80.78,158.2988596250835
334,75.19,164.15933982616863
335,90.12,169.03339283056562
336,81.37,171.53531193762177
337,87.14,172.35431472370587
338,94.4,170.14337673895977
339,89.71,165.13861468064513
340,93.07,159.01756571236234
341,85.18,152.93890927239644
342,110.13,147.40864377079478
343,102.69,142.47045809790012
344,99.3,138.39918100319457
345,100.33,135.15796302357526
346,103.99,132.32171662026394
347,92.88,129.8596569203247
348,113.53,127.9144284487409
349,167.41,126.71374390067545
350,164.77,125.9563108604632
351,176.95,125.63837434844305
352,169.84,125.82207033757857
353,255.48,126.13395716014472
354,473.6,126.51221175814968
355,474.64,126.66777520125275
356,444.74,126.5909322246165
357,452.25,126.54295192894676
358,477.89,126.16663442362413
359,410.86,125.61633619400344
360,398.95,124.78491366368311
361,286.83,124.22185297342854
362,201.26,123.75360551961697
363,175.32,123.3858410235224
364,158.91,123.5418067858749
365,142.12,123.42306300444879
366,120.95,123.3146305163778
367,118.2,123.34115378541262
368,112.78,123.48737448150176
369,92.5,123.85487076476338
370,84.21,124.50550294497167
371,85.87,125.39871128150148
372,98.87,126.93810393542671
373,95.74,128.6470667026195
374,103.46,129.5593628524266
375,117.03,129.2199544130586
376,113.06,128.05926337852654
377,116.34,126.63094063886282
378,106.18,125.05343196123475
379,101.12,123.58410990991413
380,107.68,122.5338108072048
381,89.27,121.68762167036003
382,86.08,121.30155909877404
383,71.8,121.07558978702515
384,86.78,120.67882105319111
385,80.51,120.43724324463665
386,80.44,121.48135855147551
387,102.61,122.98092905006617
388,76.42,124.55480195373666
389,84.04,126.66442254084104
390,89.77,128.26514652923106
391,92.63,129.0111805240435
392,102.16,129.0593694296944
393,113.81,128.6681959135697
394,123.87,128.1661908945905
395,157.5,127.55737756525086
396,160.64,127.17177691576603
397,127.95,127.13713275817842
398,90.45,126.46747981790107
399,76.56,124.97717756275965
400,73.57,123.54101704808902
401,61.24,122.05119161576172
402,59.16,120.69168036845913
403,67.7,119.71106444981795
404,60.6,118.73041127939442
405,74.13,118.36070969061754
406,68.59,118.04525414730205
407,55.08,117.87158633797576
408,65.22,117.81614078512264
409,125.65001,118.0963561423329
410,123.59,119.2260909457302
411,128.01,120.29967986276618
412,165.49,121.38396749169372
413,140.23,122.3667291129984
414,120.86,123.16792554711809
415,111.07,123.90851333135065
416,104.98,124.50516767893049
417,106.32,124.77486313280447
418,99.21,124.9968614045546
419,108.91,125.20982984426252
420,118.45,125.47626949235891
421,76.92,125.80931532730115
422,46.99,126.10484116705818
423,59.79,125.89766165432779
424,44.49,125.70787127359944
425,42.3,125.77839634794876
426,49.24,126.1892835072943
427,33.22,126.77672921427667
428,58.76,129.06677508402606
429,43.7,130.75152419268986
430,48.53,131.17515146159988
431,50.18,130.4407996257331
432,64.38,129.16163302260787
433,101.7,127.60480653454178
434,85.37,126.62320716884649
435,96.06,126.11130807647453
436,98.1,126.20449713520698
437,97.99,126.29905705952997
438,104.7,126.4847199427737
439,103.46,126.56043046522645
440,94.11,126.4859269005219
441,101.5,126.20829681700691
442,103.14,125.84950255010277
443,107.33,125.59580301157087
444,111.12,125.37880392901242
445,109.8,125.12288418425233
446,86.99,125.21757821499179
447,99.25,125.07815224400372
448,110.11,125.16380154198805
449,121.31,125.2659906313368
450,124.88,125.70287953476424
451,212.6,126.46548312236698
452,153.96,127.93192188573353
453,118.59,129.3046798668406
454,93.6,130.26784705062798
455,87.94,130.23938668891083
456,76.53,129.74209029522095
457,101.31,129.12880675199906
458,103.5,129.14537634478936
459,120.03,129.05847538691796
460,106.3,128.22896759821055
461,112.8,126.35381717958782
462,106.36,124.55921256476717
463,102.14,123.69515747310625
464,94.87,123.78035229934589
465,93.72,124.16393390222723
466,98.39,124.88253568451547
467,95.68,125.45436544433576
468,91.41,125.82680876429377
469,108.82,126.3615357488912
470,88.45,127.08788590190872
471,105.61,129.2591581888061
472,101.07,133.400707045741
473,118.86,136.16733731819238
474,130.14,136.73779621242213
475,163.76,136.3672005808688
476,151.53,135.80939239192588
477,143.33,134.47843091061807
478,109.32,132.55905517598674
479,109.57,131.63249904389517
480,110.42,131.998177440178
481,140.49,132.3613674173997
482,118.8,133.11254215817678
483,83.55,133.54530356411956
484,43.12,133.43839094876856
485,60.1,132.47924695747523
486,91.94,131.24289010262925
487,111.0,130.06197880063638
488,104.23,129.07841254083291
489,118.35,128.47132769419443
490,108.033745,128.57849362166542
491,106.09,129.22178720075033
492,121.94,130.09030505593705
493,130.91,131.044502010534
494,205.44,132.21961693519285
495,285.02,133.5515767642677
496,194.38,134.8297152182
497,138.62,136.081196296681
498,148.49,137.31105644068475
499,156.38,138.82246555570697
500,115.13,140.48414836073823
501,94.69,141.32626215259367
502,146.44,140.68727487954868
503,180.22,138.8959111697927
504,151.01,136.62019978589248
505,175.9,134.08995442353566
506,155.27,131.54004012009685
507,139.24,129.59744907470355
508,108.033745,128.52802490693458
509,108.033745,128.2226496959236
510,108.033745,128.40704601856734
511,108.033745,128.6965668710092
512,115.7,128.8656899628885
513,139.13,128.83205905378085
514,149.97,128.72601067978042
515,153.57,128.85181739914051
516,159.26,129.32619649632727
517,175.49,130.04081978826028
518,186.11,130.81085883162055
519,188.7,131.37598327061744
520,197.61,131.39268696982418
521,205.56,130.6629543549691
522,228.8,129.32072793467796
523,239.47,127.56338255256605
524,205.06,125.59972189907432
525,155.65,123.6065876353855
526,128.44,121.650310285156
527,118.08,119.93061155428929
528,99.52,118.62950365135859
529,86.65,117.73355358364765
530,100.6,117.3771359804576
531,116.9,117.62143316912379
532,127.81,118.41677362305771
533,133.2,119.59847466283645
534,129.03,120.93448003547475
535,123.28,122.28824705793863
536,117.48,123.35204620657242
537,118.58,124.05214875374453
538,131.28,124.32550978300196
539,143.96,124.45840179136546
540,150.97,124.6553817660878
541,153.15,124.94839683571429
542,146.9,125.43927102212663
543,127.89,126.11081635294748
544,103.24,126.87802426084897
545,84.84,127.21950389931577
546,68.61,126.75877385518288
547,55.44,125.55667373938805
548,45.03,124.09477969346847
549,33.77,122.68100004963509
550,31.740002,121.38046582415261
551,35.78,120.21995359817585
552,37.67,119.3598397450878
553,49.91,119.03785023914772
554,65.56,119.25541554879791
555,81.35,119.92514299263998
556,93.77,120.6978418132602
557,100.98,121.52081563934303
558,107.82,122.45705723484618
