,Unnamed: 0,_actual,Gru_predicted,cNN_1Fea_predicted
0,0,25.43,44.93125824445541,15.014379117425955
1,1,19.38,44.66260435652971,13.547488361436459
2,2,16.1,44.508803153310666,13.087541223732112
3,3,23.8,44.52309594840746,14.276124774492464
4,4,30.88,44.57343176809549,15.917405696875035
5,5,27.75,44.66162840857158,17.457067900613016
6,6,31.9,44.863448486326135,19.652254232871613
7,7,41.03,45.119012751637776,22.366466079231515
8,8,43.28,45.31470149222024,24.346440986752764
9,9,39.83,45.56123637642303,26.045216232596427
10,10,49.83,45.73596831085106,27.195046826935233
11,11,42.85,45.90191298866368,27.913128474573785
12,12,48.88,45.95868931987695,27.866640571835195
13,13,39.83,45.99477331938246,26.970772496159185
14,14,44.75,46.04475526481086,26.114724587171917
15,15,45.15,46.05871281060906,25.054517305324342
16,16,42.48,45.98467486551032,23.55970028276183
17,17,36.5,45.81109022868193,21.642949667963506
18,18,30.85,45.55775350870984,19.31337120437845
19,19,25.53,45.2900830187267,16.769244364668822
20,20,24.12,45.03342360570632,14.457092345874374
21,21,21.72,44.797009525328896,12.72840168761936
22,22,20.02,44.60921404323226,11.72056220870852
23,23,20.65,44.42296815789357,11.086207210898117
24,24,16.57,44.3094527453891,11.134600447150392
25,25,21.45,44.2565429560863,11.998233371518383
26,26,21.65,44.17451862769657,12.59756785509827
27,27,16.85,44.15762578803956,13.313879200190627
28,28,23.5,44.29833364365235,15.033697858257527
29,29,33.35,44.474678499705846,17.0841011934293
30,30,31.599998,44.57562951349739,18.301646558596108
31,31,27.27,44.57471689040677,18.218650007240452
32,32,23.17,44.50798738001742,17.193729576566167
33,33,21.43,44.40794898931649,15.88053572401393
34,34,19.67,44.275026367415535,14.367854570076533
35,35,16.52,44.11969791739178,12.62350031959269
36,36,14.22,43.98045025872399,10.821806332824329
37,37,14.5,43.85646389312672,9.180050473935415
38,38,13.25,43.72839866106319,7.93887655195398
39,39,11.05,43.70573580847813,7.647421055483526
40,40,19.15,43.77001799898773,8.412455298638445
41,41,21.22,43.79865573907221,9.018294549859137
42,42,16.32,43.75002224082261,8.861870952126633
43,43,12.38,43.77993392824175,9.023234820773164
44,44,21.85,43.8678251193569,9.84236991948895
45,45,22.43,43.96471589164324,10.644953015334629
46,46,22.9,44.03814666301229,11.19404294153555
47,47,21.73,44.04975746372032,11.27215323436417
48,48,18.55,44.034023096639565,11.177265576636943
49,49,18.93,44.02719891091704,11.157262368487403
50,50,20.03,43.97463182089725,10.695618496832942
51,51,15.3,43.99752934799133,10.335630593745133
52,52,23.7,44.04831961672857,10.319946514059168
53,53,21.85,44.06103674012196,10.038362246936252
54,54,19.32,44.00154116459786,9.429245002573737
55,55,14.8,43.878322147395146,8.51586294479026
56,56,11.75,43.720412277772205,7.4899106912747415
57,57,9.38,43.55000133430385,6.509627773460409
58,58,7.47,43.41793173561821,5.845429069338635
59,59,9.05,43.36213507735528,5.666315612827569
60,60,12.2,43.32811099854003,5.713276589576401
61,61,10.35,43.28730370891654,5.755203239357988
62,62,9.32,43.22675396059796,5.808374709363304
63,63,7.52,43.2105055445927,6.021105289291043
64,64,11.68,43.24802366609775,6.547261369723869
65,65,13.67,43.30887886377727,7.065372398238451
66,66,14.3,43.765022784438656,10.0137921983414
67,67,49.01,43.99891132009999,12.471218913193946
68,68,15.45,43.95739628195723,11.83000620473116
69,69,11.55,43.84011117733967,10.359447262666196
70,70,11.9,43.75920434661192,9.063609080052643
71,71,16.0,43.66202674992567,8.198619327273391
72,72,10.43,43.57320803575108,7.295139230023158
73,73,11.68,43.598474657888566,6.660087658670117
74,74,19.55,43.73591569533615,7.090128696443633
75,75,24.62,43.91692796662453,8.374653146477636
76,76,26.15,44.149553729927824,10.440668855235396
77,77,31.9,44.42763557312846,13.236293200015087
78,78,36.42,44.70618676534714,15.84011583357992
79,79,38.23,44.97684469908,17.90669494740893
80,80,41.15,45.19323694634684,19.346629797295236
81,81,39.77,45.30699820833695,19.86865393012287
82,82,35.88,45.312801746194864,19.258056932606276
83,83,31.9,45.18806665716406,17.175506914691393
84,84,24.5,45.02453577430133,15.10362434320821
85,85,24.77,44.943185669501,14.311035401452887
86,86,30.23,44.937199607024965,14.410267331341084
87,87,31.75,45.15716412181796,16.229235969467634
88,88,49.01,45.4665992244217,19.188958327173516
89,89,49.01,45.58221925752292,20.535729259476206
90,90,34.8,45.453125927610365,19.71173118343468
91,91,24.53,45.24345356628426,17.957751553088936
92,92,25.15,45.082500378028506,16.504512893536695
93,93,28.05,44.9351396863347,15.312384081443696
94,94,24.33,44.80347238680738,14.101232665399548
95,95,24.0,44.98384768442844,15.21157089236379
96,96,49.01,45.31159112372771,18.787035393071655
97,97,49.01,45.62159242514687,22.60973414526911
98,98,49.01,45.87442999616326,26.057460281979584
99,99,49.01,46.06123463033294,28.44381693927401
100,100,49.01,46.196813171677206,29.667186329755868
101,101,49.01,46.295544090113616,29.78975347332242
102,102,49.01,46.36869176207497,29.16542987952444
103,103,49.01,46.41266529507409,28.157290538740966
104,104,48.1,46.400711795083055,26.741782325249556
105,105,44.85,46.35037225040282,25.388943380642285
106,106,43.75,46.295667014856434,25.07932202842821
107,107,43.92,46.19695844637327,25.058048597936214
108,108,39.3,46.0543471197429,24.352542523987204
109,109,36.5,45.903317310725576,22.956266445258564
110,110,35.55,45.815455919548086,21.761445395048227
111,111,39.35,45.7977920065043,21.461237098140273
112,112,41.33,45.77708104983551,21.469990829825825
113,113,38.4,45.73686603397286,21.53685443993462
