,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
0,70.84,64.6915164793533,41.42588839006616,65.35601960184022,69.10890508354468,70.4156221410529,74.33143591942618,76.64070041186201,50.31385423846415,59.899488143802536
1,70.6,66.4281158973673,41.81807485231072,65.3559264016353,69.73582701571488,70.4357748930522,75.29980038689287,77.67408994536699,51.33045698121624,60.3019337978333
2,70.03,67.58967005111113,42.3139608810063,65.35581886293734,70.21240984812512,68.0093362353099,75.18530035054255,77.46319938940424,51.75591591661225,60.56800962897021
3,67.89,68.34854913493518,42.76533305798946,65.35578301670468,70.19603528904777,68.99092079338018,75.45754531831959,77.69437891305037,53.02361793449751,61.76898030014274
4,68.75484,68.83683934693093,43.34538604096171,65.35585470916999,70.5932402238642,67.77146780465013,75.64340086539526,77.84275363926076,53.39946568389739,62.398920485102586
5,68.75484,69.25178099766562,44.06292366466342,65.35590489389571,71.70053035061312,68.33348654797307,76.22449697373781,78.45559517124362,54.20472979277853,63.56052482357212
6,70.03,69.37059692042774,44.658594851203965,65.35582603218387,72.52034086070613,68.1718272079403,75.28080905283163,77.3410282592655,55.11315218999758,64.90938271219093
7,66.34,68.92728656116897,44.98027894306039,65.35550341608996,72.18881339336232,66.48916920082729,72.93354038453374,74.62771220157592,55.58310346936643,66.01104498041283
8,61.349995,68.18233015410856,45.10993476657774,65.355395877392,71.09052784025664,65.49342538085781,71.61474314662038,73.09539329422286,55.51236451384275,66.75273938030153
9,61.730003,67.43474263357119,45.25496145465805,65.35554643156915,70.24816288057637,65.00889185404445,71.04437223108856,72.44086976290741,55.196702589072565,67.34281138530119
10,62.48,66.68018660540545,45.46811032327813,65.35553926232262,69.86222083206052,63.89481962007698,69.98996246675402,71.25182154871632,54.78329515709555,67.91192768269005
11,60.570004,65.42233513225412,45.546778465465344,65.35518796924259,69.0228526174303,60.36468262809791,66.3812433635461,67.15345724591826,54.197660915698734,68.51604424164438
12,52.3,63.61900436752739,45.39178652470663,65.3548008299299,67.28867640474384,57.14808546391578,62.67825583769901,62.97235983814978,53.285854634116944,68.96268113129366
13,48.21,61.35614640788823,45.08863851975671,65.35467895273887,65.11867452617722,53.54624883737785,58.7811179465396,58.59534126117576,51.9060471082228,69.11443257262027
14,43.8,58.45249402404095,44.60737416936158,65.35439218287762,62.440086298684925,48.48744208453012,53.19656166857044,52.45731556637216,50.17710086088088,69.13435590873057
15,35.02,55.66378616982892,44.00357305725461,65.35434916739844,59.70016158249467,47.18798388913477,50.975496831585104,50.110036144204464,48.26791258649724,68.83324755441878
16,38.64,53.0944070747469,43.441945037867626,65.35456424479437,57.60964155559655,45.05094979074202,48.297356682001016,47.38525646131144,46.28556573588563,68.30108872289843
17,35.2,50.82402857549648,42.98594511224856,65.35444236760334,56.174128984154734,43.44825397481511,46.17049215981281,45.42144569760634,44.373312608609886,67.58217101923945
18,34.05,49.120959723509046,42.64769647628172,65.35455707554785,55.69715901243181,43.58728717279531,45.73976024359308,45.10996702818713,42.7230022418458,66.6923169705363
19,36.7,47.6201138084281,42.25231253008423,65.35454273705477,55.71296361640992,42.699476359353554,43.76680869056064,43.43870812305877,41.5147189392114,65.84719902018804
