,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted
0,0,0,0,0,0,0,0,138.68,107.0119239162076,90.92773904050333,96.86324114390308,85.33287980236899,129.6687752216796,126.29877298576616,119.91007113428785,135.75599446818026
1,1,1,1,1,1,1,1,142.05,113.93542366893024,95.1945313497526,99.8876766165008,85.35264243705485,137.67355851674088,136.06087389238775,131.26562292129017,147.93461939189905
2,2,2,2,2,2,2,2,161.36,117.60513560855662,98.33566544089103,102.18528961305894,85.36011394952749,119.57767449465273,131.258650502871,129.18638219605342,142.17304784156372
3,3,3,3,3,3,3,3,137.74,118.2097098381471,100.03036537164871,103.31023271133192,85.36657982472813,114.07666728607248,132.67567535991978,129.48321652208497,141.36329381182733
4,4,4,4,4,4,4,4,141.59,117.42623646245208,101.79982512212266,104.01962414132367,85.37181658770746,117.38080400525304,135.55008464986656,130.72377066081194,142.33597597795605
5,5,5,5,5,5,5,5,144.52,115.1963587230362,101.96531577126734,104.19289916787008,85.37269558917482,112.01381472378672,132.37817060904024,124.94165431346808,134.21324260463777
6,6,6,6,6,6,6,6,126.04001,114.19373091369712,101.78351145082148,104.11994204607844,85.37854318368232,129.10958130513328,138.69763992121577,127.83198991813715,138.59379856142658
7,7,7,7,7,7,7,7,143.12,115.27682460312536,101.83523845242668,104.63228071491498,85.38321381012335,144.3175581503351,142.8817613975425,131.90984160689197,143.8048619215796
8,8,8,8,8,8,8,8,150.26,116.93730306997548,100.97401069269436,105.31589803408389,85.3911173741647,145.39856607356958,143.40044675494005,131.92597649823367,143.1556969904326
9,9,9,9,9,9,9,9,144.0,106.5098278492154,92.55856983074216,102.20580461340754,85.33683530897216,74.8860665493268,84.5446836560781,84.04068805201659,85.21846062831146
10,10,10,10,10,10,10,10,6.67,95.36056578794066,83.82118350761857,97.28121379080208,85.31232010703053,82.89837350101558,87.98446966950266,87.50368566351167,93.22752719323495
11,11,11,11,11,11,11,11,91.1,88.55062110613815,81.51714933084966,94.99936322733676,85.2949263068076,93.72031180400502,84.89539034322843,88.05017130460601,95.20473670577206
12,12,12,12,12,12,12,12,87.64,86.0235142349469,79.99157524174578,93.78612517658304,85.28083993583475,89.93712673427326,76.75406385412579,82.40181216360182,88.16068711621524
13,13,13,13,13,13,13,13,70.97,84.82077950681173,77.83047564256904,91.97261851359596,85.26598630086922,79.53509786107703,67.86100488129814,74.09352009068893,78.36704644507806
14,14,14,14,14,14,14,14,56.19,82.98114862224784,76.05630057066423,89.9256922660325,85.25257780390935,73.06672719016217,63.42564541776838,68.55688352602034,73.20651822013376
15,15,15,15,15,15,15,15,53.38,80.72063991644364,75.26190671911189,88.31627782510455,85.24538191054089,74.6956956891566,65.25451970810447,67.08637366443165,73.03302716780303
16,16,16,16,16,16,16,16,57.88,78.37567257812225,74.7930190295903,87.15570537074319,85.24181376051656,71.88224291622238,66.52558562658011,64.38952267089344,70.74226740302439
17,17,17,17,17,17,17,17,52.62,79.40005194919623,75.98161524259777,86.98568562929208,85.24976946871276,85.72002780459025,80.2375019743197,74.12738399467757,84.01582273932101
18,18,18,18,18,18,18,18,84.67,85.46131830491457,80.10109286524798,88.59305899901612,85.2698673158226,108.00357910553451,99.15823203438909,89.71188633284243,104.25936061780115
19,19,19,19,19,19,19,19,114.42,96.02713941764058,86.73120725532374,91.87956354469446,85.29952989076382,134.11217233422028,120.71319540719404,108.8362169700824,127.37662246305011
20,20,20,20,20,20,20,20,145.03,109.18878594847716,94.92224947148756,96.47103515866198,85.33709602974638,157.72255400266332,143.61522107957722,129.9283637228226,151.03420204079185
21,21,21,21,21,21,21,21,175.4,120.38523846988564,101.91551810339138,101.22693964034733,85.3731052932486,154.9938056846906,156.40317280014227,140.98575523242732,160.23521694296278
22,22,22,22,22,22,22,22,173.63,128.00031124997338,107.01188667038272,105.21891735523916,85.40239540994094,155.50809603475128,166.3845324287176,150.48189115268497,168.5110604532328
23,23,23,23,23,23,23,23,183.4,129.45429886364153,108.91823227648692,107.63732601107574,85.41171431532804,134.01144472539178,158.88587519890143,145.30832688902967,158.21568872418734
24,24,24,24,24,24,24,24,153.75,127.07470780650377,108.4685708817728,108.41105587897994,85.41529736368231,127.66751235542944,155.77005337035723,142.81528504928147,153.96339248998464
25,25,25,25,25,25,25,25,154.38,122.1056082231565,106.90435052476458,108.01519235373478,85.40291685148938,115.37002110616145,143.25550090280387,133.75105171443113,141.8993506219529
26,26,26,26,26,26,26,26,132.24,115.29021820175528,103.23302956550302,106.31294641885468,85.38474088894378,101.5936322355398,129.0437604833903,120.54547000855608,125.70964832433944
27,27,27,27,27,27,27,27,108.52,108.5965922310796,99.14479374076927,103.86224563283972,85.36605093401471,101.25980535622897,120.07475727361494,111.78319602524196,116.55238981724754
28,28,28,28,28,28,28,28,103.93,101.84550340176594,94.75072499871096,101.13434651967448,85.34234769105566,95.74970271721097,106.28788742786968,99.41863994367964,102.34611708492758
29,29,29,29,29,29,29,29,82.32,96.32532949169808,89.81396968969689,98.42153941475402,85.32679383458222,95.41246412034032,101.28942323618033,93.00671159580088,96.80495142795255
30,30,30,30,30,30,30,30,83.26,93.13996225892204,85.26504025691705,96.39705005210342,85.31512844222713,95.73997410775009,98.73202061102474,91.21117976790497,96.91460313642436
31,31,31,31,31,31,31,31,88.21,93.49017730118382,84.37089463714827,95.54921589100104,85.30923615272977,110.53398595681092,100.3572645275303,96.22884790690684,105.28098379783339
32,32,32,32,32,32,32,32,105.44,94.2463420380706,84.78965689553489,95.10460503014176,85.28990556961263,107.80948366287546,87.65515698416831,92.03519149940868,99.59838829459166
33,33,33,33,33,33,33,33,85.91,94.85572097907168,83.81260951872923,94.53939218829348,85.29829332937751,108.19923887283892,95.24622855469788,92.7096090998301,101.17847537300239
34,34,34,34,34,34,34,34,94.36,93.37600394957056,82.22613105676764,93.7365211869965,85.29040466366612,95.61102161282103,87.02603030681132,86.39191268891926,92.8215998461049
35,35,35,35,35,35,35,35,75.4,89.58107899583393,79.84630162635058,92.32031573809527,85.27680248841683,80.94795863490327,76.81023055805768,78.44588840720209,83.1958931502251
36,36,36,36,36,36,36,36,62.56,83.35831474339896,76.75763200415011,90.09446054776735,85.25703985373099,62.60743658578232,62.96256062776441,65.99544345344685,69.10247526731736
37,37,37,37,37,37,37,37,39.44,76.29752688013723,73.53495190400075,87.35066491653967,85.23709843908567,49.483054502746704,53.82853234165549,55.81261743346703,60.66705946947745
38,38,38,38,38,38,38,38,29.73,70.6956877744188,71.78335525114336,84.85115720159081,85.22214051581045,46.63908995006383,51.545005716070186,50.70862464612102,58.34321423845033
39,39,39,39,39,39,39,39,31.04,73.46546609308872,74.90510661500981,84.72824597945869,85.23540002947075,89.28428191562726,79.70426094855571,72.23833534965158,84.91229249856283
40,40,40,40,40,40,40,40,102.01,81.22885919704753,80.67992278067551,86.8184518755426,85.25757619360938,98.5282636013896,94.4966190829915,81.70081594253993,95.13167529567075
41,41,41,41,41,41,41,41,94.18,89.42668760250604,84.86055804779268,88.94332618543277,85.27839660972207,98.3731719865538,104.74766828041965,87.87916827337784,100.90404813522376
42,42,42,42,42,42,42,42,97.19,97.72383572461229,89.21917621372214,91.38465592190576,85.30756753977475,117.17213054673265,125.56777152817408,104.0381651129532,120.73779254995043
43,43,43,43,43,43,43,43,133.93,107.83166727617908,95.70316033443028,95.51138158207928,85.34823253138805,149.7516495099206,152.07197501049575,127.26332066373922,148.26202509099912
44,44,44,44,44,44,44,44,175.57,118.09509698580014,102.02186983177806,100.5595391533349,85.38191765541723,161.31676120607568,164.28888864219996,141.68295237935058,161.8918516406844
45,45,45,45,45,45,45,45,179.75,125.72500850252348,105.90036696739956,104.70175162749706,85.40579967833574,156.08224787457283,166.53369450823115,147.2760089195603,164.54440989926516
46,46,46,46,46,46,46,46,173.22,136.7904451103041,112.11493713835904,109.6564892207673,85.44873666526723,217.5309759121939,197.37734945499463,179.4857066382652,204.2471183807331
47,47,47,47,47,47,47,47,257.02,146.56936623144531,118.50238753012113,115.39794802566284,85.48150554200416,211.38699402856312,199.4233669044308,186.50959878739232,206.922694559095
48,48,48,48,48,48,48,48,226.03,150.28472665405508,120.03514261426348,118.68168148196948,85.48754681480108,176.63824842720774,185.6999192493057,179.8547829662505,193.90381872422108
49,49,49,49,49,49,49,49,195.95,144.86456523297787,116.8082984308916,118.33475152146283,85.4667263986884,132.34052252924292,160.3368831465785,160.6966182216818,167.52029171453822
50,50,50,50,50,50,50,50,151.33,133.43011189053172,111.24398076916586,115.53907245616544,85.43814395266894,111.59827795383544,141.25843936560116,144.02674274960552,147.80890728373532
51,51,51,51,51,51,51,51,133.22,120.9616548558604,105.83024052829944,111.9113514595184,85.40563579670624,109.590102262486,125.59454382710396,129.87169047567224,132.69945309452862
52,52,52,52,52,52,52,52,118.6,111.09942227360852,100.91036502712484,108.2903868555061,85.37820052209335,112.08977385906437,115.29532832892998,118.33822283234244,121.22172010356202
53,53,53,53,53,53,53,53,107.7,104.38191428001434,95.99838564082664,104.8398591461837,85.35411737172043,110.53471597497872,106.02727094195971,107.54535117109604,110.28132517909714
54,54,54,54,54,54,54,54,94.94,101.72756822183892,92.5421220744714,102.2001730446844,85.34189329199202,124.68950752813775,107.94577358530756,107.02803646005438,113.0696966135514
55,55,55,55,55,55,55,55,110.33,105.0528456712262,92.87815390661564,101.72840252831642,85.34588604442007,158.8432212802391,122.88316696185925,121.0879479988924,133.6211680738799
56,56,56,56,56,56,56,56,151.42,110.46542384235612,94.55293477022296,102.79428864664618,85.35459411827901,159.80821590811084,126.56192218776854,125.34791687302211,138.0565051899147
57,57,57,57,57,57,57,57,142.02,110.21279286130223,92.51358432344182,102.34134961934186,85.33947976253924,117.09157527666372,104.1243668500752,108.19536530705052,114.0182285868224
58,58,58,58,58,58,58,58,86.65,104.20426659362606,88.12233881491001,99.80212295673188,85.31961283954371,94.29400179559794,90.09693367053995,96.38522077811882,99.94903538842216
59,59,59,59,59,59,59,59,79.45,94.16843122156878,83.95310077020874,96.4622078981634,85.29223715825064,74.51162682255752,73.05200764016622,80.99134257173343,81.91487514733925
60,60,60,60,60,60,60,60,53.91,84.98701507245418,81.1801193105984,93.19273214362408,85.27054518983557,75.82648638193707,67.75584501930788,73.30048198716253,75.54872936741342
61,61,61,61,61,61,61,61,55.87,78.31032850293782,78.94489307072854,90.29353203263152,85.25187758240143,69.78430478689161,63.0087380014612,64.05074954603741,66.99261102485728
62,62,62,62,62,62,62,62,41.61,74.32326723693129,76.58683010037633,87.69351273463852,85.24390697587529,63.07730756508097,64.57639987268911,57.75930026792551,62.73111507190714
63,63,63,63,63,63,63,63,38.17,72.6749383581598,75.9315568539476,85.69951280424165,85.23335895826686,63.42047569727385,65.40704881018794,56.15840022256708,62.911913755081
64,64,64,64,64,64,64,64,43.52,73.46322389443043,77.24581303096397,84.77819263063421,85.2350201220569,70.52344818180433,74.45930388775412,60.44906710556992,68.6139590280795
65,65,65,65,65,65,65,65,58.39,77.50647421186379,80.18136506704772,85.311158037294,85.25294281299325,82.6993392619763,92.99549315334444,71.82663489966382,83.03800064935768
66,66,66,66,66,66,66,66,84.53,87.29488556918662,86.27986234932463,88.05296474147265,85.29062813861546,118.59606822888072,124.7306939612995,96.460338157754,115.57459752394412
67,67,67,67,67,67,67,67,139.03,103.95796740280323,97.07020874364362,93.75909960604392,85.34317454836818,175.15918692422466,162.40602280410548,130.4095201870625,156.91744825187303
68,68,68,68,68,68,68,68,198.82,125.73390280550684,109.62684154415604,102.07620404112544,85.41183350196769,237.4973005651937,201.531182626522,167.28038390726627,198.4084926678684
69,69,69,69,69,69,69,69,250.55002,146.2152180300753,119.78423983948446,110.95270352020766,85.48637729589957,248.1583071080049,226.53712065854808,191.44747147115305,220.09289273132597
70,70,70,70,70,70,70,70,259.23,160.6653466271054,126.6692199601074,118.42295708396384,85.52903866372688,237.39582803986747,232.0987715192118,206.22208569461196,231.17227417594486
71,71,71,71,71,71,71,71,263.72,164.51717575210668,129.13575767086493,122.99100852324143,85.54083814105157,191.50880789557948,215.5860585298352,200.1173758087436,216.82285828941332
72,72,72,72,72,72,72,72,223.16,156.93090144382276,126.05600469914278,123.4711072060545,85.51805859454974,143.90104553977173,184.84272893699136,179.09486385021498,186.8806416949318
73,73,73,73,73,73,73,73,172.29,141.82448651392696,119.07055024130057,120.36772548302308,85.47813107026926,111.15564857086024,155.29819346400953,154.47303456109927,156.4340719364698
