,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
0,31.500002,44.27798636340909,46.58642661487577,34.69276732617718,53.7428526503926,35.776463965338664,36.18977653517669,32.40355563911324,38.73229713574509,46.58062335726227
1,30.5,44.35708817100899,45.88296678971961,34.247144643002585,52.59211385421308,35.694690221680844,35.75076025296867,31.09731953957737,38.3527759630933,45.71350354221962
2,29.38,44.58288083072407,45.70726277460832,35.34459472145164,52.44040101233759,35.85431886944487,36.7309826525821,32.196407155446714,38.35201344566858,45.16501913349387
3,33.28,45.71424418414444,47.30018355033699,38.941489416115566,54.787026511396846,37.0374021547465,40.28370133775518,35.49880137031452,38.47468812397666,44.556330224001215
4,41.8,47.121395089741306,49.091108850778426,40.57518299856657,56.85314872551775,38.56964966899634,41.87265952293246,36.96730680295819,39.1573318484524,44.36447271475735
5,40.18,48.161350104338325,49.62693672028247,40.64804091348377,57.32190943743246,39.42851929550929,41.67063303131146,36.78794957936539,39.78297739543071,44.21833187521082
6,37.55,49.59403284337748,50.86907135499971,43.8112381974842,59.365512386952986,40.59385217518643,45.29778466739376,39.82855031184307,40.37620970171584,43.971357481460025
7,46.47,51.54193985609632,53.316517907977584,47.297192856994975,62.79755956459356,42.61572962824541,49.25855330214577,43.20422120119737,41.34065674083763,43.94827882907676
8,51.0,53.37871307923443,55.27816898476977,48.89321057849369,65.07542411735776,44.49380379517461,50.77938493052478,44.88042825514763,42.5825538701275,44.18972809656979
9,49.5,55.33013267222122,56.84921113553767,51.78993302312767,66.8550147837851,46.28841980495453,53.98044557976228,47.646516464585225,43.644440635899294,44.321281102761525
10,54.98,57.40593635757888,58.266793529510345,54.7346253139476,68.4599889599528,48.386605251770405,57.19350650322478,50.52216342761153,44.82608013820823,44.61560970362994
11,58.38,59.33891802923036,59.3606435256919,56.80090378163915,69.47548716567351,50.38881975550027,59.2838917717944,51.97318408570079,45.79077718304305,44.93262632295504
12,59.180004,61.53804953282136,60.97526792238221,60.488825556414085,71.30207890614884,52.60493914729106,63.422830103002354,54.614222562556606,46.62149616626981,45.310441206615465
13,66.1,62.57794204599011,61.26965589960747,58.7367667691332,70.59663778571698,53.8518238905557,60.77177577226863,51.50783595176882,47.37097579305035,46.15511988384305
14,54.83,62.94775674683386,60.457006079289314,58.71150369183241,69.21333117499951,54.08104787868199,60.528845220925945,50.98271145185349,47.94919213119714,47.20606889967017
15,57.6,61.23323631736312,57.9879309070637,52.07813335895566,64.83789368941633,52.664121749706,52.28764127153882,42.97439407428842,47.65607605803688,48.35946713162196
16,38.93,57.96508663503639,53.74561521352148,46.12354728735989,59.15297628017085,49.46656743059363,45.36796752118163,36.73280769428715,46.77344963864409,49.65811243269621
17,33.15,53.7322274075892,49.53133766069459,40.02468291877959,54.06388498648309,45.80198993927205,39.06989235032324,31.2787393103026,45.51045202717523,51.05340369228164
18,25.93,49.46761745458832,46.43199183579976,35.565837277189736,50.82420782979806,42.30399437960789,35.44497826537247,27.309526732593305,43.7070420664398,52.13030955126318
19,23.62,46.20378037081121,44.4668938052393,33.97469466709493,49.35173668153159,39.75283295658319,34.56918950223081,27.25449735008593,42.34101085049209,53.25111016330842
20,26.7,44.08222563997068,43.52023154752755,33.04958602691702,48.991522200067855,38.141789891731904,34.190155840719406,27.79280652629172,41.23394805237737,54.105692191843055
21,26.88,43.10752211647219,43.55460108292514,33.32506107195223,49.477283300468,37.20482473061397,34.62520640730462,28.06225018350029,39.8929486584459,54.31399070178947
22,29.350002,43.76176206687731,45.165416017563295,36.84894159812832,51.95833374634733,37.542032436336925,37.936053940343946,32.632110861957194,39.649393092820674,54.69208059173423
23,39.12,46.76896828623818,49.68001605822828,44.41099565287918,58.17535393997285,40.11238179783601,46.94897239961343,41.58760925908854,40.4165231229405,54.885928771468016
24,55.8,51.21022915098841,55.624626901874514,51.17323143053269,65.08312429331882,44.06728154847484,54.74337551390335,48.58048468221833,42.09957408328472,55.040913563112674
25,61.55,55.63795845652137,60.16378687877243,55.3207512078401,69.32109613759728,47.69259564256644,58.88758896565605,52.42072868779423,44.28403025152137,55.209461164688726
26,61.3,59.15028246861305,62.69608224567827,57.574790216153374,70.97615895836877,50.325905817818494,60.772025777981646,54.26638336388741,46.43619505684993,55.27513141535656
27,60.47,61.25713686352793,63.97039886580416,57.84653392592175,71.24974021012785,51.90213558713158,60.41120503266383,53.61623725703302,48.01850934020367,55.13618449020222
28,57.299995,60.36112888834569,62.04265481384047,50.747371698972415,67.10615802280051,50.87751842302842,51.29477795806076,45.28017176491142,48.71184393398248,55.13789077919359
29,36.77,56.893668401455656,57.133042621530606,43.03812678068034,60.42710539601198,47.36406313508532,42.21642675355081,37.81990128607431,48.58454727505492,55.264881181122696
30,26.779999,52.23170561832175,52.38709979432147,36.99313239311328,55.34151418230651,43.37946270573956,36.55296920969678,32.44939418659567,47.420958185226105,55.08435830589293
31,22.6,47.468799903484125,48.81823386515864,32.11102707937857,52.54267522446314,39.77192089277236,33.127075297667936,28.36682276845975,45.670443183223135,54.7229937981493
32,19.0,43.12661630280419,45.91644567976456,27.784034450836085,50.709420831735805,36.54570341866211,30.65796574965678,25.218800831239697,43.81674457331349,54.33300988640756
33,15.03,40.38947875493444,44.38425441680015,27.802916132312006,50.87451522940075,34.42372055303803,30.99458281688273,26.64271149482322,42.05326677509037,53.65162556571117
34,22.53,38.7273282721988,43.32168951053178,26.62583610919429,50.76261267225247,33.143263167586056,30.512806182533858,25.92579511216369,40.32973988980803,52.75799264480263
35,19.28,38.44564371026642,42.706691081856754,28.34585666435151,50.985908399908745,32.55911231882643,31.77191933023665,28.22793521966225,38.98758421945384,51.73517864690463
36,26.329998,38.92807660961198,42.374902249963526,29.29787529446474,50.631640929343504,32.63177647931603,32.4937639505141,28.233566598348048,37.51836939559947,50.434852057410296
37,26.18,39.40507813484214,41.60237522151385,28.922610469077124,49.05650493502488,32.51670822482662,32.252742817804624,27.01017614196457,36.54071580468733,49.46265484118485
38,23.5,39.81679066811683,41.019643155175615,29.165622272276533,47.4639966687227,32.30064391241948,32.44117212370869,25.663192236277663,35.44184069367405,48.377373790817096
39,24.85,39.62187371395987,40.399919618524486,27.45914577662224,45.65057085410936,31.775588164075234,31.2923271208053,23.04332611824333,34.90707847352176,47.82492366646855
40,19.55,39.61174848258251,40.51098465653414,28.504935299546883,45.45902272693536,31.45472458184103,32.0583227500023,23.99741979577463,34.73140258405319,47.37535401809964
41,25.48,39.706225641533216,41.39080788686968,28.78320728349652,46.30670459779061,31.558689457600888,32.25161779209603,24.423976418259947,34.94547935104181,47.06104996076082
42,24.5,39.68797522448267,42.21249541371356,28.35615377465657,47.34304077969165,31.48753783167506,31.952998468177885,24.39819770417605,35.35517621325526,46.73973636824318
43,22.8,39.773220922480064,43.400806943488746,28.816151786329883,49.30726066518512,31.443755581182227,32.276646489040864,25.49366648734942,35.85674079978976,46.27316633138882
44,24.85,39.553503401591406,44.499003914005456,27.688069757892904,51.15475913341184,31.226600618852032,31.5005725045377,25.11680162539847,36.41924115380176,45.76312967625432
45,20.83,39.23487112034592,44.854618290349606,27.31668627119995,52.239524546996485,30.8325041131311,31.286408235549523,26.197029435291785,37.06016517491708,45.13406842622185
46,21.7,39.769389584928014,45.52391170975001,30.21992448972955,54.1147861496542,31.29530843893308,33.32154536661287,30.914502861930632,37.73942444705279,44.187109286725885
47,30.78,41.55480538446875,47.283520669564126,34.69654866258663,57.22634475363012,33.09138698213416,36.94589381363793,36.03768243458884,38.13759604589597,42.75560782468076
48,38.9,43.64063117384714,48.52930538769148,36.86606698947027,58.61123890062527,35.06755401563864,38.69544316857436,37.30553640703313,38.31572511642356,41.28545547940256
49,37.05,45.67382451049174,48.43713140637198,38.96126486801554,58.26921858492665,36.65070269305959,40.54732298692177,38.228563749650135,38.41260545529068,40.04610528331409
50,39.25,47.63978193569072,48.41034016915035,41.39790804911948,58.06807648851546,38.282786863733016,43.027882796589296,39.09144909292849,38.41871496990263,39.06402346621007
51,42.58,49.28220696766899,48.86657559484269,42.86163524757304,58.23331776453681,39.81300933170738,44.36599149946395,38.20404131427417,38.39017056761844,38.49939181349457
52,42.5,49.358243080212965,47.779644506769,39.42615674152124,55.75095478866412,39.91449602583692,40.09087505637336,32.84805017150783,38.43673100659722,38.58910011346939
53,30.199999,52.94798448641307,51.60875388290123,53.17069582571516,63.223506798153394,43.2025617882772,58.19416061973487,49.67193774862629,40.06790890656095,39.01962870172033
54,78.86179,58.53021829917793,59.6957574335683,62.39523162077141,73.29122436123052,49.692272588309145,68.37921211407566,58.121933969243045,42.556265769403325,39.70076614177511
55,78.86179,64.2556491342185,65.70062590419546,68.27447847074826,79.50005374268318,55.21480503680455,73.92516384773832,62.40926944155755,45.39592753511164,40.66065370170568
56,78.86179,68.9852322125818,69.10485369611962,71.87741080338164,82.19966543302846,59.319780091898586,76.92925749597208,64.96340905763863,48.26066487383599,41.92725764558487
57,78.86179,67.08694508375484,63.96788630838829,53.938144613119086,72.0667213794241,57.19617531421128,53.90066875673721,43.24511901077622,48.63465467008719,43.224496664523386
58,22.15,61.02238149900105,53.6803512221373,42.5391716287755,58.05726374142729,50.338468604897805,40.83632959117425,31.843986602086414,47.469084284982685,44.68675820448436
59,19.68,59.38341904614813,53.0871501665663,55.88497660127194,61.961265453966426,49.85454504648837,58.53053705646203,49.53611276981329,47.40426717881053,46.068799161279664
60,78.86179,56.51807856864112,53.635793953934105,45.64504885292301,60.45724358471668,50.037849235275495,45.40924346440144,36.89385512447257,46.34462733938452,47.485109651187344
61,25.4,53.20903420180696,49.5904390112528,41.07860700259166,54.59755968178374,46.40389744379901,40.42957967130304,32.35758583863147,44.942998434974,48.92625508361226
