,Test,BiLSTM_Tred,BiLSTM_Shift,Gru_Tred,Gru_Shift,LSTM_Tred,LSTM_Shift,RNN_Tred,RNN_Shift
1031,27.722500000000007,27.11218,27.027594,26.039385,26.711842,27.538294,27.759747,26.686148,26.656536
1032,28.15375,27.759558,27.66681,26.596745,27.309498,28.225859,28.4062,27.339014,27.34967
1033,28.046250000000004,28.055218,27.968779,26.877487,27.644571,28.591206,28.778423,27.639746,27.654205
1034,26.610000000000003,27.861355,27.762901,26.739742,27.506426,28.490902,28.637053,27.448322,27.43895
1035,25.66583333333334,26.369133,26.269184,25.383286,26.099564,27.153202,27.293015,26.02326,26.025478
1036,26.57708333333333,25.71669,25.628304,24.819475,25.47662,26.381453,26.575148,25.38926,25.33799
1037,27.387500000000006,26.847425,26.748873,25.850248,26.497038,27.303825,27.490482,26.476734,26.454472
1038,26.98875,27.385426,27.316973,26.318563,27.015057,27.940483,28.093834,27.04803,27.072765
1039,27.30458333333333,26.802141,26.74241,25.769796,26.488798,27.526936,27.640888,26.479748,26.410164
1040,27.09208333333333,27.298931,27.232277,26.272331,26.988005,27.891376,28.081137,26.921854,26.88681
1041,26.671666666666678,26.97536,26.894209,25.932724,26.631691,27.638441,27.747538,26.617886,26.648073
1042,27.36708333333333,26.641787,26.576487,25.605433,26.308294,27.273123,27.407766,26.299135,26.276886
1043,28.275,27.507166,27.42766,26.402878,27.10451,27.970163,28.169815,27.047403,27.06216
1044,28.535000000000004,28.321066,28.235994,27.086613,27.832111,28.755754,28.940815,27.87258,27.90125
1045,28.180000000000003,28.431904,28.347952,27.171457,27.963465,28.966963,29.130053,27.98071,27.955212
1046,28.81083333333333,28.03656,27.938162,26.846716,27.635307,28.669437,28.800478,27.607513,27.543772
1047,27.60416666666667,28.839977,28.746927,27.622843,28.424637,29.369028,29.570631,28.443306,28.43624
1048,27.07291666666667,27.321667,27.212608,26.221367,26.98734,28.132696,28.225477,26.92401,26.920809
1049,25.8425,27.137003,27.078386,26.096666,26.854975,27.824661,28.00153,26.760145,26.740368
1050,25.93375,25.847662,25.739273,24.875534,25.530312,26.622728,26.800552,25.500237,25.48053
1051,25.680416666666677,26.234903,26.17406,25.234491,25.89853,26.849617,27.0152,25.983328,25.885036
1052,26.629583333333333,25.820604,25.73133,24.806381,25.42294,26.510204,26.610888,25.426645,25.386742
1053,26.62375,26.942791,26.87595,25.82059,26.489834,27.431889,27.628407,26.695356,26.675482
1054,25.73125,26.624683,26.51445,25.505896,26.165668,27.280294,27.353931,26.241646,26.202705
1055,23.86583333333333,25.669226,25.580606,24.686014,25.3414,26.436024,26.54174,25.328968,25.29095
1056,23.16375,23.807508,23.698229,23.02441,23.560024,24.403933,24.854092,23.464993,23.422106
1057,25.64125,23.438112,23.340914,22.698156,23.169767,24.092537,24.230917,23.249426,23.135511
1058,26.46250000000001,26.162062,26.062346,25.223303,25.73917,26.321999,26.473911,25.775745,25.755674
1059,25.631666666666668,26.35895,26.29898,25.290915,25.895653,26.838037,26.8345,26.017902,26.047676
1060,22.13416666666667,25.372957,25.322166,24.436474,25.072151,26.079733,26.106615,25.131517,25.058475
1061,22.852500000000003,21.74349,21.665817,21.18735,21.612104,21.888395,22.894533,21.443794,21.532217
1062,22.34625,23.30373,23.206089,22.757145,23.16826,23.755302,23.7765,23.1012,23.066319
1063,21.38083333333333,22.218151,22.205229,21.711191,22.047989,22.59979,22.908228,22.028652,22.024708
1064,22.449166666666667,21.400679,21.437923,20.880167,21.236046,21.948225,22.07845,21.247772,21.286772
1065,22.587916666666665,22.68631,22.642635,22.143465,22.470806,23.061636,23.062159,22.318863,22.377445
1066,22.61,22.386663,22.405083,21.88838,22.23875,22.836788,22.93888,22.22699,22.289803
1067,21.65875,22.392511,22.407547,21.94523,22.324303,22.943079,22.969818,22.185461,22.235062
1068,20.37375,21.298088,21.311573,20.95545,21.266584,21.606518,21.980509,21.117289,21.194248
1069,19.390416666666667,20.122572,20.138111,19.876192,20.122143,20.454481,20.794579,19.901325,19.963339
1070,19.808333333333334,19.274378,19.286602,19.09515,19.254215,19.433283,19.809107,19.029102,19.071833
1071,21.44708333333333,19.848091,19.844582,19.656904,19.813385,20.110527,20.080008,19.616796,19.669716
1072,19.19458333333333,21.364588,21.371864,21.149488,21.374203,21.609314,21.527771,21.198824,21.345757
1073,20.027916666666663,18.425129,18.569263,18.391684,18.541332,18.590763,19.295473,18.309586,18.418388
1074,19.4925,20.038727,19.992273,19.972853,20.154734,20.435532,20.167757,19.80759,20.057732
1075,18.56125,18.931002,19.011757,18.99864,19.100586,18.99948,19.401403,18.896925,19.042389
1076,19.35625,18.16399,18.240688,18.230265,18.342888,18.551193,18.609877,18.072395,18.193064
1077,19.59083333333333,19.167974,19.177193,19.24195,19.335869,19.329487,19.301334,18.939209,19.022047
1078,19.75583333333333,19.109613,19.216648,19.196003,19.313976,19.30493,19.383951,19.17779,19.277609
1079,18.05333333333333,19.341612,19.416142,19.358734,19.50743,19.563889,19.543404,19.150915,19.303154
1080,19.08375,17.422672,17.554518,17.55249,17.60207,17.560644,17.962212,17.235426,17.344536
1081,18.692083333333333,19.038267,18.99968,19.091469,19.176613,19.223465,18.935747,18.883354,19.146662
1082,19.057916666666667,18.06226,18.19468,18.273531,18.321457,18.109644,18.380943,18.170828,18.21584
1083,19.68458333333333,18.718416,18.769897,18.834406,18.940235,19.03326,18.82017,18.54483,18.671324
1084,19.851666666666667,19.22109,19.302666,19.350977,19.454975,19.316029,19.348026,19.101952,19.370384
1085,18.918333333333333,19.377495,19.469746,19.390167,19.531986,19.570816,19.486107,19.421278,19.543083
1086,17.189583333333335,18.408865,18.482204,18.423866,18.521801,18.514458,18.616274,18.169498,18.298096
1087,17.431250000000002,16.733961,16.801228,16.880693,16.87638,16.887928,17.149124,16.709661,16.826145
1088,16.815833333333334,17.327234,17.314777,17.50466,17.481441,17.486565,17.337801,17.253918,17.391941
1089,15.669166666666667,16.419518,16.563644,16.656519,16.590042,16.497833,16.689598,16.371868,16.48479
1090,16.691666666666666,15.549102,15.626793,15.606195,15.495798,15.655739,15.693944,15.408622,15.726567
1091,17.335416666666667,16.796623,16.768105,16.911545,16.81905,16.845385,16.54662,16.709452,17.100891
1092,17.474166666666665,17.068424,17.16167,17.230448,17.176098,17.077557,16.996712,16.988298,17.056597
1093,15.077916666666669,17.192348,17.239925,17.266836,17.250645,17.284897,17.10249,16.989532,17.260431
1094,16.1225,14.560921,14.683768,14.755105,14.594563,14.72768,14.981696,14.531061,14.676971
1095,15.577083333333334,16.341564,16.186172,16.48578,16.361542,16.335749,15.831599,16.11551,16.316921
1096,16.134583333333335,15.116686,15.262821,15.471784,15.295724,15.048604,15.1471405,15.006692,14.993244
1097,16.084999999999997,16.0813,16.068432,16.265305,16.159592,16.122566,15.718402,16.055439,16.083328
1098,16.435,15.736859,15.845871,16.01366,15.876897,15.603359,15.582852,15.698468,15.892997
1099,17.09541666666667,16.272581,16.290806,16.434855,16.336359,16.17177,15.902626,16.211859,16.337593
1100,15.519583333333337,16.808584,16.83498,17.035204,16.958529,16.586737,16.461021,16.666206,16.84623
1101,17.10125,14.873967,15.061379,15.233858,15.088057,15.005325,15.0099945,15.0162,15.077972
1102,16.41625,17.221424,17.106167,17.369171,17.289963,16.889887,16.521267,17.064735,17.335596
1103,16.12125,15.728129,15.948589,16.126043,16.003113,15.662243,15.741235,15.783096,15.724032
1104,14.810833333333331,15.906677,15.957705,16.104326,16.009207,15.852082,15.6033,15.850115,15.844722
1105,14.344583333333333,14.479466,14.604833,14.741501,14.530558,14.331376,14.414621,14.432366,14.570721
1106,15.71625,14.356023,14.367064,14.561136,14.333189,14.2310915,14.005666,14.284131,14.482839
1107,18.054166666666667,15.761109,15.7408,16.039127,15.857799,15.506629,15.237492,15.544896,16.002071
1108,17.941666666666666,17.858465,17.893856,18.124113,18.078413,17.606495,17.321308,17.87548,18.066387
1109,17.27625,17.251112,17.40929,17.465122,17.464142,17.304012,17.156038,17.218481,17.220198
1110,14.760833333333332,16.806206,16.84386,16.969524,16.946404,16.893074,16.65522,16.861492,16.915043
1111,14.797083333333331,14.314631,14.397795,14.51035,14.310067,14.332193,14.460968,14.226704,14.256265
1112,15.655,15.051898,14.925446,15.151326,14.946317,14.857347,14.478041,15.034358,15.094162
1113,14.465000000000002,15.627024,15.645076,15.874737,15.687694,15.406641,15.217184,15.571253,15.657382
1114,14.474583333333332,14.15277,14.3042555,14.386077,14.1728945,14.236257,14.1246605,14.156658,14.280698
1115,14.87,14.590897,14.568124,14.7336855,14.51201,14.565799,14.211627,14.620592,14.722875
1116,11.766666666666666,14.899383,14.912567,15.062475,14.836901,14.728359,14.506777,14.806034,15.0779085
1117,13.487916666666663,11.569984,11.739715,11.685209,11.290346,11.692038,11.936546,11.446293,11.836508
1118,13.20125,14.296059,13.975767,14.306777,13.996073,13.9909935,13.250076,13.997148,14.314261
1119,12.444166666666668,13.070168,13.227206,13.36908,13.023128,12.783204,12.824264,13.081973,12.838615
1120,10.015,12.6368,12.581078,12.721927,12.382986,12.672596,12.245504,12.358956,12.420009
1121,8.604583333333332,10.144267,10.188499,10.295904,9.768884,10.085882,10.307226,9.723177,10.5583
1122,8.067083333333334,9.352891,9.164966,9.333745,8.72682,9.215815,9.0540905,8.9511795,9.765765
1123,9.775,8.991313,8.783761,8.958456,8.305532,8.535027,8.445833,8.656073,8.93866
1124,12.475833333333334,10.699206,10.349429,10.845566,10.293852,10.425105,9.728975,10.373327,10.0733185
1125,13.198333333333332,12.873368,12.653665,13.2851095,12.881816,12.4756775,12.074228,13.22826,13.368846
1126,13.137083333333337,12.869293,12.889954,13.432411,13.099561,12.971343,12.676792,12.934111,13.02809
1127,13.414166666666668,12.862106,12.746325,13.326588,12.99129,12.940498,12.621433,13.310948,13.233924
1128,14.235,13.168151,13.016615,13.697498,13.3559885,13.013662,12.791474,14.038624,13.776346
1129,13.605416666666663,13.903138,13.818688,14.521079,14.225273,13.582159,13.439053,13.864987,14.222417
1130,14.990416666666668,13.054337,13.138445,13.671153,13.355897,12.878665,12.850451,13.140402,12.90342
1131,13.845,14.819103,14.7046795,15.369886,15.129518,14.264778,14.149478,14.965047,15.291072
1132,12.957083333333337,13.011932,13.292845,13.765876,13.463316,12.950044,13.061335,13.526225,13.031707
1133,10.98,12.753372,12.79501,13.20668,12.879541,12.48946,12.421431,12.620855,12.643754
1134,10.78,10.855546,11.006719,11.256387,10.776027,10.59262,10.814442,10.790338,11.443446
1135,12.15375,11.302594,11.177013,11.472728,10.992875,10.862206,10.623959,11.4652195,11.397202
1136,12.779583333333331,12.498568,12.40693,12.868679,12.451139,12.087973,11.859028,12.364447,12.082627
1137,13.445,12.65818,12.705208,13.164702,12.80702,12.632124,12.417753,12.501904,12.663265
1138,15.64125,13.350946,13.2854,13.776019,13.46238,13.3852005,13.063263,13.651445,14.042497
1139,13.320416666666668,15.604028,15.431929,15.988677,15.775528,15.382343,15.042483,15.7909,16.126081
1140,13.444166666666666,12.591063,12.779843,13.015121,12.694881,12.948063,12.860491,12.51626,12.57726
1141,14.484166666666669,13.850047,13.497254,13.886384,13.585921,13.562343,13.075299,13.846253,13.78399
1142,15.057083333333331,14.496423,14.386598,14.821759,14.528721,14.145378,13.9275465,14.56267,14.383362
1143,14.300833333333337,15.014296,14.941832,15.179327,14.964946,14.754141,14.438536,15.086612,15.038685
1144,11.132916666666668,14.120906,14.120336,14.286537,14.037339,14.005085,13.764469,14.237471,14.092108
1145,10.313333333333334,11.102647,11.173494,11.171573,10.722565,11.141685,11.230463,11.295386,11.441741
1146,10.620833333333335,11.277197,10.9910145,11.022189,10.517114,10.7903385,10.412594,11.011224,11.334821
1147,11.990416666666668,11.308692,11.203756,11.361495,10.8540125,10.913614,10.557029,11.21892,11.104722
1148,11.411666666666669,12.573374,12.462926,12.693574,12.283432,12.346153,11.831953,12.616083,12.594462
1149,10.555833333333334,11.478115,11.626652,11.723286,11.288584,11.523646,11.287001,11.433818,11.770812
1150,11.154166666666669,11.059836,10.97701,11.018007,10.533431,11.052236,10.629403,10.599687,11.059686
1151,10.837083333333332,11.887624,11.661498,11.838888,11.363639,11.489593,11.078125,11.746886,11.651667
1152,10.3325,11.3147335,11.215853,11.310472,10.821552,11.015537,10.725536,10.797824,11.261839
1153,10.182916666666666,10.936065,10.705139,10.877917,10.368081,10.674288,10.3131075,10.658867,10.729902
1154,12.47375,10.715255,10.484507,10.822651,10.2917595,10.486824,10.140837,10.687994,11.008044
1155,13.342916666666667,13.110318,12.709988,13.2992735,12.886335,12.634498,12.096996,12.856726,13.629595
1156,10.860416666666666,13.173887,13.170622,13.631467,13.288913,12.959896,12.770065,13.286715,13.015518
1157,11.554583333333332,10.605304,10.656657,10.898612,10.429746,10.910576,10.715784,10.232613,10.711538
1158,10.791666666666666,12.162374,11.75211,12.313386,11.862746,11.703374,11.237458,12.151967,12.572276
1159,10.32875,10.745827,10.798008,11.198653,10.685951,10.57054,10.497871,11.057167,10.490387
1160,9.837083333333334,10.652009,10.507667,10.928171,10.421069,10.516782,10.172322,10.483557,10.451835
1161,10.140416666666669,10.100182,10.070732,10.463013,9.907625,9.9271345,9.771309,10.082128,10.151344
1162,10.2575,10.600302,10.468145,10.882288,10.349642,10.424171,10.034168,10.853374,10.862705
1163,11.43125,10.622183,10.563347,10.90019,10.3728895,10.405829,10.145811,10.469111,10.367
1164,12.49,11.936372,11.692643,12.1404505,11.680752,11.635344,11.196274,11.737593,11.6480875
1165,14.7475,12.576879,12.468294,12.980347,12.580755,12.347045,12.078289,12.703708,13.051508
1166,14.240416666666668,14.863845,14.596111,15.193211,14.920093,14.398089,14.066433,14.578059,15.139935
1167,13.052083333333334,13.575211,13.655908,14.130984,13.852703,13.641819,13.495249,13.731501,13.238791
1168,12.450416666666667,12.755331,12.671385,13.153215,12.821549,12.763857,12.518642,13.026488,12.883287
1169,11.247083333333334,12.521654,12.390276,12.796212,12.398354,12.125713,11.996595,12.53711,12.632642
1170,11.686666666666667,11.39571,11.335991,11.609117,11.144463,11.044217,10.990883,11.232088,11.468549
1171,13.082916666666668,12.144687,11.951724,12.337169,11.902544,11.690873,11.413109,12.305952,12.103334
1172,14.342083333333331,13.269044,13.200642,13.642775,13.280387,12.892465,12.683399,13.49665,13.613366
1173,16.07125,14.273142,14.2997055,14.644091,14.373349,14.057684,13.819545,14.284344,14.422697
1174,13.746666666666668,16.078112,16.015903,16.234774,16.063755,15.657683,15.405302,16.063715,16.277302
1175,12.930416666666666,13.187019,13.38471,13.414513,13.127738,13.367135,13.241487,13.359163,13.139379
1176,12.245416666666666,13.339432,13.122412,13.2657385,12.937909,12.983824,12.625177,13.257584,13.083381
1177,13.347499999999998,12.455329,12.427514,12.601418,12.187441,12.134461,11.977024,12.328473,12.454022
1178,15.411666666666669,13.884185,13.723899,13.905877,13.576026,13.46262,13.035816,13.871489,13.811453
1179,15.482916666666666,15.692311,15.614254,15.77262,15.550588,15.186321,14.887538,15.744569,15.712085
1180,16.2025,15.2504225,15.337705,15.365735,15.188901,15.159088,14.871198,15.321953,15.30299
1181,16.832916666666666,16.304571,16.195019,16.243637,16.108603,16.02569,15.637311,16.3615,16.565834
1182,16.254583333333333,16.786346,16.740444,16.739502,16.622559,16.458942,16.168358,16.83433,16.913761
1183,16.775000000000002,16.150934,16.123096,16.033232,15.911591,15.944171,15.619926,16.22534,16.021029
1184,16.017083333333336,16.87265,16.7706,16.792795,16.691908,16.599005,16.230648,17.025223,16.93454
1185,15.122916666666669,15.761183,15.8688345,15.829259,15.684522,15.718684,15.465035,16.00346,15.873644
1186,16.252083333333335,15.284971,15.287339,15.12454,14.947374,15.121485,14.768595,15.367751,15.243693
1187,17.03375,16.604303,16.557014,16.496048,16.34933,16.36581,15.930694,16.605694,16.658703
1188,16.424166666666668,17.067652,17.153244,16.966475,16.87569,16.898832,16.581753,17.173801,17.241102
1189,17.752083333333335,16.358475,16.463318,16.190334,16.100395,16.365677,16.018894,16.612734,16.441696
1190,18.985,18.105314,18.0219,17.808977,17.76749,17.894682,17.416775,18.125835,18.203236
1191,16.99125,19.000193,19.016346,18.720297,18.74162,18.817942,18.476551,19.038034,19.029652
1192,17.1975,16.698633,16.79842,16.414232,16.379478,16.797844,16.54669,16.842348,16.541748
1193,16.215416666666666,17.611736,17.476444,17.252726,17.210804,17.475058,16.999857,17.498653,17.46497
1194,17.659166666666668,16.232111,16.2524,16.02642,15.895201,16.054953,15.950537,16.300999,16.160542
1195,18.96708333333333,18.056547,17.958313,17.825819,17.794449,18.094208,17.523949,18.12916,18.105053
1196,20.1625,18.905607,18.96298,18.739275,18.761322,18.847816,18.625078,18.9387,18.983501
1197,19.122916666666665,20.120308,20.139465,19.748348,19.881758,20.233955,19.788235,20.366013,20.398994
1198,18.31125,18.754293,18.85371,18.445566,18.538563,18.92766,18.713167,18.904001,18.786303
1199,19.5825,18.432571,18.407488,17.987482,18.042856,18.449585,18.12542,18.41499,18.249231
1200,20.51875,19.951965,19.86215,19.469828,19.543102,19.814068,19.451818,19.878899,19.983442
1201,21.4025,20.519714,20.543392,20.06004,20.206312,20.50549,20.257103,20.671602,20.526428
1202,21.672083333333333,21.338488,21.343079,20.832972,21.058933,21.515373,21.176521,21.258772,21.188078
1203,21.67,21.361956,21.43297,20.957922,21.203716,21.676783,21.440834,21.526684,21.473103
1204,21.73583333333333,21.531437,21.572084,20.978743,21.24174,21.806423,21.537333,21.60508,21.491226
1205,21.734166666666667,21.72309,21.748283,21.093962,21.357273,21.926468,21.699844,21.60671,21.606268
1206,24.655833333333334,21.82071,21.823069,21.095842,21.365276,21.988304,21.777689,21.82867,21.81621
1207,25.70125,25.12657,25.029232,24.152702,24.52948,24.504837,24.690607,24.98542,25.01297
1208,26.705416666666668,25.422281,25.428442,24.428381,24.906874,25.822767,25.504864,25.275038,25.209402
1209,26.199583333333333,26.653591,26.614325,25.455534,26.052141,26.79672,26.713242,26.44911,26.367073
1210,26.100416666666668,25.900042,25.83546,24.796051,25.362926,26.626574,26.271568,25.80249,25.66733
1211,27.378750000000004,26.113222,26.078526,24.988062,25.586342,26.691956,26.509876,25.94985,25.86643
1212,28.3725,27.635141,27.558376,26.310549,26.927553,27.923414,27.874567,27.256832,27.329353
1213,29.0475,28.468151,28.42986,26.987661,27.68987,28.864988,28.833996,28.299013,28.18696
1214,28.07291666666667,29.183023,29.141495,27.54995,28.32188,29.59209,29.622606,28.847414,28.785742
1215,26.862916666666667,28.122894,28.029354,26.520033,27.276146,28.784391,28.701458,27.844418,27.631355
1216,27.660833333333336,27.139189,27.056936,25.683523,26.401583,27.845291,27.83394,26.90129,26.72953
1217,27.52583333333334,28.287752,28.208065,26.747868,27.451666,28.831923,28.86453,28.062756,27.92872
1218,26.714583333333334,27.932653,27.818682,26.286684,27.005089,28.573072,28.510735,27.609184,27.455872
1219,25.95833333333333,27.114422,27.015476,25.591753,26.313948,27.864899,27.84278,26.879135,26.643375
1220,27.64125,26.402208,26.302238,25.028728,25.68088,27.20147,27.185453,26.254011,25.967415
1221,29.292500000000008,28.489122,28.378994,26.852467,27.545113,28.908436,28.953497,28.172539,28.00273
1222,29.51916666666667,29.817226,29.700481,27.971262,28.742756,30.21004,30.206017,29.460081,29.285028
1223,30.092083333333346,29.848902,29.710629,27.905684,28.764189,30.299715,30.28227,29.472708,29.26332
