,2,3,4,5
BiLSTM,0.3219637958241569,1.0714033924598239,3.6218741114632587,10.365269787360308
BiLSTM-std,0.0350790294714316,0.014210199300689546,0.5085050523885553,0.5918098489728498
LSTM,0.2559684736592952,1.0642060199036816,2.910554123486576,10.22099215021467
LSTM-std,0.019409650961677117,0.008013051113611483,0.3371807436955186,0.2957902500141131
GRU,0.25698533303555887,1.061116670680211,3.010164514188781,10.222610137494984
GRU-std,0.03905529015449917,0.005445250562610498,0.4208938056973142,0.19709471266302983
CNN,0.20626680728847946,1.0777826310877632,2.670410218923556,10.294816727092106
CNN-std,0.042704024777035166,0.005387708951701845,0.7692333551236525,0.3539654244180298
RNN,0.25787867643399165,1.0661772937031753,2.927737179409247,10.191544547953919
RNN-std,0.02708762205395162,0.005549298726984968,0.34501607133730644,0.20074980145273966
