,2,3,4,5
BiLSTM,0.4530427195939063,0.8394675329026755,13.32046373995399,22.979683853586675
BiLSTM-std,0.01000737202730487,0.0014608248966412824,0.2717685186211405,0.061596885716983255
LSTM,0.46776546899807625,0.8415040285934167,13.685154849716449,23.13070115406628
LSTM-std,0.013052015720562285,0.00233262093836698,0.376686733937955,0.14086508835138886
GRU,0.4778602161246045,0.8393667052243388,14.058814779633062,23.131624403411884
GRU-std,0.018048999869013326,0.001278575816102551,0.44082591163591395,0.13546928131640346
CNN,0.4520758924082515,0.8409463062470482,13.39122426126372,23.177811194737554
CNN-std,0.007615081447874882,0.00173346814900059,0.2509858387550202,0.17906704146627267
RNN,0.5387545400339262,0.8591186615007261,15.164664500149735,23.84434881592914
RNN-std,0.04255272623987748,0.013074067670645234,0.9057151562953207,0.3188612913384285
