,2,3,4,5
BiLSTM,0.00558835655239484,0.01068436896308048,34.146578598694454,15.394233294614036
BiLSTM-std,0.0009253594465587813,0.0005848198260102787,78.26606245434473,2.721169039012224
LSTM,0.00495930137207098,0.00984140123067337,5.82015711760945,15.264349259530045
LSTM-std,0.0009623354635941539,0.0004820625766928355,2.5336843235122557,8.309627060593712
GRU,0.005675555247584301,0.01013771848450266,6.835252254418185,15.164704250243034
GRU-std,0.0008330189931806525,0.0006801562327019115,1.7565303601244593,5.469115826277256
CNN,0.014766943364280652,0.01773616603725769,472.2297888180916,100.01986535993541
CNN-std,0.003969950319403899,0.0028690747341616183,1285.4385824301612,207.4897378804557
RNN,0.00587748770649388,0.010579824130278071,8.233960262349346,14.525515355642224
RNN-std,0.0012249325658515674,0.0009891770645088934,4.748238930333762,4.54148326002924
