,LSTM,LSTM,LSTM,LSTM,LSTM,LSTM,CNN,CNN,CNN,CNN,CNN,CNN,BiLSTM,BiLSTM,BiLSTM,BiLSTM,BiLSTM,BiLSTM,GRU,GRU,GRU,GRU,GRU,GRU,RNN,RNN,RNN,RNN,RNN,RNN
,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE
,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve,mean,best,improve
0,387.29493019230625,366.71452999566344,5.31388319140245,12.779679456574312,11.201405836703108,1.5782736198712044,583.0225627038373,573.7182585905763,1.5958737634631392,19.914072731596704,19.671314298424956,0.2427584331717476,413.4086848209972,379.6087904734516,8.175903310347895,18.214878505117408,12.1680787655768,6.046799739540608,388.42184803876785,373.00234994129323,3.9697813537861593,14.16233088032154,11.14960629361519,3.0127245867063515,390.1082372245163,369.0041579756311,6.965773215310948,16.945160424710252,11.121253104700672,5.795554131095063
