,Test,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,LSTM (1)-Tred_Pred,LSTM (1)-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
0,8.0,9.149867057800293,8.370401264118643,9.412118911743164,8.427438479749924,9.014838218688965,8.16106136838883,9.228134155273438,8.1527454551201,9.033556938171387,7.8426621546220305
1,7.14,7.40146541595459,7.144913601000047,7.696990489959717,7.188079637667159,7.412941932678223,7.162491323660967,7.585484027862549,7.209561087311091,7.245303153991699,7.565562989006324
2,5.98,6.943177700042725,6.338251953107967,7.1879472732543945,6.321673642422621,6.933149814605713,6.4910782426231055,7.02913236618042,6.54543800641866,6.709126949310303,7.238894612334397
3,5.68,6.039466857910156,5.93662726137354,5.993716239929199,5.965880029518191,5.688721656799316,6.31561971426026,5.814093112945557,6.072080248492267,5.672395706176758,5.961950671998849
4,6.47,5.7895331382751465,6.627358754523684,5.930829048156738,6.734758831943594,5.695809841156006,7.140055543786072,5.764594078063965,6.955918056907373,5.533088684082031,6.54368756817649
5,8.24,6.779732704162598,7.9378378340527735,6.846297740936279,7.893016989973654,6.680319786071777,8.033923550700107,6.685940742492676,8.003001411782371,6.551987648010254,7.809329541804785
6,7.93,8.4551420211792,7.9880922921079645,8.611618041992188,7.876024435618354,8.457083702087402,7.942067920380431,8.36963939666748,8.172347040814037,8.33515453338623,7.796710470943918
7,6.53,7.7003278732299805,7.075461167652156,7.787338733673096,7.02183821907794,7.537197589874268,6.666562977222396,7.668747901916504,6.926742905513548,7.2822418212890625,6.637860511455372
8,6.96,6.32208776473999,7.135215352573885,6.421839714050293,7.17613702099572,6.128093719482422,7.080435588320716,6.238704681396484,7.195392262371544,6.123840808868408,6.903355674460297
9,8.12,7.3467302322387695,7.9050439423835765,7.247214317321777,8.146174655022936,7.195468425750732,7.9690154585421675,7.278611660003662,8.20666986048545,7.017583847045898,8.14698067045764
10,8.0,8.224663734436035,7.929338456319784,8.331604957580566,7.921474617488952,8.383955955505371,7.635813320185737,8.359007835388184,7.857177317425983,8.035760879516602,8.027133529237279
11,6.59,7.795448303222656,7.243955943466694,7.937327861785889,7.065560993441218,7.688169002532959,6.789761376583307,7.809171676635742,7.000465143590624,7.549986839294434,7.201445352783896
12,7.93,6.334472179412842,6.954619066125487,6.468753337860107,7.408959342754466,6.082254886627197,6.89949221944937,6.221772193908691,6.935832924960515,6.07790470123291,6.958052234176908
13,10.74,8.431032180786133,9.218910352327931,8.358529090881348,9.312450198311943,8.21930980682373,9.070802118526059,8.233600616455078,9.057643351249116,8.207578659057617,8.657052406879965
14,10.38,10.778810501098633,9.778787706800333,11.067922592163086,10.132577661424415,10.79771614074707,9.538509892207665,10.66672134399414,9.681213602838584,10.642312049865723,9.362134041061426
15,9.64,9.857178688049316,9.473379870665577,10.02402114868164,9.462325870977363,9.629842758178711,9.06239637084672,9.883193969726562,9.2051757126229,9.751297950744629,9.553945167590776
16,9.09,9.522355079650879,9.164251010580896,9.530111312866211,9.000241329955998,9.498993873596191,9.127399912892498,9.439184188842773,8.881075281895718,9.361405372619629,9.549703632905306
17,10.99,9.034431457519531,9.890673193839897,9.014028549194336,9.894464411614871,8.813408851623535,9.976411037949429,8.956917762756348,9.656757068621197,8.78111743927002,10.286062998884224
18,11.66,11.472843170166016,11.001549295164393,11.300312995910645,11.271022227532947,11.499968528747559,10.970029368525402,11.335979461669922,11.048155692118549,11.576370239257812,11.684168573147904
19,8.97,11.264206886291504,10.216166205506488,11.554367065429688,10.535375841897872,11.295822143554688,10.311789442253732,11.51126480102539,10.365333277569718,11.2527437210083,11.99725939615844
20,7.51,8.313169479370117,7.579383170585608,8.470548629760742,7.722245231669118,8.253341674804688,7.755138430870619,8.380223274230957,7.667940271919811,8.074994087219238,7.369353903714405
21,7.93,7.456018924713135,8.088168557754646,7.566792011260986,8.203720773246902,7.3429155349731445,8.27399785608898,7.431671619415283,8.296674836175354,7.365206241607666,8.099015874682163
22,8.24,8.371551513671875,8.531327008943771,8.233789443969727,8.428224683657112,8.34295654296875,8.270393827074905,8.270760536193848,8.534093281158071,8.081125259399414,9.122888269622033
23,7.63,8.325364112854004,8.267535582921202,8.388815879821777,7.91224479603206,8.449735641479492,7.835091410680462,8.387883186340332,7.969846726058641,8.125049591064453,8.254489918773562
24,7.69,7.869867324829102,8.013417806674024,7.6869049072265625,7.993130249743553,7.520333290100098,7.837063620702291,7.563961505889893,7.993307049181906,7.355833053588867,7.714877859459459
25,7.2,8.028975486755371,7.545961184363803,7.9029927253723145,7.463153239740145,7.8400187492370605,7.323525862688864,7.9082746505737305,7.469117854251067,7.762699604034424,7.729836897941597
26,9.46,7.115801811218262,8.168484161450639,7.194429874420166,8.307168968985296,7.034687042236328,7.867044949689789,7.123199462890625,8.201521681246634,6.882796287536621,8.466442937305674
27,10.93,10.233762741088867,10.57705661621089,9.981257438659668,10.709746728066202,10.155863761901855,10.304269456613278,10.140192985534668,10.73367868902346,10.092206001281738,10.44978307265843
28,10.86,10.882410049438477,10.780876322763227,10.975095748901367,10.570133638603021,10.776884078979492,10.627973903816592,10.95009708404541,10.773613483964526,10.747091293334961,10.360039342392174
29,10.74,10.889981269836426,10.898120251244318,10.650147438049316,10.450383846065588,10.652315139770508,10.635567150887374,10.670369148254395,10.81340197833151,10.78895378112793,11.136748958783288
30,10.86,10.678207397460938,10.89067049398036,10.631834983825684,10.607925143058626,10.542444229125977,10.710069327549196,10.649781227111816,10.710483615546234,10.61864185333252,11.293009413026528
31,10.01,11.012760162353516,10.178708691642722,10.801858901977539,9.86217057121654,10.813410758972168,10.064104981261373,10.836734771728516,10.01832864128975,10.97529411315918,10.73058618788878
32,9.64,9.5075101852417,9.415765456657581,9.792312622070312,9.612130940346928,9.662744522094727,9.576571799197435,9.774580955505371,9.467011872898112,9.417932510375977,9.345719277910971
33,9.4,9.763680458068848,9.429626313840567,9.693437576293945,9.433916904100391,9.697236061096191,9.444754771822014,9.65583324432373,9.31430934389704,9.691912651062012,9.460907240667535
34,8.91,9.455704689025879,9.02746936146601,9.435721397399902,8.993981603408496,9.333064079284668,8.903804114442735,9.409225463867188,8.944127718681631,9.22898006439209,9.712359844353635
35,8.18,8.902403831481934,8.491466569812786,8.907325744628906,8.37486515901587,8.897146224975586,8.257039118357106,8.885717391967773,8.344092474805073,8.693013191223145,9.318086567062316
36,6.47,8.238381385803223,7.604235848766657,8.21596908569336,7.495803207059509,8.151812553405762,7.457403783790955,8.140904426574707,7.532880731679942,7.914279937744141,8.537661202226618
37,6.04,6.4611358642578125,6.708771506878246,6.417392253875732,6.57228828135185,6.164201736450195,6.5646981126193396,6.235287189483643,6.573119339718995,6.061818599700928,7.5899505257209805
38,5.68,6.362160682678223,6.417001975173833,6.3290534019470215,6.212462976381203,6.106996059417725,6.313423997053394,6.291804790496826,6.229380138069712,6.098577499389648,6.283878951607295
39,5.68,5.878596305847168,6.288663848992926,5.885472297668457,6.171072542709445,5.708809852600098,6.34457634168057,5.780087471008301,6.203565812227755,5.563176155090332,6.243439783423903
40,9.58,5.923017978668213,7.034942190981052,5.954291343688965,7.170935955432596,5.781651973724365,7.196262359913818,5.928747177124023,7.1068816770574434,5.749485015869141,7.060768020207013
