,0,1,2,3,4,5
0,0,BiLSTM,10.139262580791156,19.697700016023887,13.322632117777166,25.982233128383147
1,0,LSTM,10.637626903611848,19.25109530605601,13.058973181547254,26.556839335434248
2,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,13.681507956160553,21.539328818463595,15.308952941571057,30.70549855825284
3,0,CNN,6.13108125059734,18.842802754319706,17.00166993390418,36.739662990589565
4,0,RNN,8.966318060428684,20.1483899332503,13.861483717913215,27.303757362743454
5,1,BiLSTM,12.224258643370622,20.098820058636512,14.406452986876372,26.63796255831496
6,1,LSTM,14.958933355836912,21.780465674620633,13.57305552277787,29.789300324278145
7,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,7.1758959919241345,18.592475378354152,12.79663102944145,26.033981813033886
8,1,CNN,6.13244265149817,18.89376118919477,19.379967303104987,37.336107308091854
9,1,RNN,12.99114070621972,20.211301478171972,17.700195169137935,28.31828678509384
10,2,BiLSTM,9.990801021694192,19.459118941661394,13.897643225464131,26.173131529152087
11,2,LSTM,10.68471669031511,19.238519061009875,13.428357053962658,25.57924649276192
12,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,13.65822601429022,20.813555608877866,15.149618073327062,25.96389379979837
13,2,CNN,6.1586185745809585,18.863991023946607,15.751298133239949,38.41249615675038
14,2,RNN,10.80486842690963,20.215901956757655,14.821759505589158,31.57964063436276
15,3,BiLSTM,9.836954557134431,19.441377879877944,13.759085170478718,26.570089874397517
16,3,LSTM,14.777249466708641,21.79308102370161,14.94346188277412,27.589270292471106
17,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,8.269053446348343,18.670287982450976,12.295137254300485,25.896076033710973
18,3,CNN,6.040319128514564,18.83812374419081,16.402311654872054,37.62579321509873
19,3,RNN,9.685118449085108,20.44702020450439,14.664118951514618,28.94366631245199
20,4,BiLSTM,13.025995774039997,21.06658904385961,19.412329293412977,26.455584663390912
21,4,LSTM,13.222675130936459,21.131748766357976,13.540477195964181,27.705687008902437
22,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,12.20135038331604,19.476228505706576,13.384961560283129,26.57614960165179
23,4,CNN,6.08606068893927,18.89476493505227,14.3183913642833,37.68034955629208
24,4,RNN,8.032560893781225,19.211079124806965,12.526494290321569,25.37893810173938
25,5,BiLSTM,9.458783175308097,19.24078324305847,12.066388131904842,32.51141052544245
26,5,LSTM,9.65590627186195,19.610265930151552,14.778080996814463,38.18091597458143
27,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,14.092828293813142,20.372963975252667,14.879913041983533,27.139528476674347
28,5,CNN,6.134520484903407,18.898919561851425,17.201355560752468,37.681637491043276
29,5,RNN,11.335326365085756,21.693582537570897,16.525594045660334,28.352091080610226
30,6,BiLSTM,10.507238228654153,19.316327411831455,12.894758892976144,26.17617017254344
31,6,LSTM,10.947150481608535,19.80491815392122,13.876429331710929,26.123973640633576
32,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,13.337313304240297,20.497789489983024,15.904506071985717,26.769955796524485
33,6,CNN,6.102640715499389,18.900614190325467,17.515641082006915,37.707277449783724
34,6,RNN,10.324505422235475,19.796581709533932,14.54727323136196,27.859014355206423
35,7,BiLSTM,10.815720841583518,20.300944972899224,16.420318814102696,28.711840671239635
36,7,LSTM,16.50073181989706,23.272856339659004,15.423990693301764,28.92477618311216
37,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,13.966106429513957,20.663706215188025,16.777949826938826,26.639955606263683
38,7,CNN,6.1405752996383764,18.85813265581044,15.730858345742094,42.87971670157108
39,7,RNN,9.745960444695386,20.998009836974227,14.310847661206619,29.927185740485378
40,8,BiLSTM,11.605831910747943,19.58738930313261,53.7303439889626,26.48401035236807
41,8,LSTM,8.669515666210202,19.22793596524981,15.478087546624025,32.304561220019785
42,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,6.476012739174648,18.63917630820338,10.640897233675716,25.977713899772585
43,8,CNN,6.183730951667313,18.931193846195786,20.343839972002662,37.65348541548871
44,8,RNN,15.197576570438898,21.832913622835658,16.325455894708885,26.321138734226295
45,9,BiLSTM,8.794184505693888,19.058965456120085,11.077012838025166,33.969143084048454
46,9,LSTM,11.261073877390984,19.9248600859055,14.021420567088267,31.05468578374031
47,<keras.engine.sequential.Sequential object at 0x7fc0af81d550>,GRU,11.028296281282335,20.680292539321265,12.970316145022364,32.259657224932994
48,9,CNN,6.00127997803856,18.828115662326994,16.694094101138987,44.480160711324494
49,9,RNN,14.059080752885272,21.373933505815746,16.82970244602781,27.55869995351453
