,0,1,2,3,4,5
0,0,BiLSTM,2.499155239327412,5.644842468486598,7.5081104932223015,15.038389975138388
1,0,LSTM,3.0219649904296553,5.656172176314856,9.431842251296171,14.60884185402307
2,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.0344097660630176,5.673625405254203,5.857858785935799,16.74802110591173
3,0,CNN,1.047303754824152,5.6769973923333135,3.859471739939149,15.829560127713647
4,0,RNN,3.5941945931683503,5.71228729352552,13.277582966653254,14.773577006448738
5,1,BiLSTM,1.9481852899334875,5.6220262185578616,4.67354618977514,14.777154533291409
6,1,LSTM,3.149796697621443,5.88023250805056,9.157034864142041,15.040235425160311
7,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,4.632393970263166,5.759522018115575,14.56275391522416,15.434656882704765
8,1,CNN,0.9989132002058752,5.692465206657877,3.599153177572544,63.18328652788049
9,1,RNN,1.6726867069686995,5.716232087360507,4.613999147116726,15.208947903630596
10,2,BiLSTM,2.2275484954195637,5.645572309545997,5.904648504314745,14.882252993580632
11,2,LSTM,2.512375759040821,5.743898132970474,7.132606936008165,15.037671519228702
12,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.1499541203141317,5.669983428178258,6.189232677523053,16.763617892086955
13,2,CNN,1.0105174638977867,5.745623295625976,4.043782834519587,16.181132269557168
14,2,RNN,2.7378853403480017,5.714301754192885,8.523797250758113,15.246970114028544
15,3,BiLSTM,1.3542028018241086,5.661823134281127,3.888248895238221,14.982956109338883
16,3,LSTM,2.7415853398372136,5.671168137354489,8.352022754096804,23.360524709099582
17,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.9428042043756366,5.66606607213366,8.243210600146096,15.403735148382145
18,3,CNN,1.068184849301868,5.699790750193231,3.946321353387066,15.819016230890522
19,3,RNN,2.977329087051974,5.797744035669697,8.897711149560498,15.693259773194828
20,4,BiLSTM,1.6610324124976463,5.670320263472801,5.895979485281935,15.48533709723544
21,4,LSTM,2.6128512736289267,5.760097435061619,7.143894715652601,15.014652164833267
22,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.3845117896707473,5.675446270582744,6.9053413334918305,16.61223915933219
23,4,CNN,1.1350591219502104,5.814128697537624,5.490495167903253,16.21138034639894
24,4,RNN,2.3047868423559623,5.700823107391734,7.074733671798534,15.05436108773025
25,5,BiLSTM,2.8248751153616727,5.669119453305206,9.167161232082467,15.163030750210782
26,5,LSTM,3.0862997626066946,6.035950145826595,8.222081021256937,16.632454013651614
27,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,3.838437396934432,5.987246302736397,11.205532104795072,16.2914869288828
28,5,CNN,2.4632072728083814,5.782087601277049,10.852848131747646,16.02954968474479
29,5,RNN,2.104713194178888,5.74350401545954,6.879614371489855,16.034937452827926
30,6,BiLSTM,2.584272175096619,5.621781869576628,7.587062093591958,14.829413788469129
31,6,LSTM,2.798142108179591,5.729142546100375,8.726124406655893,15.092421800917421
32,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,3.035396120477403,5.771663230751773,8.131278798714996,14.922883404672577
33,6,CNN,1.0184391549536695,5.759030495753457,3.92305266021072,16.205762305421693
34,6,RNN,2.117462439251216,5.849948941472308,6.0247022749634525,15.982294615022818
35,7,BiLSTM,1.5320855631951709,5.67507922484324,5.886408028684794,15.787531330345287
36,7,LSTM,2.5318918817311586,5.701834661200543,7.960701197399644,15.533332176474335
37,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,1.9595652732119357,5.683722529727611,5.160428076926422,17.071855622360697
38,7,CNN,0.9062057373789412,5.710708444995407,3.0149161676990697,15.883548301757694
39,7,RNN,2.7684698282007933,5.755599371918471,8.715244409282139,15.045703967866295
40,8,BiLSTM,2.0951606702316847,5.625701711228861,6.081454464037506,15.11249544622045
41,8,LSTM,2.207265063336169,5.771566484093628,6.16833183735185,17.42204305269795
42,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.615093780809965,5.849836402426385,6.685797755329519,15.17044505247131
43,8,CNN,0.8755933470504782,5.759355069115808,2.9235496438448707,15.7159334535624
44,8,RNN,3.327415930109651,5.723429214723758,10.010306371403384,14.985832046315018
45,9,BiLSTM,2.712729157092446,5.625945728752435,7.200439203650554,16.22740977545365
46,9,LSTM,3.390248694188711,5.7610979247496585,10.869474936633749,15.469829349228464
47,<keras.engine.sequential.Sequential object at 0x7f4e1aa82ad0>,GRU,2.2355236002403944,5.684498409526041,6.807847302344676,16.794850040793104
48,9,CNN,1.1035695947370638,5.800630239588922,5.7937066059288,16.387222760387335
49,9,RNN,2.6708856662331293,5.7295965846503885,8.582628627398982,14.915696392564124
