iter	RMSE
0	42.36994509
1	40.20934125
2	38.23408511
3	36.39631606
4	34.75003659
5	33.2207464
6	31.85567186
7	30.57536015
8	29.43263694
9	28.38039527
10	27.41731062
11	26.52153937
12	25.73893803
13	25.01499061
14	24.38247296
15	23.76442808
16	23.28615933
17	22.80235756
18	22.39950176
19	22.00688068
20	21.63102744
21	21.3139035
22	21.04113585
23	20.79511622
24	20.56220285
25	20.34107396
26	20.14523619
27	19.98473152
28	19.80960788
29	19.68937682
30	19.55971344
31	19.43343142
32	19.32863089
33	19.2318026
34	19.13323374
35	19.0281021
36	18.93702298
37	18.86064368
38	18.78078147
39	18.72033301
40	18.64331475
41	18.57252912
42	18.50451339
43	18.45710391
44	18.40186007
45	18.34528825
46	18.28702631
47	18.23011194
48	18.19426466
49	18.12396037
50	18.0711619
51	18.00817844
52	17.95593923
53	17.90637952
54	17.86982244
55	17.82646088
56	17.77120188
57	17.74725167
58	17.70456496
59	17.67123265
60	17.64146486
61	17.59592683
62	17.55332609
63	17.52457667
64	17.48562988
65	17.46597459
66	17.42778234
67	17.38840194
68	17.35845314
69	17.3260313
70	17.31234882
71	17.29036091
72	17.26129082
73	17.24551949
74	17.21042264
75	17.18957799
76	17.16219026
77	17.12969422
78	17.10378184
79	17.08326152
80	17.04745025
81	17.0323257
82	16.98813835
83	16.95184503
84	16.93125655
85	16.89948723
86	16.88073175
87	16.84819526
88	16.83700154
89	16.81616784
90	16.80283167
91	16.75869591
92	16.73552567
93	16.70229244
94	16.67247251
95	16.65401312
96	16.61511576
97	16.59371478
98	16.57406236
99	16.54356534
100	16.52900528
101	16.4986691
102	16.48044619
103	16.44333956
104	16.43450361
105	16.40595356
106	16.3968107
107	16.38226512
108	16.36123863
109	16.33879283
110	16.31338429
111	16.28999671
112	16.26917621
113	16.25465342
114	16.23252921
115	16.20291581
116	16.18299581
117	16.16359143
118	16.1502598
119	16.13860109
120	16.11708751
121	16.10421322
122	16.07557022
123	16.06387079
124	16.0349368
125	16.01917007
126	16.00967972
127	15.98772328
128	15.97392269
129	15.9581898
130	15.94123685
131	15.91968714
132	15.91031523
133	15.89785239
134	15.88144373
135	15.86120949
136	15.84984315
137	15.82327231
138	15.80057835
139	15.78056613
140	15.75579643
141	15.74186996
142	15.73340968
143	15.70465114
144	15.68186069
145	15.66802661
146	15.64842354
147	15.62952116
148	15.60190215
149	15.59078434
150	15.57264209
151	15.546428
152	15.51487451
153	15.49835706
154	15.48172517
155	15.46298429
156	15.45280821
157	15.43202171
158	15.41476809
159	15.39701222
160	15.37921149
161	15.36172524
162	15.35258741
163	15.34438223
164	15.32245677
165	15.30113904
166	15.29357967
167	15.27414143
168	15.26196205
169	15.24151825
170	15.22320995
171	15.20753776
172	15.19183528
173	15.1771372
174	15.17024034
175	15.14553985
176	15.13104333
177	15.10943308
178	15.09338202
179	15.07678438
180	15.0590871
181	15.05002025
182	15.03198511
183	14.98826496
184	14.96583287
185	14.95920505
186	14.94690996
187	14.93004028
188	14.9203022
189	14.90340339
190	14.8929957
191	14.88574468
192	14.8642691
193	14.85483062
194	14.84028716
195	14.8229803
196	14.80801767
197	14.80101638
198	14.78720352
199	14.7663165
200	14.76103209
201	14.747027
202	14.73089222
203	14.71682689
204	14.69802373
205	14.68478184
206	14.67422176
207	14.66009256
208	14.64759898
209	14.63845189
210	14.63242115
211	14.61929025
212	14.60612469
213	14.59426585
214	14.58210158
215	14.56641137
216	14.54554482
217	14.54015797
218	14.52309439
219	14.50773506
220	14.50031785
221	14.48635474
222	14.47501298
223	14.4634891
224	14.45492493
225	14.44461319
226	14.42649565
227	14.40981503
228	14.39133437
229	14.3849105
230	14.37753237
231	14.36350999
232	14.35292219
233	14.34010604
234	14.33310769
235	14.31982084
236	14.31002326
237	14.30278404
238	14.29733855
239	14.2846956
240	14.27600257
241	14.26953755
242	14.25678578
243	14.24597357
244	14.23985276
245	14.2294403
246	14.21968094
247	14.21570186
248	14.21180947
249	14.20074046
250	14.19350959
251	14.17897146
252	14.17348108
253	14.16714218
254	14.16004142
255	14.14207776
256	14.13580523
257	14.12919371
258	14.1178243
259	14.10447226
260	14.09316264
261	14.08937562
262	14.07502479
263	14.06627321
264	14.05197935
265	14.04136783
266	14.02845414
267	14.01733102
268	14.00410169
269	13.99658302
270	13.9850328
271	13.97129975
272	13.96348189
273	13.95482611
274	13.94953134
275	13.94329736
276	13.93716801
277	13.92912812
278	13.92486404
279	13.91829335
280	13.90967996
281	13.90018505
282	13.88975688
283	13.8727428
284	13.85972511
285	13.84899069
286	13.83582756
287	13.82836897
288	13.82410368
289	13.81882882
290	13.80742358
291	13.79771697
292	13.78618014
293	13.77370357
294	13.76453945
295	13.7543987
296	13.74419724
297	13.73183812
298	13.72248114
299	13.71521802
300	13.70791707
301	13.700124
302	13.69448526
303	13.6835949
304	13.67188219
305	13.66846131
306	13.65861469
307	13.65119589
308	13.64476722
309	13.63691564
310	13.6239526
311	13.62077347
312	13.61660323
313	13.60915371
314	13.59947075
315	13.58958331
316	13.57913721
317	13.56895294
318	13.5596809
319	13.55598702
320	13.54344162
321	13.54023479
322	13.53093381
323	13.52384696
324	13.51788479
325	13.5080918
326	13.50099517
327	13.48932149
328	13.48055156
329	13.47451022
330	13.46578232
331	13.44281654
332	13.43447239
333	13.4228066
334	13.41287944
335	13.40652027
336	13.400847
337	13.39241532
338	13.38079103
339	13.37112583
340	13.36402807
341	13.35556821
342	13.34873794
343	13.33619096
344	13.33176754
345	13.32386996
346	13.31894486
347	13.31265269
348	13.31007778
349	13.30258059
350	13.28641124
351	13.2830888
352	13.27697369
353	13.2676336
354	13.25986601
355	13.25244951
356	13.24018774
357	13.23309138
358	13.22556419
359	13.21914032
360	13.210737
361	13.20418791
362	13.19447123
363	13.18942244
364	13.17667015
365	13.16580977
366	13.16083109
367	13.15117002
368	13.14151456
369	13.13691628
370	13.12927967
371	13.12563292
372	13.11596845
373	13.10625632
374	13.09744718
375	13.09079496
376	13.08038715
377	13.07463569
378	13.0691122
379	13.05496308
380	13.0475527
381	13.04323857
382	13.0406832
383	13.03435061
384	13.02649649
385	13.01896221
386	13.01247528
387	13.001243
388	12.99426582
389	12.98960094
390	12.98698
391	12.9815431
392	12.97550955
393	12.96991976
394	12.96226975
395	12.95791903
396	12.95369286
397	12.9465088
398	12.93978707
399	12.93385496
400	12.9277132
401	12.92458535
402	12.91955777
403	12.91371501
404	12.90914861
405	12.90418702
406	12.90038662
407	12.8960659
408	12.89207238
409	12.88641297
410	12.88210996
411	12.87569594
412	12.86992716
413	12.86253993
414	12.85598596
415	12.85075712
416	12.84221491
417	12.83661819
418	12.83309241
419	12.82860631
420	12.82432
421	12.80921839
422	12.79600494
423	12.78786637
424	12.7803648
425	12.776735
426	12.75170274
427	12.7440708
428	12.73774346
429	12.73154825
430	12.72440273
431	12.70977048
432	12.70227765
433	12.6858775
434	12.67952446
435	12.67442838
436	12.66823456
437	12.66323405
438	12.65097573
439	12.64762537
440	12.63040759
441	12.6206616
442	12.61565059
443	12.61261358
444	12.6012881
445	12.59770962
446	12.5915207
447	12.58652013
448	12.5792524
449	12.57625106
450	12.57343901
451	12.56614625
452	12.56246248
453	12.55837152
454	12.55361895
455	12.54488146
456	12.53876959
457	12.53516704
458	12.52503219
459	12.5198048
460	12.51572694
461	12.51051809
462	12.50453583
463	12.49831064
464	12.49349192
465	12.48934073
466	12.48234218
467	12.4770226
468	12.47021737
469	12.45533501
470	12.45131362
471	12.44786452
472	12.43734687
473	12.43424459
474	12.42989204
475	12.42103703
476	12.41685966
477	12.40726522
478	12.40163312
479	12.39829674
480	12.39156778
481	12.38578355
482	12.38302553
483	12.37762021
484	12.37350139
485	12.36648699
486	12.35951764
487	12.35553144
488	12.35017664
489	12.34741346
490	12.34300511
491	12.33730587
492	12.33395255
493	12.32782169
494	12.32378206
495	12.31855916
496	12.31672435
497	12.30769379
498	12.30395084
499	12.30076669
500	12.29753614
501	12.29421528
502	12.2888476
503	12.28387229
504	12.27751097
505	12.26851391
506	12.25442676
507	12.24869443
508	12.24117355
509	12.23437001
510	12.22849934
511	12.2242244
512	12.22113424
513	12.21834275
514	12.21326864
515	12.20242278
516	12.19893613
517	12.1894322
518	12.17664487
519	12.17001065
520	12.16619055
521	12.16136645
522	12.15572392
523	12.13714553
524	12.12172409
525	12.11543072
526	12.11081055
527	12.10634686
528	12.09259092
529	12.08918053
530	12.0762646
531	12.07245476
532	12.06924362
533	12.06369009
534	12.06021898
535	12.05793067
536	12.05335292
537	12.04768744
538	12.04452462
539	12.03904374
540	12.03152487
541	12.0255078
542	12.01950953
543	12.01628536
544	12.00288596
545	11.9982674
546	11.99271122
547	11.98572775
