iter	RMSE
0	33.04845808
1	31.49082288
2	30.03297263
3	28.69804953
4	27.47381335
5	26.34584309
6	25.30517107
7	24.36703349
8	23.55238427
9	22.78918564
10	22.10793719
11	21.48152063
12	20.912954
13	20.38888862
14	19.90425665
15	19.45930921
16	19.10833504
17	18.75996725
18	18.40489166
19	18.11676621
20	17.8476379
21	17.59148344
22	17.3719713
23	17.16740123
24	17.00315726
25	16.85195585
26	16.67832878
27	16.55272818
28	16.40422546
29	16.27772993
30	16.1796605
31	16.09000431
32	16.01333121
33	15.94999982
34	15.86258799
35	15.7861932
36	15.71438681
37	15.63033605
38	15.56497432
39	15.5163429
40	15.46608234
41	15.42610275
42	15.38042788
43	15.3290527
44	15.29287421
45	15.23852962
46	15.19240905
47	15.1582056
48	15.1130545
49	15.0749988
50	15.04257899
51	15.00104919
52	14.9805284
53	14.94058215
54	14.91064109
55	14.8929916
56	14.86408868
57	14.82219835
58	14.79095022
59	14.75643482
60	14.71947064
61	14.70187349
62	14.68269789
63	14.65474699
64	14.63945485
65	14.61644671
66	14.57826887
67	14.56156043
68	14.525684
69	14.50823508
70	14.49995095
71	14.48604507
72	14.46219935
73	14.44006705
74	14.41698097
75	14.3956048
76	14.38553494
77	14.36794887
78	14.35684494
79	14.34012333
80	14.33135646
81	14.3186099
82	14.30202633
83	14.28709359
84	14.27061313
85	14.26046929
86	14.24670954
87	14.24044312
88	14.23587587
89	14.22532613
90	14.20809993
91	14.18793594
92	14.1768015
93	14.16059448
94	14.14618341
95	14.13112848
96	14.12614313
97	14.10913864
98	14.09899108
99	14.08349491
100	14.06389425
101	14.05268795
102	14.03941444
103	14.02848474
104	14.01708065
105	14.01077095
106	14.0001116
107	13.99459605
108	13.97882849
109	13.97105637
110	13.96164858
111	13.95705029
112	13.94511002
113	13.93070087
114	13.92005197
115	13.91014287
116	13.89632252
117	13.88566691
118	13.87526835
119	13.86681265
120	13.86063114
121	13.85329468
122	13.84533125
123	13.83482528
124	13.82614422
125	13.81625542
126	13.80589081
127	13.79342994
128	13.78586846
129	13.77658657
130	13.76662718
131	13.76265986
132	13.75728721
133	13.74697604
134	13.74228052
135	13.73601489
136	13.72817493
137	13.71459828
138	13.70936782
139	13.70387534
140	13.69723626
141	13.69283439
142	13.68192144
143	13.67200991
144	13.66297522
145	13.65584923
146	13.64571941
147	13.6343969
148	13.62773359
149	13.61725355
150	13.60674023
151	13.60289809
152	13.59671892
153	13.58703733
154	13.58177261
155	13.57721407
156	13.56564659
157	13.55582747
158	13.54764305
159	13.53819495
160	13.53459142
161	13.52569336
162	13.51893824
163	13.5141428
164	13.5061871
165	13.49677232
166	13.49377934
167	13.48472917
168	13.47663621
169	13.47204819
170	13.45428307
171	13.44466447
172	13.4292224
173	13.42021597
174	13.40817886
175	13.40025705
176	13.38960526
177	13.38047956
178	13.36814185
179	13.36351577
180	13.35808744
181	13.35050853
182	13.33399702
183	13.32593035
184	13.31849826
185	13.30705749
186	13.30308579
187	13.29679865
188	13.28723807
189	13.28054143
190	13.27139865
191	13.26740937
192	13.26083227
193	13.24963038
194	13.24195666
195	13.23492488
196	13.22405431
197	13.21775858
198	13.21126252
199	13.20571201
200	13.20049611
201	13.19463379
202	13.19033705
203	13.18432326
204	13.17764251
205	13.16833888
206	13.16193115
207	13.15382897
208	13.14483612
209	13.13837088
210	13.10511067
211	13.09420243
212	13.09028989
213	13.08212223
214	13.07422421
215	13.06064877
216	13.05333568
217	13.0443604
218	13.03912138
219	13.03435138
220	13.02449091
221	13.02164927
222	13.01502337
223	13.00810441
224	12.99840122
225	12.98886306
226	12.98390892
227	12.97932192
228	12.97401618
229	12.96886768
230	12.96356512
231	12.95956268
232	12.95342125
233	12.94652451
234	12.93654034
235	12.92939084
236	12.92290178
237	12.91634939
238	12.90897162
239	12.89392396
240	12.89056052
241	12.88668001
242	12.88004388
243	12.87080254
244	12.86560655
245	12.85970286
246	12.85310622
247	12.84722472
248	12.84022215
249	12.82830373
250	12.82371438
251	12.8202582
252	12.81437673
253	12.80645758
254	12.79943236
255	12.79287297
256	12.78835952
257	12.78095071
258	12.7669647
259	12.7634592
260	12.7562669
261	12.75338702
262	12.72265239
263	12.71016512
264	12.70629002
265	12.69550952
266	12.68856911
267	12.68445982
268	12.67470389
269	12.67031703
270	12.66494822
271	12.65810499
272	12.64425691
273	12.63899023
274	12.63337158
275	12.62896044
276	12.6257167
277	12.61753014
278	12.61063043
279	12.60493273
280	12.59994624
281	12.59578985
282	12.58922262
283	12.58225471
284	12.57856288
285	12.56647141
286	12.56365343
287	12.55702537
288	12.54972668
289	12.54350097
290	12.54077014
291	12.5354422
292	12.52899696
293	12.5246036
294	12.52037147
295	12.51653729
296	12.51260719
297	12.50813965
298	12.50412599
299	12.49875344
300	12.49539435
301	12.49175855
302	12.48660277
303	12.48215744
304	12.47804909
305	12.47083122
306	12.46577895
307	12.46182066
308	12.4542301
309	12.44987436
310	12.44656886
311	12.44046044
312	12.43575704
313	12.42994137
314	12.42319962
315	12.41808976
316	12.4137396
317	12.40858046
318	12.40520198
319	12.40064034
320	12.39597088
321	12.38225296
322	12.38000936
323	12.37590686
324	12.37027112
325	12.36697071
326	12.36251324
327	12.35917315
328	12.33198611
329	12.3264472
330	12.32061612
331	12.30615362
332	12.3034703
333	12.29821965
334	12.29231651
335	12.28937142
336	12.28567198
337	12.28014965
338	12.26640635
339	12.25921249
340	12.2474086
341	12.24286337
342	12.23837208
343	12.23437333
344	12.23021578
345	12.22562813
346	12.22102976
347	12.20965837
348	12.20118476
349	12.19610889
350	12.18304002
351	12.17821367
352	12.16791056
353	12.16536573
354	12.16116409
355	12.15857609
356	12.15434236
357	12.1498507
358	12.14335215
359	12.1392146
360	12.13552091
361	12.13306147
362	12.12934495
363	12.1191154
364	12.11440856
365	12.10155022
366	12.09702351
367	12.09309996
368	12.08867646
369	12.07668685
370	12.07272972
371	12.06884333
372	12.06472971
373	12.06075828
374	12.05880467
375	12.04863404
376	12.04266745
377	12.03617366
378	12.03188739
379	12.02180127
380	12.01882445
381	12.01496718
382	12.00987958
383	12.00729109
384	12.00389738
385	11.99991546
386	11.99488206
387	11.99226959
388	11.98932585
389	11.98546713
390	11.9816355
391	11.97053397
392	11.96642675
393	11.96263693
394	11.9595841
395	11.95692032
396	11.95449711
397	11.94963519
398	11.94600426
399	11.93991365
400	11.93608217
401	11.93271264
402	11.92578946
403	11.92225528
404	11.91766467
405	11.91404296
406	11.89761324
407	11.89398427
408	11.88939811
409	11.87980824
410	11.87018156
411	11.86691876
412	11.86329094
413	11.85922712
414	11.8553596
415	11.85416519
416	11.85050255
417	11.84726485
418	11.84259866
419	11.83743545
420	11.83267053
421	11.82181645
422	11.81635656
423	11.81109414
424	11.80737726
425	11.80434217
426	11.79798091
427	11.79009537
428	11.78112692
429	11.76911875
430	11.76596694
431	11.76178959
432	11.75791441
433	11.75466118
434	11.75096334
435	11.7473665
436	11.74487859
437	11.74242471
438	11.73913103
439	11.73701706
440	11.73461063
441	11.72984587
442	11.72740262
443	11.72422751
444	11.72085429
445	11.71546165
446	11.70435953
447	11.70130741
448	11.6967136
449	11.69430545
450	11.69153544
451	11.6896511
452	11.68022819
453	11.67634726
454	11.67296161
455	11.66247721
456	11.6599346
457	11.65485039
458	11.65174103
459	11.64900848
460	11.64557192
461	11.63705408
462	11.63086321
463	11.62790738
464	11.61959048
465	11.61581508
466	11.61281106
467	11.60620277
468	11.60315811
469	11.60019994
470	11.59635245
471	11.59195477
472	11.58815794
473	11.5855533
474	11.57938157
475	11.57126243
476	11.56889716
477	11.56273352
478	11.55988853
479	11.55509567
480	11.55354819
481	11.54903906
482	11.54461328
483	11.54069678
484	11.53269893
485	11.52548808
486	11.51834441
487	11.51440306
488	11.51215854
489	11.50811827
490	11.50148192
491	11.49788985
492	11.4888018
493	11.48566478
494	11.48185462
495	11.47972341
496	11.477565
497	11.47147926
498	11.46782485
499	11.45939986
500	11.45599143
501	11.44995576
502	11.4463506
503	11.44339636
504	11.44068004
505	11.43653247
506	11.43450884
507	11.43128848
508	11.42747363
509	11.42135797
510	11.41689312
511	11.4091208
512	11.40466903
513	11.40253229
514	11.40051293
515	11.39722163
516	11.38790253
517	11.38363796
518	11.38007689
519	11.37681001
520	11.37337269
521	11.3698286
522	11.36688922
523	11.36537455
524	11.3615891
525	11.35151524
526	11.3464451
527	11.34341683
528	11.33995841
529	11.33659573
530	11.33261662
531	11.32665123
532	11.32371975
533	11.32178115
534	11.31852988
535	11.31478784
536	11.31130367
537	11.30823198
538	11.30473962
539	11.30267209
540	11.29165898
541	11.28193704
542	11.27916164
543	11.27507836
544	11.27336616
545	11.27022695
546	11.26777513
547	11.2652627
548	11.26321242
549	11.26042969
550	11.25689857
551	11.25230667
552	11.24684355
553	11.24347893
554	11.23864125
555	11.23633838
556	11.23323115
557	11.22697529
558	11.2235594
559	11.21823668
560	11.21553262
561	11.21308146
562	11.21071877
563	11.20891976
564	11.20710644
565	11.20433651
566	11.20132722
567	11.19929553
568	11.19619979
569	11.19300277
570	11.19065697
571	11.18827527
572	11.1857694
573	11.18050936
574	11.17744056
575	11.17417362
576	11.17134905
577	11.16798879
578	11.1656866
579	11.15838719
580	11.1549114
581	11.14610598
582	11.14373763
583	11.14179495
584	11.13934951
585	11.13714211
586	11.13542556
587	11.1328196
588	11.12977534
589	11.12593954
590	11.11748634
591	11.11063066
592	11.10817924
593	11.105218
594	11.09716519
595	11.09490648
596	11.09022401
597	11.08667314
598	11.08229878
599	11.07911621
600	11.07037002
601	11.06743939
602	11.06483027
603	11.06312535
604	11.0601935
605	11.0563518
606	11.05378917
607	11.05031418
608	11.04678797
609	11.04497558
610	11.04340703
611	11.03708386
612	11.03489216
613	11.03328593
614	11.02621057
615	11.02336739
616	11.01815654
617	11.01514647
618	11.00708467
619	11.00309838
620	10.9995532
621	10.99588102
622	10.9938426
623	10.99209038
624	10.98776148
625	10.98526491
626	10.98188457
627	10.9779452
628	10.9748405
629	10.97181146
630	10.96934016
631	10.96531043
632	10.9635223
633	10.95597812
634	10.95316288
635	10.95072816
636	10.94774362
637	10.94075639
638	10.93485874
639	10.93256124
640	10.92947444
641	10.92463146
642	10.92196624
643	10.91943951
644	10.91409924
645	10.91197733
646	10.90900937
647	10.90253315
648	10.89972681
649	10.89541664
650	10.89327915
651	10.88990013
652	10.88621808
653	10.87997811
654	10.87219215
655	10.86816815
656	10.8662368
657	10.86409331
658	10.86096682
659	10.85794755
660	10.85617246
661	10.85446401
662	10.85290431
663	10.85029525
664	10.84647738
665	10.84360746
666	10.84108229
667	10.83792079
668	10.83383096
669	10.83085871
670	10.82695628
671	10.82391239
672	10.82067584
673	10.8177935
674	10.81478239
675	10.81325847
676	10.81137418
677	10.80424881
678	10.79816635
679	10.79437874
680	10.79072432
681	10.78698775
682	10.78401068
683	10.78107164
684	10.7786585
685	10.77695231
686	10.773355
687	10.77098833
688	10.76923333
689	10.7666816
690	10.76343565
691	10.76167937
692	10.75899797
693	10.75461131
694	10.75054766
695	10.74744501
696	10.74388827
697	10.74062351
698	10.73622262
699	10.73212021
700	10.72818614
701	10.72030052
702	10.7183673
703	10.71647465
704	10.71368102
705	10.71150314
706	10.70844887
707	10.70535821
708	10.70122586
709	10.69641782
710	10.69032943
711	10.68762406
712	10.68413978
713	10.68175449
714	10.67988479
715	10.67704401
716	10.67567182
717	10.673661
718	10.66815611
719	10.66628236
720	10.66475664
721	10.66098935
722	10.65868194
723	10.65432393
724	10.65209562
725	10.64479603
726	10.63960742
727	10.63281629
728	10.63057417
729	10.62789259
730	10.6253677
731	10.62221797
732	10.61917743
733	10.61729386
734	10.60997022
735	10.60705444
736	10.60295975
737	10.60125542
738	10.59846402
739	10.59540669
740	10.59358754
741	10.59144746
742	10.58567241
743	10.58120704
744	10.57943464
745	10.57684116
746	10.5653876
747	10.56374111
748	10.56169444
749	10.55939525
750	10.55672069
751	10.55543357
752	10.55270756
753	10.54979296
754	10.54812873
755	10.53990041
756	10.53432549
757	10.53295891
758	10.52957368
759	10.52761106
760	10.52517508
761	10.5231383
762	10.51717593
763	10.51416308
764	10.51101766
765	10.50776741
766	10.50422511
767	10.50246087
768	10.50102006
769	10.49876022
770	10.49652494
771	10.49264489
772	10.48958349
773	10.48720194
774	10.48526981
775	10.48285974
776	10.4790318
777	10.47738983
778	10.47076135
779	10.4686315
780	10.46353411
781	10.45988992
782	10.4567283
783	10.45494183
784	10.45177595
785	10.45005984
786	10.44545531
787	10.44330026
788	10.44152914
789	10.43959202
790	10.4328247
791	10.42988294
792	10.42306797
793	10.42089551
794	10.41858627
795	10.41681971
796	10.41449433
797	10.40842435
798	10.40412351
799	10.39845393
800	10.39512034
801	10.38766416
802	10.38395453
803	10.38214234
804	10.38047137
805	10.37762343
806	10.37057003
807	10.36462978
808	10.36057451
809	10.35848654
810	10.35528972
811	10.35186993
812	10.35000079
813	10.34637072
814	10.34238386
815	10.33916471
816	10.33727598
817	10.3349521
818	10.33306525
819	10.32829608
820	10.32737476
821	10.3255176
822	10.31995194
823	10.31777853
824	10.3152788
825	10.31361661
826	10.31097832
827	10.30618642
828	10.30261378
829	10.30061779
830	10.29912223
831	10.29562047
832	10.29362224
833	10.2908724
834	10.28925396
835	10.28751263
836	10.28611099
837	10.28127897
838	10.27879641
839	10.27727249
840	10.27541208
841	10.27336931
842	10.26533942
843	10.26282014
844	10.26071809
845	10.25871597
846	10.2510135
847	10.24880626
848	10.24516087
849	10.24313589
850	10.24103639
851	10.23528059
852	10.23413391
853	10.22857462
854	10.22436634
855	10.22026076
856	10.21808636
857	10.21647903
858	10.20895608
859	10.20713923
860	10.20518556
861	10.20369028
862	10.20124062
863	10.1985696
864	10.19696487
865	10.19452375
866	10.19243004
867	10.18868675
868	10.18754051
869	10.18529398
870	10.18151884
871	10.17997164
872	10.17810061
873	10.17494361
