,PM,Date
263,36.66,2019-09-05
264,32.14,2019-09-06
265,41.54,2019-09-07
266,37.13,2019-09-08
267,53.7,2019-09-09
268,63.73,2019-09-10
269,64.76,2019-09-11
270,68.52,2019-09-12
271,44.22,2019-09-13
272,48.08,2019-09-14
273,37.08,2019-09-15
274,52.15,2019-09-16
275,57.06,2019-09-17
276,47.61,2019-09-18
277,34.57,2019-09-19
278,35.08,2019-09-20
279,42.04,2019-09-21
280,29.23,2019-09-22
281,27.11,2019-09-23
282,32.51,2019-09-24
283,35.93,2019-09-25
284,26.15,2019-09-26
285,17.82,2019-09-27
286,20.13,2019-09-28
287,18.7,2019-09-29
288,26.17,2019-09-30
289,40.92,2019-10-01
290,47.3,2019-10-02
291,61.04,2019-10-03
292,34.48,2019-10-04
293,36.87,2019-10-05
294,57.08,2019-10-06
295,50.31,2019-10-07
296,41.29,2019-10-08
297,61.66,2019-10-09
298,70.13,2019-10-10
299,72.72,2019-10-11
300,96.98,2019-10-12
301,109.18,2019-10-13
302,102.06,2019-10-14
303,113.72,2019-10-15
304,149.43,2019-10-16
305,117.86,2019-10-17
306,90.67,2019-10-18
307,92.24,2019-10-19
308,89.51,2019-10-20
309,96.65,2019-10-21
310,95.28,2019-10-22
311,129.86,2019-10-23
312,151.35,2019-10-24
313,132.73,2019-10-25
314,148.49,2019-10-26
315,203.57,2019-10-27
316,198.32,2019-10-28
317,266.44,2019-10-29
318,238.38,2019-10-30
319,356.41,2019-10-31
320,393.69,2019-11-01
321,523.6,2019-11-02
322,670.23,2019-11-03
323,408.63,2019-11-04
324,200.62,2019-11-05
325,97.4,2019-11-06
326,99.74,2019-11-07
327,97.48,2019-11-08
328,111.75,2019-11-09
329,152.68,2019-11-10
330,279.42,2019-11-11
331,356.85,2019-11-12
332,319.17,2019-11-13
333,255.81,2019-11-14
334,365.16,2019-11-15
335,173.39,2019-11-16
336,98.38,2019-11-17
337,127.91,2019-11-18
338,134.61,2019-11-19
339,173.14,2019-11-20
340,196.81,2019-11-21
341,169.45,2019-11-22
342,100.97,2019-11-23
343,94.77,2019-11-24
344,95.18,2019-11-25
345,68.71,2019-11-26
346,47.81,2019-11-27
347,32.39,2019-11-28
348,41.42,2019-11-29
349,73.34,2019-11-30
350,106.22,2019-12-01
351,118.18,2019-12-02
352,127.64,2019-12-03
353,131.6,2019-12-04
354,171.03,2019-12-05
355,178.18,2019-12-06
356,164.97,2019-12-07
357,139.35,2019-12-08
358,147.67,2019-12-09
359,165.66,2019-12-10
360,210.12,2019-12-11
361,217.03,2019-12-12
362,72.62,2019-12-13
363,67.45,2019-12-14
364,75.29,2019-12-15
365,63.87,2019-12-16
366,73.97,2019-12-17
367,93.12,2019-12-18
368,121,2019-12-19
369,161.36,2019-12-20
370,121.41,2019-12-21
371,103.74,2019-12-22
372,113.38,2019-12-23
373,153.59,2019-12-24
374,114.93,2019-12-25
375,145.95,2019-12-26
376,146.79,2019-12-27
377,137.81,2019-12-28
378,154.38,2019-12-29
379,95.64,2019-12-30
380,168.93,2019-12-31
381,149.78,2020-01-01
382,121.8,2020-01-02
383,109.03,2020-01-03
384,134.97,2020-01-04
385,128.34,2020-01-05
386,114.27,2020-01-06
387,59.46,2020-01-07
388,71.53,2020-01-08
389,57.91,2020-01-09
390,83.35,2020-01-10
391,90.23,2020-01-11
392,105.94,2020-01-12
393,108.8,2020-01-13
394,46.29,2020-01-14
395,60.79,2020-01-15
396,78.87,2020-01-16
397,78.02,2020-01-17
398,91.9,2020-01-18
399,74.39,2020-01-19
400,98.25,2020-01-20
401,133.29,2020-01-21
402,66.56,2020-01-22
403,56.49,2020-01-23
404,59.27,2020-01-24
405,92.37,2020-01-25
406,124.25,2020-01-26
407,115.27,2020-01-27
408,64.67,2020-01-28
409,49.08,2020-01-29
410,56.24,2020-01-30
411,60.41,2020-01-31
412,71.57,2020-02-01
413,80.28,2020-02-02
414,92.4,2020-02-03
