,BiLSTM-Tred_RMSE,BiLSTM-GAB_RMSE,LSTM-Tred_RMSE,LSTM-GAB_RMSE,GRU-Tred_RMSE,GRU-GAB_RMSE,CNN-Tred_RMSE,CNN-GAB_RMSE,RNN-Tred_RMSE,RNN-GAB_RMSE
0,5.644842468486598,2.499155239327412,5.656172176314856,3.0219649904296557,5.673625405254203,2.0344097660630176,5.6769973923333135,1.047303754824152,5.71228729352552,3.5941945931683503
1,5.6220262185578616,1.9481852899334875,5.88023250805056,3.149796697621443,5.759522018115575,4.632393970263166,5.692465206657877,0.9989132002058752,5.716232087360507,1.6726867069686997
2,5.645572309545997,2.227548495419564,5.743898132970474,2.512375759040821,5.669983428178258,2.149954120314132,5.745623295625976,1.0105174638977867,5.714301754192885,2.7378853403480017
3,5.661823134281127,1.3542028018241086,5.671168137354489,2.7415853398372136,5.66606607213366,2.9428042043756366,5.699790750193231,1.068184849301868,5.797744035669697,2.977329087051974
4,5.670320263472801,1.6610324124976463,5.760097435061619,2.6128512736289267,5.675446270582744,2.3845117896707477,5.814128697537624,1.1350591219502104,5.700823107391734,2.3047868423559623
5,5.669119453305206,2.8248751153616727,6.035950145826595,3.0862997626066946,5.987246302736397,3.838437396934432,5.782087601277049,2.4632072728083814,5.74350401545954,2.104713194178888
6,5.621781869576628,2.584272175096619,5.729142546100375,2.798142108179591,5.771663230751773,3.035396120477403,5.759030495753457,1.0184391549536695,5.849948941472308,2.117462439251216
7,5.67507922484324,1.5320855631951709,5.701834661200543,2.531891881731158,5.683722529727611,1.959565273211936,5.710708444995407,0.9062057373789412,5.755599371918471,2.7684698282007933
8,5.625701711228861,2.0951606702316847,5.771566484093628,2.207265063336169,5.849836402426385,2.615093780809965,5.759355069115808,0.8755933470504782,5.723429214723758,3.327415930109651
9,5.625945728752435,2.712729157092446,5.7610979247496585,3.390248694188711,5.684498409526041,2.2355236002403944,5.800630239588922,1.1035695947370638,5.7295965846503885,2.6708856662331293
