,BiLSTM-Tred_RMSE,BiLSTM-GAB_RMSE,LSTM-Tred_RMSE,LSTM-GAB_RMSE,GRU-Tred_RMSE,GRU-GAB_RMSE,CNN-Tred_RMSE,CNN-GAB_RMSE,RNN-Tred_RMSE,RNN-GAB_RMSE
0,16.295573266483952,12.093245659754066,15.27563391000974,9.27706111820418,15.273522705485227,9.231699092313756,14.9726264337365,6.948296249386488,16.350596877555738,42.15221233424579
1,16.427521224427547,9.494666468472497,14.78254379710395,10.096320712537832,16.241500481768302,16.869766740051617,15.319254251933907,5.071469857043916,14.787779851705857,9.061243128248195
2,14.725471670623405,9.807432234849273,14.630917946983752,11.94386810718391,15.502625874165114,22.58131274301776,15.766540776169611,6.270651770965717,14.81668870438612,7.686005970132256
3,14.789425990022226,10.16244312179753,14.859844093653624,11.219887316896465,15.612140535616469,9.278692922535626,15.387849244741492,5.3771419832553455,14.796683747266652,6.320047342457132
4,15.940138137536277,9.91062906668417,14.703969454486469,11.183514803629809,15.360812567290786,10.39759457700758,15.600003316296688,6.684471691613898,15.437681800232742,15.870576386429027
5,16.471549964777186,13.03786913486555,14.833020017303204,14.34683442246792,14.704108299228263,12.454729427839814,14.914464981730868,6.137402184628099,15.878615815815012,34.24195080705972
6,14.70556481276947,15.06720871804028,14.697025823436126,34.92833451264443,15.155373878465964,14.77583866654864,16.79728709083996,4.339994350346034,14.750256195950277,5.1350440557764365
7,16.445869688164198,9.066139446390508,14.694175955060322,40.74626414024373,14.988701033978872,18.420217397278275,15.691418641613042,5.621877331290009,16.50993207053042,28.840362095713598
8,16.648602894310674,14.841294428416209,14.79861775127629,16.669293423652018,14.714840398301073,20.575855403096444,17.148220939271276,8.954948206391736,15.373570721251449,24.55783410373783
9,16.193533559717565,29.378637378253654,14.756914455883615,13.008838445725033,15.452517549188135,9.164607663418222,15.867847928895484,5.120180596291698,16.074580908768578,16.73895025339873
