,BiLSTM-Tred_RMSE,BiLSTM-GAB_RMSE,LSTM-Tred_RMSE,LSTM-GAB_RMSE,GRU-Tred_RMSE,GRU-GAB_RMSE,CNN-Tred_RMSE,CNN-GAB_RMSE,RNN-Tred_RMSE,RNN-GAB_RMSE
0,22.73888973868461,12.828911813721906,21.096736906260983,8.0694322778084,20.64271351218925,6.7772922493783225,20.47224407791732,6.839707964643799,20.86688448603894,7.45923233419289
1,22.47020617752373,14.53991501821887,23.32798305968528,16.294088294986167,20.636389223500952,7.421167201453661,20.39759662948154,5.567623764723676,21.860277333760997,10.759484864918376
2,21.645353202082426,10.252424611555108,22.10054345074644,13.819176484035598,21.3593668021845,14.52401022920346,20.442483366918506,6.980227944913808,21.650163102676814,10.192996166075728
3,21.6930870439792,11.357359613415412,21.175613822943244,11.66530300496863,21.256968165941355,10.732053667029014,20.39696269523677,6.754572940547456,21.41480462684334,10.678847457991417
4,21.975351579047587,10.888848946423463,22.362353152381388,10.02399496262563,21.28362205510637,8.52813773544444,20.740409516988706,6.706697690174868,21.086420288726647,12.945938585652147
5,22.35110906929299,15.055757749548684,20.942154430786847,11.336111400016076,21.14605792287503,12.001439077531051,20.438815793423025,6.798875653504229,21.12054631723781,13.193961197821368
6,21.78665653741773,11.061456471622249,22.02185665298344,13.51427929985538,21.54442417058819,14.428673830903548,20.65199859919249,7.618465218583685,21.6406877043394,13.32582681238301
7,21.442467300138453,12.96366757989708,21.765234319109872,11.874799004927532,21.540397571512344,9.480800647821646,20.539516199511223,6.266977867114189,21.2487158195532,10.659718875278395
8,21.91493800096237,10.81656283570304,22.08050956739583,12.183315926700764,21.005240248685272,9.310450943241063,20.722901084012214,8.227868451870904,21.051041991167228,11.973749170911343
9,21.957098739299823,12.40949212759294,21.92743127937427,11.241862470480758,21.22888528869245,7.6011498363748755,20.505518652878568,6.91351064808252,20.879868265315547,14.450923392038735
