,BiLSTM-Tred_RMSE,BiLSTM-GAB_RMSE,LSTM-Tred_RMSE,LSTM-GAB_RMSE,GRU-Tred_RMSE,GRU-GAB_RMSE,CNN-Tred_RMSE,CNN-GAB_RMSE,RNN-Tred_RMSE,RNN-GAB_RMSE
0,0.0147180840791585,0.0123006422638478,0.0102403659707256,0.0101213331321254,0.0082823271985826,0.0059846506411871,0.030212463824955,0.0181623267266526,0.015972496689024,0.0122321879974959
1,0.035692566470328,0.0245039441409739,0.0071577478797375,0.0075839241699761,0.013567675062943,0.0073531171327707,0.0105829276679762,0.0085751397377937,0.0065827171119786,0.0061597720515742
2,0.0259607111926097,0.0186179833063146,0.013612665664112,0.0104838114406781,0.0086899450300662,0.0046685186533085,0.0241628624922735,0.0147649889188144,0.0118352452450744,0.009622419556801
3,0.0216784783542586,0.0149255817506386,0.0167706141190219,0.0175082981441207,0.0052387550794628,0.0046196993297662,0.0780869456696364,0.0056818841329457,0.0110096505015056,0.0078382005574754
4,0.0265662582053705,0.0152093791441202,0.0125799516234895,0.0099927580323846,0.0068654498146299,0.0055450273564615,0.0331416130616736,0.0177034609996431,0.1071436620619808,0.0586996196675819
5,0.0111084996905918,0.0119583451743746,0.0137793377737985,0.009150516377937,0.0096724550140873,0.0083192541708949,0.0310612565589508,0.0203654239259433,0.0143439800704639,0.0102736108501756
6,0.0231044369608192,0.0162161079485697,0.0163564455183333,0.0127440549136612,0.0273896193858309,0.0134976471763656,0.0170109032315938,0.0115489585522237,0.0155586466367332,0.0131359761929989
7,0.0124659335237411,0.0099665167364867,0.0079440185602468,0.0068759718678007,0.0105242750304965,0.0089015608544184,0.0363515471521543,0.0223689491375354,0.0151580668097685,0.0106826370700048
8,0.0076988421274036,0.007917003700571,0.0125963096872172,0.0119358059226782,0.0092877764821764,0.0071601709407268,0.0713645985762626,0.0440653598481338,0.0133013445484573,0.0100149351446297
9,0.0147388807587156,0.0110859037282349,0.0972189407497078,0.0445437429405648,0.0061914021423635,0.0057299617800085,0.02611229866656,0.0142146718688157,0.0134831299804756,0.0110686124066438
