,BiLSTM-Tred_MAPE,BiLSTM-GAB_MAPE,LSTM-Tred_MAPE,LSTM-GAB_MAPE,GRU-Tred_MAPE,GRU-GAB_MAPE,CNN-Tred_MAPE,CNN-GAB_MAPE,RNN-Tred_MAPE,RNN-GAB_MAPE
0,25.982233128383147,13.322632117777166,26.556839335434248,13.058973181547254,30.70549855825284,15.308952941571055,36.739662990589565,17.00166993390418,27.30375736274345,13.861483717913217
1,26.63796255831496,14.406452986876372,29.789300324278145,13.57305552277787,26.033981813033886,12.79663102944145,37.336107308091854,19.379967303104987,28.31828678509384,17.700195169137935
2,26.173131529152087,13.897643225464131,25.57924649276192,13.428357053962658,25.96389379979837,15.149618073327062,38.41249615675038,15.751298133239947,31.57964063436276,14.821759505589158
3,26.57008987439752,13.759085170478718,27.589270292471102,14.94346188277412,25.896076033710973,12.295137254300483,37.62579321509873,16.402311654872054,28.94366631245199,14.664118951514618
4,26.455584663390912,19.412329293412977,27.70568700890244,13.54047719596418,26.57614960165179,13.384961560283127,37.68034955629208,14.3183913642833,25.37893810173938,12.526494290321567
5,32.51141052544245,12.066388131904842,38.18091597458143,14.778080996814465,27.139528476674347,14.879913041983531,37.68163749104328,17.201355560752468,28.352091080610226,16.525594045660334
6,26.17617017254344,12.894758892976144,26.123973640633576,13.876429331710929,26.769955796524485,15.904506071985717,37.70727744978373,17.515641082006915,27.859014355206423,14.54727323136196
7,28.711840671239635,16.420318814102696,28.92477618311216,15.423990693301764,26.639955606263683,16.777949826938826,42.87971670157108,15.730858345742094,29.927185740485378,14.31084766120662
8,26.48401035236807,53.7303439889626,32.304561220019785,15.478087546624025,25.977713899772585,10.640897233675716,37.65348541548871,20.343839972002662,26.32113873422629,16.325455894708885
9,33.969143084048454,11.077012838025166,31.05468578374031,14.021420567088269,32.259657224932994,12.970316145022364,44.480160711324494,16.694094101138987,27.55869995351453,16.82970244602781
